record_type,block,action,rows,harmful,beneficial,harmful_proxy_mean,beneficial_proxy_mean,difference_harmful_minus_beneficial,rank_auc,held_out_block,training_rows,training_harmful,test_rows,test_harmful,roc_auc,status,model,mean_auc,min_auc,max_auc,feature,mean_coefficient,mean_absolute_coefficient,sign_stability
action_block_geometry,block_071_090,1,24,2,22,0.6462207010317869,0.4607888399827144,0.18543186104907244,0.8409090909090908,,,,,,,,,,,,,,,
action_block_geometry,block_071_090,2,15,0,15,nan,0.4353163329867097,nan,nan,,,,,,,,,,,,,,,
action_block_geometry,block_091_110,1,9,6,3,0.625962173966851,0.6301038691740088,-0.004141695207157792,0.4444444444444445,,,,,,,,,,,,,,,
action_block_geometry,block_091_110,2,40,0,40,nan,0.47092087426846274,nan,nan,,,,,,,,,,,,,,,
pooled_action_geometry,,1,33,8,25,0.631026805733085,0.4811066434856697,,0.76,,,,,,,,,,,,,,,
pooled_action_geometry,,2,55,0,55,nan,0.4612105448279846,,nan,,,,,,,,,,,,,,,
within_action_transfer,,1,,,,,,,,block_071_090,9,6,24,2,0.15909090909090912,evaluated,,,,,,,,
within_action_transfer,,1,,,,,,,,block_091_110,24,2,9,6,0.4444444444444445,evaluated,,,,,,,,
within_action_transfer,,2,,,,,,,,block_071_090,40,0,15,0,nan,uninformative_class_distribution,,,,,,,,
within_action_transfer,,2,,,,,,,,block_091_110,15,0,40,0,nan,uninformative_class_distribution,,,,,,,,
pooled_model_summary,,,,,,,,,,,,,,,,,proxy_action_interaction,0.9333228577414625,0.9054054054054055,0.9612403100775194,,,,
pooled_model_summary,,,,,,,,,,,,,,,,,proxy_plus_action,0.9255709197569664,0.9054054054054055,0.9457364341085271,,,,
pooled_model_summary,,,,,,,,,,,,,,,,,action_only,0.833909490886235,0.7027027027027026,0.9651162790697674,,,,
pooled_model_summary,,,,,,,,,,,,,,,,,severe_proxy_only,0.8209721349256232,0.7635658914728681,0.8783783783783783,,,,
pooled_model_fold,,,,,,,,,,block_071_090,,6,,2,0.8783783783783783,,severe_proxy_only,,,,,,,
pooled_model_fold,,,,,,,,,,block_091_110,,2,,6,0.7635658914728681,,severe_proxy_only,,,,,,,
pooled_model_fold,,,,,,,,,,block_071_090,,6,,2,0.7027027027027026,,action_only,,,,,,,
pooled_model_fold,,,,,,,,,,block_091_110,,2,,6,0.9651162790697674,,action_only,,,,,,,
pooled_model_fold,,,,,,,,,,block_071_090,,6,,2,0.9054054054054055,,proxy_plus_action,,,,,,,
pooled_model_fold,,,,,,,,,,block_091_110,,2,,6,0.9457364341085271,,proxy_plus_action,,,,,,,
pooled_model_fold,,,,,,,,,,block_071_090,,6,,2,0.9054054054054055,,proxy_action_interaction,,,,,,,
pooled_model_fold,,,,,,,,,,block_091_110,,2,,6,0.9612403100775194,,proxy_action_interaction,,,,,,,
coefficient_summary,,,,,,,,,,,,,,,,,action_only,,,,action2_indicator,-1.566350710983119,1.566350710983119,1
coefficient_summary,,,,,,,,,,,,,,,,,proxy_action_interaction,,,,action2_indicator,-0.8065676272481423,0.8065676272481423,1
coefficient_summary,,,,,,,,,,,,,,,,,proxy_action_interaction,,,,proxy_x_action2,-0.7288092921172283,0.7288092921172283,1
coefficient_summary,,,,,,,,,,,,,,,,,proxy_action_interaction,,,,severe_underestimation_probability,0.9008201437406795,0.9008201437406795,1
coefficient_summary,,,,,,,,,,,,,,,,,proxy_plus_action,,,,action2_indicator,-1.3802965382607728,1.3802965382607728,1
coefficient_summary,,,,,,,,,,,,,,,,,proxy_plus_action,,,,severe_underestimation_probability,0.7895824168814811,0.7895824168814811,1
coefficient_summary,,,,,,,,,,,,,,,,,severe_proxy_only,,,,severe_underestimation_probability,1.3158652410641514,1.3158652410641514,1
