model,held_out_block,generation_seed,test_index,support_baseline_action,true_class,harmful_target,predicted_probability,predicted_class,local_error_std,severe_underestimation_probability,predicted_signed_calibration_error,predicted_underestimation_magnitude
severe_proxy_only,block_071_090,44077,46,1,beneficial,0,0.7060518517441099,1,0.04678508836786137,0.6876152032015671,0.0030338234994549546,-0.0030338234994549546
severe_proxy_only,block_071_090,44077,57,1,beneficial,0,0.7443709304467967,1,0.04887203564017078,0.7174834483795925,-0.006069720149742885,0.006069720149742885
severe_proxy_only,block_071_090,44078,0,1,beneficial,0,0.18089052972672817,0,0.03945440261435279,0.31736073856046654,0.09631297320920075,-0.09631297320920075
severe_proxy_only,block_071_090,44078,7,1,beneficial,0,0.5843463577358576,1,0.05543524898090178,0.604516414318168,0.0705304536726083,-0.0705304536726083
severe_proxy_only,block_071_090,44078,11,2,beneficial,0,0.09111977454695958,0,0.05162864606896163,0.19484614252054253,0.12154478408242417,-0.12154478408242417
severe_proxy_only,block_071_090,44078,20,1,beneficial,0,0.09148574311386978,0,0.0365460001615142,0.1955304635272953,0.11825465696629497,-0.11825465696629497
severe_proxy_only,block_071_090,44078,31,1,beneficial,0,0.13604874790817964,0,0.03243298342916551,0.26489651737271336,0.08349767371639123,-0.08349767371639123
severe_proxy_only,block_071_090,44078,32,2,beneficial,0,0.42132257761454883,0,0.06828518800437472,0.5024373596212344,0.11095209992706594,-0.11095209992706594
severe_proxy_only,block_071_090,44078,46,1,beneficial,0,0.2304121829897488,0,0.05814559213552686,0.3645755569335822,0.09393806002245537,-0.09393806002245537
severe_proxy_only,block_071_090,44078,47,1,beneficial,0,0.13602707662753138,0,0.06528903869236934,0.26486791193476583,0.13212873062693783,-0.13212873062693783
severe_proxy_only,block_071_090,44078,49,2,beneficial,0,0.09943479876070345,0,0.05063504581189158,0.20981977603091523,0.10978114554572242,-0.10978114554572242
severe_proxy_only,block_071_090,44078,53,1,beneficial,0,0.17876546915963637,0,0.037574882439739124,0.3151254586389138,0.07669752218980702,-0.07669752218980702
severe_proxy_only,block_071_090,44078,61,1,beneficial,0,0.13737259222751622,0,0.04626687918878823,0.2666367196797023,0.10335085680841041,-0.10335085680841041
severe_proxy_only,block_071_090,44078,62,1,harmful,1,0.5839373502097116,1,0.08264897679823614,0.6042552063282551,0.08521756771999521,-0.08521756771999521
severe_proxy_only,block_071_090,44080,14,2,beneficial,0,0.15599293097178138,0,0.011611793591302636,0.2897423462835416,0.07339633128153494,-0.07339633128153494
