model,features,feature_count,rows,unsafe_rows,safe_rows,balanced_accuracy,unsafe_recall,unsafe_precision,safe_specificity,roc_auc,mean_fold_balanced_accuracy,mean_fold_roc_auc,safe_mean,unsafe_mean,standardized_difference_unsafe_minus_safe
context_plus_action_support,context_support_distance|action_support_distance,2,2316,628,1688,0.592769870498385,0.5143312101910829,0.3678815489749431,0.6712085308056872,0.6188871615298699,0.5937678843549713,0.6233886875021044,,,
context_loss_action_support,context_support_distance|predicted_action_loss|action_support_distance,3,2316,628,1688,0.5684430374015155,0.5047770700636943,0.337953091684435,0.6321090047393365,0.6130488347873336,0.5699604687313307,0.6196513941991922,,,
action_support_only,action_support_distance,1,2316,628,1688,0.5340847345065958,0.2802547770700637,0.3295880149812734,0.7879146919431279,0.554163710870287,0.5279666603053861,0.5809174185845387,,,
predicted_loss_only,predicted_action_loss,1,2316,628,1688,0.529473692154436,0.5127388535031847,0.2959558823529412,0.5462085308056872,0.5705438539559875,0.5317780005370443,0.5747180162886749,,,
context_plus_loss,context_support_distance|predicted_action_loss,2,2316,628,1688,0.5151802155341565,0.49363057324840764,0.2838827838827839,0.5367298578199052,0.5662941105442689,0.5193989591592233,0.5731710290859856,,,
context_support_only,context_support_distance,1,2316,628,1688,0.48002573429528783,0.767515923566879,0.2612466124661247,0.19253554502369669,0.4522519395055393,0.4856845033871148,0.44214028908658726,,,
diagnostic_context_support_distance,context_support_distance,1,2316,628,1688,,,,,,,,3.0671692326618403,2.99628281416391,-0.02447294612896322
diagnostic_action_support_distance,action_support_distance,1,2316,628,1688,,,,,,,,3.64839485293907,3.728945923679588,0.028134432992676987
diagnostic_action_support_minus_context,action_support_minus_context,1,2316,628,1688,,,,,,,,0.5812256202772299,0.7326631095156779,0.37833206435842903
diagnostic_predicted_action_loss,predicted_action_loss,1,2316,628,1688,,,,,,,,0.15134840794211557,0.1694352408475792,0.2831864058985801
diagnostic_predicted_relative_loss,predicted_relative_loss,1,2316,628,1688,,,,,,,,0.010833782839710154,0.014446030886368835,0.2128416016790447
