model,features,feature_count,rows,unsafe_rows,safe_rows,balanced_accuracy,unsafe_recall,unsafe_precision,safe_specificity,roc_auc,mean_fold_balanced_accuracy,mean_fold_roc_auc,safe_mean,unsafe_mean,standardized_difference_unsafe_minus_safe
context_support_only,context_support_distance,1,7881,1640,6241,0.6298950488703734,0.35,0.5048372911169745,0.9097900977407467,0.6879277867446196,0.6302567116282733,0.6853071281075528,,,
context_plus_action_support,context_support_distance|action_support_distance,2,7881,1640,6241,0.6297036513066621,0.35121951219512193,0.5013054830287206,0.9081877904182022,0.683685091898187,0.6298668633595006,0.6802156668131624,,,
action_support_only,action_support_distance,1,7881,1640,6241,0.6292719076445692,0.3524390243902439,0.4965635738831615,0.9061047908988944,0.6771902759485855,0.6295329478500791,0.6747287980036331,,,
context_plus_loss,context_support_distance|predicted_action_loss,2,7881,1640,6241,0.6268922370164256,0.4298780487804878,0.39079822616407983,0.8239064252523634,0.6758492228809486,0.6252998314710978,0.6787905660235201,,,
context_loss_action_support,context_support_distance|predicted_action_loss|action_support_distance,3,7881,1640,6241,0.6256571414055753,0.42804878048780487,0.3889196675900277,0.8232655023233456,0.6742346051484869,0.6238661123173497,0.6764741876504126,,,
predicted_loss_only,predicted_action_loss,1,7881,1640,6241,0.530912269766024,0.6274390243902439,0.22570739197192366,0.4343855151418042,0.5507688144098233,0.5236703600000711,0.5566414129483908,,,
diagnostic_context_support_distance,context_support_distance,1,7881,1640,6241,,,,,,,,3.3885923489460708,7.318142515243317,0.6058135735058977
diagnostic_action_support_distance,action_support_distance,1,7881,1640,6241,,,,,,,,3.944962882271378,7.785896198099272,0.6030277395817691
diagnostic_action_support_minus_context,action_support_minus_context,1,7881,1640,6241,,,,,,,,0.5563705333253072,0.46775368285595503,-0.21179831261214258
diagnostic_predicted_action_loss,predicted_action_loss,1,7881,1640,6241,,,,,,,,0.18510321225012227,0.16507917772637914,-0.2586382045373708
diagnostic_predicted_relative_loss,predicted_relative_loss,1,7881,1640,6241,,,,,,,,0.0327724750227044,0.020818176674114897,-0.26513290558724334
