model,held_out_seed,test_rows,test_unsafe,test_safe,balanced_accuracy,unsafe_recall,unsafe_precision,safe_specificity,roc_auc
context_support_only,44001,228,55,173,0.48344718864950076,0.9090909090909091,0.2347417840375587,0.057803468208092484,0.3648975302154493
context_support_only,44002,228,50,178,0.5246067415730338,0.92,0.22885572139303484,0.12921348314606743,0.41977528089887634
context_support_only,44003,228,61,167,0.4846863649749681,0.819672131147541,0.2604166666666667,0.1497005988023952,0.468342004515559
context_support_only,44004,231,58,173,0.5176400239186765,0.896551724137931,0.25870646766169153,0.13872832369942195,0.42615108630655774
context_support_only,44005,228,59,169,0.5036104703640557,0.847457627118644,0.2604166666666667,0.15976331360946747,0.454417811653796
context_support_only,44006,237,71,166,0.4927456304089598,0.7746478873239436,0.2956989247311828,0.21084337349397592,0.49745460716103856
context_support_only,44007,237,75,162,0.47987654320987655,0.7066666666666667,0.3045977011494253,0.25308641975308643,0.45382716049382715
context_support_only,44008,234,78,156,0.49038461538461536,0.6666666666666666,0.3270440251572327,0.3141025641025641,0.48397435897435903
context_support_only,44009,237,66,171,0.4340776182881446,0.5757575757575758,0.2389937106918239,0.29239766081871343,0.42397660818713456
context_support_only,44010,228,55,173,0.44576983709931683,0.6545454545454545,0.21428571428571427,0.23699421965317918,0.4285864424592748
predicted_loss_only,44001,228,55,173,0.6051497635312664,0.6727272727272727,0.3162393162393162,0.5375722543352601,0.5957961114030478
predicted_loss_only,44002,228,50,178,0.5434831460674158,0.66,0.24444444444444444,0.42696629213483145,0.584494382022472
predicted_loss_only,44003,228,61,167,0.49234318248748404,0.4098360655737705,0.2604166666666667,0.5748502994011976,0.5542357907136546
predicted_loss_only,44004,231,58,173,0.5362268287821407,0.46551724137931033,0.28421052631578947,0.6069364161849711,0.5895953757225434
predicted_loss_only,44005,228,59,169,0.5369070303881256,0.4406779661016949,0.29545454545454547,0.6331360946745562,0.5680473372781065
predicted_loss_only,44006,237,71,166,0.5828525369081962,0.5211267605633803,0.3854166666666667,0.6445783132530121,0.6422026132699814
predicted_loss_only,44007,237,75,162,0.5208641975308642,0.48,0.3364485981308411,0.5617283950617284,0.5762962962962963
predicted_loss_only,44008,234,78,156,0.4967948717948718,0.5,0.3305084745762712,0.4935897435897436,0.5235042735042735
predicted_loss_only,44009,237,66,171,0.5095693779904306,0.5454545454545454,0.2857142857142857,0.47368421052631576,0.5509480772638667
predicted_loss_only,44010,228,55,173,0.4935890698896479,0.4727272727272727,0.23636363636363636,0.5144508670520231,0.5620599054125066
context_plus_loss,44001,228,55,173,0.5708880714661062,0.6909090909090909,0.2857142857142857,0.4508670520231214,0.5915922228060957
context_plus_loss,44002,228,50,178,0.5450561797752809,0.68,0.2446043165467626,0.4101123595505618,0.5865168539325842
context_plus_loss,44003,228,61,167,0.4579856680082458,0.3770491803278688,0.23,0.5389221556886228,0.5512908609011485
context_plus_loss,44004,231,58,173,0.5390173410404624,0.5,0.28431372549019607,0.5780346820809249,0.5934821606537771
context_plus_loss,44005,228,59,169,0.530989870624812,0.4406779661016949,0.28888888888888886,0.621301775147929,0.5756694413800021
context_plus_loss,44006,237,71,166,0.5788223315798404,0.5070422535211268,0.3829787234042553,0.6506024096385542,0.6482267096555235
context_plus_loss,44007,237,75,162,0.49777777777777776,0.44,0.3142857142857143,0.5555555555555556,0.5708641975308643
context_plus_loss,44008,234,78,156,0.5,0.46153846153846156,0.3333333333333333,0.5384615384615384,0.5221071663379355
context_plus_loss,44009,237,66,171,0.47408293460925044,0.4393939393939394,0.25663716814159293,0.5087719298245614,0.5364167995746943
context_plus_loss,44010,228,55,173,0.4993694167104572,0.4727272727272727,0.24074074074074073,0.5260115606936416,0.5555438780872307
action_support_only,44001,228,55,173,0.5409353652128218,0.14545454545454545,0.42105263157894735,0.9364161849710982,0.6770362585391487
action_support_only,44002,228,50,178,0.4697752808988764,0.08,0.13793103448275862,0.8595505617977528,0.618876404494382
action_support_only,44003,228,61,167,0.5369097869834102,0.22950819672131148,0.35,0.844311377245509,0.5341121036615294
action_support_only,44004,231,58,173,0.5024416982260315,0.15517241379310345,0.2571428571428571,0.8497109826589595,0.5856089296392267
action_support_only,44005,228,59,169,0.49638952963594424,0.15254237288135594,0.25,0.8402366863905325,0.5704543175208103
