model,held_out_seed,test_rows,test_unsafe,test_safe,balanced_accuracy,unsafe_recall,unsafe_precision,safe_specificity,roc_auc
context_support_only,44071,240,44,196,0.6217532467532467,0.38636363636363635,0.37777777777777777,0.8571428571428571,0.6708024118738405
context_support_only,44072,237,45,192,0.6394097222222221,0.37777777777777777,0.4722222222222222,0.9010416666666666,0.6600694444444444
context_support_only,44073,240,46,194,0.6435454952935903,0.3695652173913043,0.5151515151515151,0.9175257731958762,0.6418646346929628
context_support_only,44074,234,44,190,0.6711722488038278,0.4318181818181818,0.5277777777777778,0.9105263157894737,0.7188995215311005
context_support_only,44075,231,41,190,0.6652118100128369,0.4146341463414634,0.5151515151515151,0.9157894736842105,0.6833119383825417
context_support_only,44076,228,43,185,0.6544311753614079,0.3953488372093023,0.5151515151515151,0.9135135135135135,0.6664990571967315
context_support_only,44077,225,44,181,0.6406956303365143,0.38636363636363635,0.4722222222222222,0.8950276243093923,0.6808136614766449
context_support_only,44078,222,47,175,0.6252887537993921,0.3191489361702128,0.5555555555555556,0.9314285714285714,0.6727051671732523
context_support_only,44079,225,46,179,0.6295239251882438,0.32608695652173914,0.5555555555555556,0.9329608938547486,0.6774350255040078
context_support_only,44080,225,42,183,0.6375878220140515,0.35714285714285715,0.5,0.9180327868852459,0.6951600312256051
context_support_only,44081,222,41,181,0.6497776579975745,0.36585365853658536,0.5555555555555556,0.9337016574585635,0.6950545748551407
context_support_only,44082,216,45,171,0.6175438596491227,0.3111111111111111,0.5185185185185185,0.9239766081871345,0.6807017543859649
context_support_only,44083,210,48,162,0.6369598765432098,0.3541666666666667,0.5666666666666667,0.9197530864197531,0.728780864197531
context_support_only,44084,204,45,159,0.6480083857442348,0.37777777777777777,0.5666666666666667,0.9182389937106918,0.7714884696016772
context_support_only,44085,192,49,143,0.6586270871985158,0.40816326530612246,0.6060606060606061,0.9090909090909091,0.7746539175110603
context_support_only,44086,189,48,141,0.6622340425531915,0.4166666666666667,0.6060606060606061,0.9078014184397163,0.7708333333333333
context_support_only,44087,189,38,151,0.7036423841059603,0.5,0.5757575757575758,0.9072847682119205,0.7854653189264553
context_support_only,44088,192,39,153,0.6978381096028154,0.48717948717948717,0.5757575757575758,0.9084967320261438,0.7526395173453997
context_support_only,44089,177,45,132,0.6176767676767676,0.3111111111111111,0.5833333333333334,0.9242424242424242,0.6873737373737374
context_support_only,44090,180,34,146,0.6716357775987107,0.4117647058823529,0.5833333333333334,0.9315068493150684,0.7647058823529411
context_support_only,44091,180,37,143,0.6477036477036477,0.35135135135135137,0.6190476190476191,0.9440559440559441,0.7202797202797203
context_support_only,44092,186,37,149,0.631960819880283,0.32432432432432434,0.5714285714285714,0.9395973154362416,0.7304552875022674
context_support_only,44093,180,32,148,0.6570945945945945,0.375,0.5714285714285714,0.9391891891891891,0.7299408783783784
context_support_only,44094,180,30,150,0.69,0.43333333333333335,0.6190476190476191,0.9466666666666667,0.7833333333333333
context_support_only,44095,180,39,141,0.644026186579378,0.358974358974359,0.5833333333333334,0.9290780141843972,0.7414075286415711
context_support_only,44096,177,32,145,0.6564655172413794,0.375,0.5714285714285714,0.9379310344827586,0.7256465517241377
context_support_only,44097,174,35,139,0.6211716341212744,0.3142857142857143,0.5238095238095238,0.9280575539568345,0.6816032887975333
context_support_only,44098,174,35,139,0.6211716341212744,0.3142857142857143,0.5238095238095238,0.9280575539568345,0.666187050359712
context_support_only,44099,171,35,136,0.584453781512605,0.2571428571428571,0.42857142857142855,0.9117647058823529,0.6102941176470589
context_support_only,44100,177,38,139,0.5931465354032563,0.3157894736842105,0.4,0.8705035971223022,0.5948504354411208
context_support_only,44101,171,32,139,0.6443345323741008,0.375,0.5,0.9136690647482014,0.6618705035971223
context_support_only,44102,177,42,135,0.5984126984126984,0.2857142857142857,0.5,0.9111111111111111,0.6513227513227513
context_support_only,44103,177,41,136,0.6022238163558106,0.2926829268292683,0.5,0.9117647058823529,0.6312769010043041
context_support_only,44104,183,45,138,0.5898550724637681,0.26666666666666666,0.5,0.9130434782608695,0.6328502415458938
context_support_only,44105,186,47,139,0.6056176335527323,0.3191489361702128,0.5,0.8920863309352518,0.6568192254706873
context_support_only,44106,183,42,141,0.5886524822695035,0.3333333333333333,0.3888888888888889,0.8439716312056738,0.610435663627153
context_support_only,44107,183,43,140,0.5448504983388704,0.23255813953488372,0.3333333333333333,0.8571428571428571,0.5607973421926911
context_support_only,44108,189,44,145,0.5446708463949843,0.22727272727272727,0.3333333333333333,0.8620689655172413,0.5841692789968651
context_support_only,44109,189,40,149,0.5578859060402684,0.25,0.3333333333333333,0.8657718120805369,0.5966442953020135
context_support_only,44110,186,40,146,0.5940068493150685,0.325,0.3939393939393939,0.863013698630137,0.6628424657534248
predicted_loss_only,44071,240,44,196,0.5649350649350648,0.2727272727272727,0.3,0.8571428571428571,0.7072124304267162
predicted_loss_only,44072,237,45,192,0.4644097222222222,0.1111111111111111,0.125,0.8177083333333334,0.630787037037037
predicted_loss_only,44073,240,46,194,0.503361721201255,0.13043478260869565,0.2,0.8762886597938144,0.6911698789780367
predicted_loss_only,44074,234,44,190,0.5277511961722489,0.18181818181818182,0.25,0.8736842105263158,0.7240430622009569
predicted_loss_only,44075,231,41,190,0.6372272143774069,0.3902439024390244,0.42105263157894735,0.8842105263157894,0.7994865211810013
predicted_loss_only,44076,228,43,185,0.6236329352608423,0.4418604651162791,0.34545454545454546,0.8054054054054054,0.7347580138277813
predicted_loss_only,44077,225,44,181,0.5041436464088398,0.5,0.1981981981981982,0.5082872928176796,0.5463335007533903
predicted_loss_only,44078,222,47,175,0.5603647416413373,0.2978723404255319,0.3111111111111111,0.8228571428571428,0.6620060790273556
predicted_loss_only,44079,225,46,179,0.5730507651202332,0.3695652173913043,0.2982456140350877,0.776536312849162,0.5667962108331309
predicted_loss_only,44080,225,42,183,0.5942622950819672,0.5,0.2692307692307692,0.6885245901639344,0.6111111111111112
predicted_loss_only,44081,222,41,181,0.5435925077482819,0.6341463414634146,0.208,0.4530386740331492,0.5710820644118044
predicted_loss_only,44082,216,45,171,0.48070175438596485,0.7333333333333333,0.2,0.22807017543859648,0.5730994152046783
predicted_loss_only,44083,210,48,162,0.4610339506172839,0.6875,0.21019108280254778,0.2345679012345679,0.49434156378600824
predicted_loss_only,44084,204,45,159,0.6448637316561845,0.7111111111111111,0.32323232323232326,0.5786163522012578,0.7245283018867925
predicted_loss_only,44085,192,49,143,0.5203368060510918,0.7959183673469388,0.2653061224489796,0.24475524475524477,0.5722848579991436
predicted_loss_only,44086,189,48,141,0.5529698581560284,0.6875,0.28695652173913044,0.41843971631205673,0.5647163120567376
predicted_loss_only,44087,189,38,151,0.5167305681422099,0.9473684210526315,0.20689655172413793,0.08609271523178808,0.5149878006273962
predicted_loss_only,44088,192,39,153,0.5703871292106586,0.8205128205128205,0.23529411764705882,0.3202614379084967,0.5666163901458019
predicted_loss_only,44089,177,45,132,0.5252525252525253,0.7777777777777778,0.26717557251908397,0.2727272727272727,0.5324915824915825
predicted_loss_only,44090,180,34,146,0.46253021756647866,0.7058823529411765,0.17391304347826086,0.2191780821917808,0.4419822723609992
predicted_loss_only,44091,180,37,143,0.5042525042525043,0.7567567567567568,0.2074074074074074,0.2517482517482518,0.488943488943489
predicted_loss_only,44092,186,37,149,0.4988209686196263,0.6486486486486487,0.19834710743801653,0.348993288590604,0.4830400870669327
predicted_loss_only,44093,180,32,148,0.33741554054054057,0.59375,0.12258064516129032,0.08108108108108109,0.33445945945945943
predicted_loss_only,44094,180,30,150,0.44,0.7666666666666667,0.14743589743589744,0.11333333333333333,0.4057777777777778
predicted_loss_only,44095,180,39,141,0.49154391707583195,0.6923076923076923,0.2125984251968504,0.2907801418439716,0.48263320603746135
predicted_loss_only,44096,177,32,145,0.5476293103448275,0.8125,0.2,0.2827586206896552,0.5562499999999999
predicted_loss_only,44097,174,35,139,0.543884892086331,0.8,0.2204724409448819,0.28776978417266186,0.5237410071942445
predicted_loss_only,44098,174,35,139,0.5757451181911614,0.9428571428571428,0.23076923076923078,0.20863309352517986,0.5492291880781089
predicted_loss_only,44099,171,35,136,0.5907563025210084,0.8285714285714286,0.24786324786324787,0.35294117647058826,0.561344537815126
predicted_loss_only,44100,177,38,139,0.5732677016281711,0.8947368421052632,0.2463768115942029,0.2517985611510791,0.5967436577054146
predicted_loss_only,44101,171,32,139,0.55744154676259,0.90625,0.20863309352517986,0.20863309352517986,0.570818345323741
predicted_loss_only,44102,177,42,135,0.5687830687830687,0.9523809523809523,0.26666666666666666,0.18518518518518517,0.5932980599647266
predicted_loss_only,44103,177,41,136,0.5957675753228121,0.926829268292683,0.2753623188405797,0.2647058823529412,0.6269727403156385
predicted_loss_only,44104,183,45,138,0.5130434782608696,0.8666666666666667,0.25161290322580643,0.15942028985507245,0.5429951690821256
predicted_loss_only,44105,186,47,139,0.4889790295423236,0.5319148936170213,0.24509803921568626,0.4460431654676259,0.5274758916271238
predicted_loss_only,44106,183,42,141,0.414387031408308,0.5238095238095238,0.18333333333333332,0.3049645390070922,0.41100979398851745
predicted_loss_only,44107,183,43,140,0.5148671096345515,0.6511627906976745,0.24347826086956523,0.37857142857142856,0.5089700996677741
predicted_loss_only,44108,189,44,145,0.4816614420062696,0.5909090909090909,0.2222222222222222,0.3724137931034483,0.46677115987460815
predicted_loss_only,44109,189,40,149,0.49706375838926176,0.625,0.21008403361344538,0.3691275167785235,0.45637583892617445
predicted_loss_only,44110,186,40,146,0.3799657534246575,0.575,0.1619718309859155,0.18493150684931506,0.348972602739726
context_plus_loss,44071,240,44,196,0.6117810760667903,0.3409090909090909,0.39473684210526316,0.8826530612244898,0.7658858998144712
context_plus_loss,44072,237,45,192,0.6067708333333334,0.3333333333333333,0.39473684210526316,0.8802083333333334,0.7204861111111112
context_plus_loss,44073,240,46,194,0.6140744060959211,0.32608695652173914,0.4411764705882353,0.9020618556701031,0.7554908112953833
context_plus_loss,44074,234,44,190,0.648444976076555,0.38636363636363635,0.5,0.9105263157894737,0.8013157894736842
context_plus_loss,44075,231,41,190,0.6329268292682927,0.36585365853658536,0.4411764705882353,0.9,0.8378690629011554
context_plus_loss,44076,228,43,185,0.6257699560025142,0.3488372093023256,0.45454545454545453,0.9027027027027027,0.7908233815210559
context_plus_loss,44077,225,44,181,0.6410095429432446,0.4090909090909091,0.43902439024390244,0.8729281767955801,0.7321697639377198
context_plus_loss,44078,222,47,175,0.6294224924012158,0.3617021276595745,0.4857142857142857,0.8971428571428571,0.7229179331306992
context_plus_loss,44079,225,46,179,0.6127641486519311,0.32608695652173914,0.45454545454545453,0.8994413407821229,0.7035462715569589
context_plus_loss,44080,225,42,183,0.6211943793911007,0.35714285714285715,0.4166666666666667,0.8852459016393442,0.7138953942232631
context_plus_loss,44081,222,41,181,0.6426357633742084,0.3902439024390244,0.45714285714285713,0.8950276243093923,0.7089341059156448
context_plus_loss,44082,216,45,171,0.6415204678362574,0.4,0.47368421052631576,0.8830409356725146,0.7319038336582196
context_plus_loss,44083,210,48,162,0.660108024691358,0.4375,0.525,0.8827160493827161,0.6921296296296297
context_plus_loss,44084,204,45,159,0.6861635220125786,0.4666666666666667,0.5833333333333334,0.9056603773584906,0.7892382948986723
context_plus_loss,44085,192,49,143,0.7160696446410733,0.5510204081632653,0.6136363636363636,0.8811188811188811,0.7453974596831741
context_plus_loss,44086,189,48,141,0.6753102836879432,0.5208333333333334,0.5102040816326531,0.8297872340425532,0.7393617021276596
context_plus_loss,44087,189,38,151,0.6964098989194841,0.6842105263157895,0.37142857142857144,0.7086092715231788,0.7309166957127919
context_plus_loss,44088,192,39,153,0.7036199095022624,0.5641025641025641,0.4782608695652174,0.8431372549019608,0.735042735042735
context_plus_loss,44089,177,45,132,0.6618686868686868,0.4222222222222222,0.59375,0.9015151515151515,0.6506734006734007
context_plus_loss,44090,180,34,146,0.7099113618049959,0.5294117647058824,0.5294117647058824,0.8904109589041096,0.6458501208702659
context_plus_loss,44091,180,37,143,0.6973161973161973,0.5135135135135135,0.5277777777777778,0.8811188811188811,0.6647136647136648
context_plus_loss,44092,186,37,149,0.6827498639579177,0.4594594594594595,0.5483870967741935,0.9060402684563759,0.6252494104843099
