test_index,best_persistence,predicted_under_risk,predicted_safe_levels,predicted_safe_actions,predicted_safe_action_count,true_minimum_levels,true_safe_actions,true_safe_action_count,responsive_true_lambda,responsive_true_action,conservative_true_action,action_headroom,baseline_lambda,baseline_action,baseline_action_gap,baseline_lambda_gap,baseline_matches_responsive_action,baseline_matches_responsive_lambda,different_lambda_same_action_available,different_lambda_different_action_available
0,1,0.02280515121673653,0.00|0.10|0.25|1.00,2|3,2,0.00|0.10|0.25|1.00,2|3,2,0.0,2,3,1,0.0,2,0,0.0,1,1,1,1
1,1,0.011179931936987006,0.25|1.00,2|3,2,0.00|0.10|0.25|1.00,2|3,2,0.0,2,3,1,0.25,2,0,0.25,1,0,0,1
2,1,0.011272623240007376,0.00|0.10|0.25|1.00,2|3,2,0.00|0.10|0.25|1.00,2|3,2,0.0,2,3,1,0.0,2,0,0.0,1,1,1,1
3,1,0.024593994812742055,0.25|1.00,3,1,0.00|0.10|0.25|1.00,2|3,2,0.0,2,3,1,0.25,3,1,0.25,0,0,1,0
4,1,0.02638256442498864,1.00,1,1,0.00|0.10|0.25|1.00,1,1,0.0,1,1,0,1.0,1,0,1.0,1,0,0,0
5,2,0.027565087328314322,1.00,3,1,1.00,3,1,1.0,3,3,0,1.0,3,0,0.0,1,1,0,0
6,2,0.03441937398111071,1.00,3,1,0.10|0.25|1.00,3,1,0.1,3,3,0,1.0,3,0,0.9,1,0,0,0
7,2,0.03425887702294003,0.25|1.00,3,1,0.10|0.25|1.00,2|3,2,0.1,2,3,1,0.25,3,1,0.15,0,0,1,0
8,1,0.0460522615338116,1.00,3,1,0.00|0.10|0.25|1.00,1|3,2,0.0,1,3,2,1.0,3,2,1.0,0,0,0,0
9,1,0.042567450027431425,0.10|0.25|1.00,3,1,0.00|0.10|0.25|1.00,2|3,2,0.0,2,3,1,0.1,3,1,0.1,0,0,1,0
10,1,0.030993522774128465,0.00|0.10|0.25|1.00,3,1,0.00|0.10|0.25|1.00,3,1,0.0,3,3,0,0.0,3,0,0.0,1,1,1,0
11,1,0.037248184346602375,0.25|1.00,3,1,0.00|0.10|0.25|1.00,1|3,2,0.0,1,3,2,0.25,3,2,0.25,0,0,1,0
12,1,0.03664991528924929,0.10|0.25|1.00,2|3,2,0.00|0.10|0.25|1.00,1|2|3,3,0.0,1,3,2,0.1,2,1,0.1,0,0,0,1
13,1,0.018872985450852996,0.00|0.10|0.25|1.00,1|2|3,3,0.00|0.10|0.25|1.00,1|2|3,3,0.0,1,3,2,0.0,1,0,0.0,1,1,1,1
14,1,0.02476059077747911,0.00|0.10|0.25|1.00,2|3,2,0.00|0.10|0.25|1.00,2|3,2,0.0,2,3,1,0.0,2,0,0.0,1,1,1,1
15,1,0.03670569933458623,1.00,3,1,0.00|0.10|0.25|1.00,1|3,2,0.0,1,3,2,1.0,3,2,1.0,0,0,0,0
16,1,0.03144023959720714,1.00,3,1,0.00|0.10|0.25|1.00,1|3,2,0.0,1,3,2,1.0,3,2,1.0,0,0,0,0
17,1,0.04538115275370475,1.00,3,1,0.00|0.10|0.25|1.00,3,1,0.0,3,3,0,1.0,3,0,1.0,1,0,0,0
18,2,0.027912106784189476,1.00,3,1,0.00|0.10|0.25|1.00,2|3,2,0.0,2,3,1,1.0,3,1,1.0,0,0,0,0
19,2,0.01849410688953061,0.10|0.25|1.00,1|2|3,3,0.25|1.00,2|3,2,0.25,2,3,1,0.1,1,-1,-0.15,0,0,0,1
20,2,0.040866210078494974,0.10|0.25|1.00,3,1,0.00|0.10|0.25|1.00,3,1,0.0,3,3,0,0.1,3,0,0.1,1,0,1,0
21,2,0.04299907391748921,1.00,3,1,0.00|0.10|0.25|1.00,3,1,0.0,3,3,0,1.0,3,0,1.0,1,0,0,0
22,2,0.03670897179644808,1.00,3,1,0.00|0.10|0.25|1.00,3,1,0.0,3,3,0,1.0,3,0,1.0,1,0,0,0
23,2,0.029217456164213465,0.25,3,1,0.00|0.10|0.25|1.00,2|3,2,0.0,2,3,1,0.25,3,1,0.25,0,0,0,0
24,1,0.04592788430002088,0.25|1.00,3,1,0.00|0.10|0.25|1.00,2|3,2,0.0,2,3,1,0.25,3,1,0.25,0,0,1,0
25,1,0.022694503764401536,0.00|0.10|0.25|1.00,2|3,2,0.00|0.10|0.25|1.00,2|3,2,0.0,2,3,1,0.0,2,0,0.0,1,1,1,1
26,1,0.023856148773027813,0.00|0.10|0.25|1.00,2|3,2,0.00|0.10|0.25|1.00,2|3,2,0.0,2,3,1,0.0,2,0,0.0,1,1,1,1
27,1,0.035066168873382424,0.25|1.00,3,1,0.00|0.10|0.25|1.00,1|3,2,0.0,1,3,2,0.25,3,2,0.25,0,0,1,0
28,1,0.04750235102302107,1.00,3,1,0.00|0.10|0.25|1.00,1|2|3,3,0.0,1,3,2,1.0,3,2,1.0,0,0,0,0
29,1,0.023237868677336185,0.00|0.10|0.25|1.00,2|3,2,0.00|0.10|0.25|1.00,2|3,2,0.0,2,3,1,0.0,2,0,0.0,1,1,1,1
30,1,0.023780873381575078,1.00,3,1,0.00|0.10|0.25|1.00,1|3,2,0.0,1,3,2,1.0,3,2,1.0,0,0,0,0
31,1,0.019701317976916273,0.00|0.10|0.25|1.00,2|3,2,0.00|0.10|0.25|1.00,2|3,2,0.0,2,3,1,0.0,2,0,0.0,1,1,0,1
32,3,0.041186146798371175,0.25|1.00,3,1,0.25|1.00,3,1,0.25,3,3,0,0.25,3,0,0.0,1,1,1,0
33,3,0.0332631374973132,1.00,3,1,1.00,3,1,1.0,3,3,0,1.0,3,0,0.0,1,1,0,0
34,2,0.042777572975419474,1.00,3,1,1.00,3,1,1.0,3,3,0,1.0,3,0,0.0,1,1,0,0
35,2,0.03567679074560212,0.10|0.25|1.00,3,1,0.00|0.10|0.25|1.00,3,1,0.0,3,3,0,0.1,3,0,0.1,1,0,1,0
36,2,0.0361148293602659,1.00,3,1,0.00|0.10|0.25|1.00,3,1,0.0,3,3,0,1.0,3,0,1.0,1,0,0,0
37,2,0.03646748878062584,0.25|1.00,3,1,0.00|0.10|0.25|1.00,2|3,2,0.0,2,3,1,0.25,3,1,0.25,0,0,1,0
38,2,0.02468004002788759,0.00|0.10|0.25|1.00,3,1,0.00|0.10|0.25|1.00,3,1,0.0,3,3,0,0.0,3,0,0.0,1,1,1,0
39,2,0.03118213995305355,0.00|0.10|0.25|1.00,2|3,2,0.00|0.10|0.25|1.00,2|3,2,0.0,2,3,1,0.0,2,0,0.0,1,1,1,1
40,2,0.034663160168209146,0.25,3,1,0.00|0.10|0.25|1.00,2|3,2,0.0,2,3,1,0.25,3,1,0.25,0,0,0,0
41,3,0.020797499966750708,1.00,1,1,0.00|0.10|0.25|1.00,1,1,0.0,1,1,0,1.0,1,0,1.0,1,0,0,0
42,3,0.026822066442761982,1.00,1,1,0.00|0.10|0.25|1.00,1,1,0.0,1,1,0,1.0,1,0,1.0,1,0,0,0
43,2,0.03951930612254934,1.00,3,1,1.00,3,1,1.0,3,3,0,1.0,3,0,0.0,1,1,0,0
44,1,0.024436690988507717,1.00,3,1,0.00|0.10|0.25,1,1,0.0,1,1,0,1.0,3,2,1.0,0,0,0,0
45,1,0.021222086183046187,1.00,3,1,0.00|0.10|0.25|1.00,2|3,2,0.0,2,3,1,1.0,3,1,1.0,0,0,0,0
46,1,0.01365850721967068,1.00,3,1,0.00|0.10|0.25|1.00,2|3,2,0.0,2,3,1,1.0,3,1,1.0,0,0,0,0
47,1,0.01259623508265569,0.00|0.10|0.25|1.00,2|3,2,0.00|0.10|0.25|1.00,2|3,2,0.0,2,3,1,0.0,2,0,0.0,1,1,1,1
48,1,0.009318752027240971,1.00,3,1,0.00|0.10|0.25|1.00,1|3,2,0.0,1,3,2,1.0,3,2,1.0,0,0,0,0
49,1,0.028818895238164565,1.00,3,1,0.00|0.10|0.25|1.00,1|3,2,0.0,1,3,2,1.0,3,2,1.0,0,0,0,0
50,1,0.023520217346594405,1.00,3,1,0.00|0.10|0.25|1.00,3,1,0.0,3,3,0,1.0,3,0,1.0,1,0,0,0
51,1,0.02958356952205886,1.00,3,1,0.00|0.10|0.25|1.00,1|3,2,0.0,1,3,2,1.0,3,2,1.0,0,0,0,0
52,1,0.03759264192945932,1.00,3,1,0.00|0.10|0.25|1.00,1|3,2,0.0,1,3,2,1.0,3,2,1.0,0,0,0,0
53,1,0.024715343027548062,0.25|1.00,1|3,2,0.00|0.10|0.25|1.00,1|3,2,0.0,1,3,2,0.25,1,0,0.25,1,0,0,1
54,1,0.024536543970978028,0.00|0.10|0.25|1.00,2|3,2,0.00|0.10|0.25|1.00,2|3,2,0.0,2,3,1,0.0,2,0,0.0,1,1,1,1
55,1,0.04103390877169623,0.10|0.25|1.00,3,1,0.00|0.10|0.25|1.00,1|3,2,0.0,1,3,2,0.1,3,2,0.1,0,0,1,0
56,3,0.03274480707504506,1.00,3,1,0.25|1.00,3,1,0.25,3,3,0,1.0,3,0,0.75,1,0,0,0
57,3,0.03312817728570933,1.00,3,1,1.00,3,1,1.0,3,3,0,1.0,3,0,0.0,1,1,0,0
58,2,0.03188031448587982,1.00,3,1,0.10|0.25|1.00,2|3,2,0.1,2,3,1,1.0,3,1,0.9,0,0,0,0
59,1,0.02450722746566402,0.10|0.25|1.00,2|3,2,0.00|0.10|0.25|1.00,2|3,2,0.0,2,3,1,0.1,2,0,0.1,1,0,0,1
60,1,0.025880579595396618,1.00,3,1,0.00|0.10|0.25|1.00,1|3,2,0.0,1,3,2,1.0,3,2,1.0,0,0,0,0
61,1,0.013577055933409007,0.10|0.25|1.00,3,1,0.00|0.10|0.25|1.00,2|3,2,0.0,2,3,1,0.1,3,1,0.1,0,0,1,0
62,3,0.05077392905885838,1.00,3,1,1.00,3,1,1.0,3,3,0,1.0,3,0,0.0,1,1,0,0
63,3,0.03441037613827375,1.00,3,1,1.00,3,1,1.0,3,3,0,1.0,3,0,0.0,1,1,0,0
64,2,0.028331236741233785,1.00,3,1,0.25|1.00,3,1,0.25,3,3,0,1.0,3,0,0.75,1,0,0,0
