test_index,best_persistence,predicted_risk,selected_lambda,oracle_lambda,selected_action,oracle_lambda_action,selected_regret,oracle_lambda_regret
0,1,0.02280515121673653,0.0,0.0,2,2,0.0,0.0
1,1,0.011179931936987006,0.0,0.0,2,2,0.0,0.0
2,1,0.011272623240007376,0.0,0.0,2,2,0.0,0.0
3,1,0.024593994812742055,0.0,0.0,2,2,0.0,0.0
4,1,0.02638256442498864,1.0,0.0,1,1,0.0,0.0
5,2,0.027565087328314322,1.0,1.0,3,3,0.0,0.0
6,2,0.03441937398111071,0.0,0.1,1,3,0.02027768635697924,0.0
7,2,0.03425887702294003,0.0,0.1,1,2,0.020277686356979255,0.0
8,1,0.0460522615338116,1.0,0.0,3,1,0.0,0.0
9,1,0.042567450027431425,0.1,0.0,3,2,0.0,0.0
10,1,0.030993522774128465,0.0,0.0,3,3,0.0,0.0
11,1,0.037248184346602375,0.0,0.0,1,1,0.0,0.0
12,1,0.03664991528924929,0.0,0.0,1,1,0.0,0.0
13,1,0.018872985450852996,0.0,0.0,1,1,0.0,0.0
14,1,0.02476059077747911,0.0,0.0,2,2,0.0,0.0
15,1,0.03670569933458623,0.25,0.0,3,1,0.0,0.0
16,1,0.03144023959720714,1.0,0.0,3,1,0.0,0.0
17,1,0.04538115275370475,0.0,0.0,3,3,0.0,0.0
18,2,0.027912106784189476,0.1,0.0,2,2,0.0,0.0
19,2,0.01849410688953061,0.0,0.25,1,2,0.09518820021482474,0.0
20,2,0.040866210078494974,0.0,0.0,3,3,0.0,0.0
21,2,0.04299907391748921,0.0,0.0,3,3,0.0,0.0
22,2,0.03670897179644808,0.0,0.0,3,3,0.0,0.0
23,2,0.029217456164213465,0.0,0.0,2,2,0.0,0.0
24,1,0.04592788430002088,0.0,0.0,2,2,0.0,0.0
25,1,0.022694503764401536,0.0,0.0,2,2,0.0,0.0
26,1,0.023856148773027813,0.0,0.0,2,2,0.0,0.0
27,1,0.035066168873382424,0.0,0.0,1,1,0.0,0.0
28,1,0.04750235102302107,1.0,0.0,3,1,0.0,0.0
29,1,0.023237868677336185,0.0,0.0,2,2,0.0,0.0
30,1,0.023780873381575078,0.0,0.0,1,1,0.0,0.0
31,1,0.019701317976916273,0.0,0.0,2,2,0.0,0.0
32,3,0.041186146798371175,0.0,0.25,2,3,0.03348088192022192,0.0
33,3,0.0332631374973132,1.0,1.0,3,3,0.0,0.0
34,2,0.042777572975419474,1.0,1.0,3,3,0.0,0.0
35,2,0.03567679074560212,0.0,0.0,3,3,0.0,0.0
36,2,0.0361148293602659,0.0,0.0,3,3,0.0,0.0
37,2,0.03646748878062584,0.0,0.0,2,2,0.0,0.0
38,2,0.02468004002788759,0.0,0.0,3,3,0.0,0.0
39,2,0.03118213995305355,0.0,0.0,2,2,0.0,0.0
40,2,0.034663160168209146,0.0,0.0,2,2,0.0,0.0
41,3,0.020797499966750708,1.0,0.0,1,1,0.007375586548430901,0.007375586548430901
42,3,0.026822066442761982,1.0,0.0,1,1,0.03091974117703608,0.03091974117703608
43,2,0.03951930612254934,1.0,1.0,3,3,0.006871910725323005,0.006871910725323005
44,1,0.024436690988507717,1.0,0.0,3,1,0.006622848127195047,0.0
45,1,0.021222086183046187,0.1,0.0,2,2,0.0,0.0
46,1,0.01365850721967068,0.1,0.0,2,2,0.0,0.0
47,1,0.01259623508265569,0.0,0.0,2,2,0.0,0.0
48,1,0.009318752027240971,0.0,0.0,1,1,0.0,0.0
49,1,0.028818895238164565,0.0,0.0,1,1,0.0,0.0
50,1,0.023520217346594405,0.0,0.0,3,3,0.0,0.0
51,1,0.02958356952205886,0.25,0.0,1,1,0.0,0.0
52,1,0.03759264192945932,1.0,0.0,3,1,0.0,0.0
53,1,0.024715343027548062,0.0,0.0,1,1,0.0,0.0
54,1,0.024536543970978028,0.0,0.0,2,2,0.0,0.0
55,1,0.04103390877169623,0.0,0.0,1,1,0.0,0.0
56,3,0.03274480707504506,0.0,0.25,1,3,0.03170291884717713,0.0
57,3,0.03312817728570933,1.0,1.0,3,3,0.0,0.0
58,2,0.03188031448587982,0.1,0.1,2,2,0.0,0.0
59,1,0.02450722746566402,0.0,0.0,2,2,0.0,0.0
60,1,0.025880579595396618,1.0,0.0,3,1,0.0,0.0
61,1,0.013577055933409007,0.0,0.0,2,2,0.0,0.0
62,3,0.05077392905885838,0.1,1.0,2,3,0.03676296772801363,0.0
63,3,0.03441037613827375,1.0,1.0,3,3,0.0,0.0
64,2,0.028331236741233785,0.0,0.25,1,3,0.03138122831986773,0.0
65,2,0.02666612018666824,0.0,0.0,2,2,0.0,0.0
66,2,0.024864527996219323,0.0,1.0,1,3,0.03138122831986774,0.0
67,3,0.03559728941070486,0.0,0.25,1,3,0.05771781043348215,0.0
68,3,0.02766769465236672,1.0,0.0,1,1,0.057717810433482175,0.057717810433482175
69,2,0.03267914010910429,1.0,1.0,3,3,0.0,0.0
70,2,0.02537222256577211,0.0,1.0,1,3,0.0605707328558652,0.0
71,2,0.0203037311797933,0.0,0.0,2,2,0.0,0.0
72,2,0.031056467919537645,1.0,1.0,3,3,0.0,0.0
73,1,0.012339921780130157,0.0,0.0,1,1,0.0,0.0
74,1,0.01009082743405334,0.0,0.0,1,1,0.0,0.0
