step,true_state,observation,predicted_state,prediction_error,estimated_a,true_a
0,1.0,0.9783864505633108,1.0,-0.02161354943668925,0.5,0.92
1,1.92,1.894064459950272,1.4891932252816553,0.40487123466861674,0.531689642417809,0.92
2,2.7664,2.7497026207648507,2.007054455427241,0.7426481653376098,0.6442195221148682,0.92
3,3.5450880000000002,3.6503855587648295,2.771412108307133,0.8789734504576967,0.8375727701393684,0.92
4,4.26148096,4.242342717432567,4.057463544531404,0.18487917290116318,0.8915631911693518,0.92
5,4.9205624832,4.695959471048857,4.782316611188239,-0.08635714013938234,0.8622546644038628,0.92
6,5.526917484544001,5.5767652361541575,5.0491129577633735,0.527652278390784,1.0604813615342397,0.92
7,6.08476408578048,6.044663464005905,6.914055590593577,-0.8693921265876723,0.6726096984830183,0.92
8,6.597982958918042,6.565439156296263,5.065699269956329,1.4997398863399338,1.3978435302007277,0.92
9,7.070144322204599,7.087527040209728,10.177456647555255,-3.0899296073455274,-0.22509605654050913,0.92
10,7.504532776428231,7.539377436964239,-0.5953743873754362,8.134751824339675,4.38732582509172,0.92
11,7.904170154313973,8.078703957303844,34.077705334307026,-25.999001377003182,-11.29397692413868,0.92
12,8.271836541968856,8.370332017988657,-90.24069607073744,98.6110280887261,52.43796730419669,0.92
13,8.610089618611347,8.626665695227922,439.9231966845599,-431.296530989332,-236.36964570279875,0.92
14,8.92128244912244,8.810534208770717,-2038.0819139775122,2046.8924481862828,1176.2589034643775,0.92
15,9.207579853192646,9.05538049806949,10364.46930734403,-10355.41392684596,-6122.679388412185,0.92
16,9.470973464937234,9.507924794218914,-55442.19152975973,55451.69945455395,34048.21963763409,0.92
17,9.713295587742255,9.909957711822862,323728.91169167246,-323719.00173396064,-212183.45419805552,0.92
18,9.936231940722875,9.942480470308382,-2102728.0582512333,2102738.000731704,1454860.1191054755,0.92
19,10.141333385465046,10.125384891399428,14464919.321236717,-14464909.195851825,-10050506.055657797,0.92
20,10.330026714627843,10.409793147687974,-101765241.16687591,101765251.57666907,72382481.20705155,0.92
21,10.503624577457616,10.285592782756314,753486657.8818188,-753486647.596226,-555108730.0746746,0.92
22,10.663334611261007,10.616493013689324,-5709622346.701097,5709622357.31759,4143039310.7805176,0.92
23,10.810267842360126,10.883822222249155,43984547899.3416,-43984547888.45778,-33213892318.66712,0.92
24,10.945446414971316,11.076457072778233,-361494099304.29974,361494099315.3762,281541108588.5837,0.92
25,11.069810701773612,11.033716250875342,3118478003504.8423,-3118478003493.8086,-2481793910459.6035,0.92
26,11.184225845631724,11.240715824434911,-27383409801160.59,27383409801171.832,21689467987745.9,0.92
27,11.289487777981186,11.326719795380448,243805146033430.75,-243805146033419.44,-197554081059975.88,0.92
28,11.386328755742692,11.503677777048239,-2237639720600221.5,2237639720600233.0,1830055368400203.0,0.92
29,11.475422455283278,11.308439123146051,2.1052367272233244e+16,-2.105236727223323e+16,-1.754431659510756e+16,0.92
30,11.557388658860615,11.642626261998423,-1.9839883617297485e+17,1.9839883617297485e+17,1.6194217628210147e+17,0.92
31,11.632797566151767,11.405619507392997,1.8854322345071726e+18,-1.8854322345071726e+18,-1.5941684516132247e+18,0.92
32,11.702173760859626,11.309181947526799,-1.8182478789790284e+19,1.8182478789790284e+19,1.4996426330594093e+19,0.92
33,11.765999859990856,11.674966250760932,1.6959731393537026e+20,-1.6959731393537026e+20,-1.3844412415795988e+20,0.92
34,11.824719871191588,11.68734836423969,-1.6163304771603378e+21,1.6163304771603378e+21,1.3712041775159006e+21,0.92
35,11.878742281496262,12.010144117954722,1.6025740901129088e+22,-1.6025740901129088e+22,-1.3612669159007312e+22,0.92
36,11.928442898976561,12.028082783918496,-1.6349011842971532e+23,1.6349011842971532e+23,1.4347052157718202e+23,0.92
37,11.974167467058436,11.791306255864082,1.72567531058231e+24,-1.72567531058231e+24,-1.517054717930681e+24,0.92
38,12.01623406969376,12.14333828319596,-1.788805678602416e+25,1.788805678602416e+25,1.5356829752973211e+25,0.92
39,12.05493534411826,11.904604920481907,1.8648317864780237e+26,-1.8648317864780237e+26,-1.6580543604270122e+26,0.92
40,12.0905405165888,12.077603939638356,-1.973848209756589e+27,1.973848209756589e+27,1.714025212769514e+27,0.92
41,12.123297275261695,12.079212308568215,2.0701317662384554e+28,-2.0701317662384554e+28,-1.8287760047624152e+28,0.92
42,12.15343349324076,12.170596471859898,-2.209017362634037e+29,2.209017362634037e+29,1.9517775768493548e+29,0.92
43,12.181158813781499,12.303954260513065,2.3754297290658018e+30,-2.3754297290658018e+30,-2.1176539766926135e+30,0.92
