population,generation_seed,test_index,action,action2_indicator,harmful_target,context_benefit_probability,context_release_probability,context_anchor_age,context_trigger_score,context_feature_distance,context_current_mismatch_indicator,context_current_parameter_estimate,predicted_under_risk,predicted_primary_regret,predicted_expanded_regret,predicted_regret_margin,late_state_source
population_001_010,44001,1,1,0,1,0.7814713650050376,0.4119243168102502,12.0,5.7745644627971116,1.0653231569550239,0.4041313522860164,0.92505550288769,0.028354377230841287,0.002410292672359588,0.032844358324218295,0.03043406565185871,
population_001_010,44001,9,1,0,0,0.795010076237968,0.2863762779468019,14.0,7.879384310189478,1.342029532679311,0.01672374662134616,0.9194333846081063,0.024383854506640486,6.679023055893917e-06,0.004962859375812056,0.004956180352756162,
population_001_010,44001,12,1,0,0,0.7781694904723839,0.41139920653000284,10.0,4.912692563952169,1.0907345477350994,0.0867064058143898,0.9243235030267924,0.028644689124964248,0.0012290465653299462,0.027838740143172336,0.02660969357784239,
population_001_010,44001,16,2,1,0,0.6753414174622233,0.516797431983437,32.0,8.148622816496854,0.7423967050897616,0.03732684545589215,0.9243381068176053,0.04925168218298187,0.0,0.023884827843391094,0.023884827843391094,
population_001_010,44001,25,2,1,0,0.7720450451051927,0.29831805016744556,23.0,8.861221010077193,1.1352981109622844,0.21967958517753605,0.9228339308318991,0.02959117426674018,0.0,0.0009426869823052366,0.0009426869823052366,
population_001_010,44001,27,2,1,0,0.596495403495067,0.4332689504006412,53.0,8.861221010077193,0.6360654692585265,0.12502268252673449,0.9156246840625821,0.045084314954711914,0.0001116828069560547,0.006128306233417921,0.006016623426461866,
population_001_010,44001,33,2,1,0,0.549142003200566,0.609156520239056,51.0,6.49123797439421,0.577196721479508,0.012505419375037876,0.9243460247518722,0.03972549871702764,0.0004640251268082305,0.007323867779429052,0.006859842652620822,
population_001_010,44001,45,1,0,0,0.7601689342717441,0.36157765548997906,10.0,5.622785264913806,1.0968505567749078,0.0738432048619085,0.9187538953088877,0.03064666564866979,0.000138924737786667,0.007579678695814649,0.007440753958027982,
population_001_010,44001,47,1,0,0,0.6657571552365391,0.35382930072489127,40.0,5.622785264913806,0.7797343993379826,0.2288110763443333,0.9176689192949017,0.043329912769747576,0.0,0.0072100335781523864,0.0072100335781523864,
population_001_010,44001,70,2,1,0,0.6411498106112435,0.5829485399619073,38.0,6.361122938861032,0.6915540784807667,0.22184808434997733,0.9254053836149294,0.030616189947544798,0.0008561054252846172,0.0016553514992107203,0.0007992460739261031,
population_001_010,44002,3,2,1,0,0.6621805232954114,0.3720275254384491,4.0,7.879384310189478,1.5186374030612273,0.2270048725502553,0.917368274121192,0.05965325722378984,7.140035989172697e-06,0.0015597774853757782,0.0015526374493866056,
