policy,accuracy,mean_loss,mean_regret,median_regret,max_regret,zero_regret_fraction,regret_gt_0_005_fraction,under_count,over_count,exact_count,action_entropy,dominant_action_fraction,deviation_from_direct,threshold,mean_safe_action_recall,mean_safe_action_precision,responsive_action_retention,false_safe_context_fraction,mean_false_safe_regret,max_false_safe_regret,expansion_contexts,recovered_responsive_contexts,harmful_expansion_contexts
primary_baseline,0.2,0.14525536599514763,0.0031476976739487957,0.0,0.09518820021482474,0.9066666666666666,0.09333333333333334,5,55,15,0.7835807040488098,0.6666666666666666,0.56,,0.8,0.9688888888888889,0.6266666666666667,0.04,,,,,
expanded_threshold_0.50,0.36,0.1535333779779837,0.011425709656784855,0.0,0.09518820021482474,0.76,0.24,16,32,27,0.965570177435768,0.4266666666666667,0.10666666666666667,0.5,0.9711111111111111,0.8955555555555555,0.96,0.2,0.05086932004329192,0.09518820021482474,37,25,12
expanded_threshold_0.60,0.37333333333333335,0.1501181368650965,0.008010468543897668,0.0,0.09518820021482474,0.8133333333333334,0.18666666666666668,12,35,28,0.9980560796958198,0.36,0.2,0.6,0.9511111111111111,0.9288888888888889,0.92,0.13333333333333333,0.04979000919080529,0.09518820021482474,29,22,7
expanded_threshold_0.70,0.32,0.14699956042853565,0.004891892107336806,0.0,0.09518820021482474,0.8666666666666667,0.13333333333333333,8,43,24,0.9753656468286018,0.44,0.32,0.7,0.8977777777777778,0.9488888888888889,0.8266666666666667,0.08,0.04400114319433138,0.09518820021482474,18,15,3
expanded_threshold_0.80,0.25333333333333335,0.14619195065712412,0.00408428233592527,0.0,0.09518820021482474,0.88,0.12,7,49,19,0.9269509774012182,0.52,0.41333333333333333,0.8,0.86,0.9555555555555556,0.7466666666666667,0.06666666666666667,0.04068722526202462,0.09518820021482474,11,9,2
expanded_threshold_0.90,0.2,0.14525536599514763,0.0031476976739487957,0.0,0.09518820021482474,0.9066666666666666,0.09333333333333334,5,55,15,0.7835807040488098,0.6666666666666666,0.56,0.9,0.8,0.9688888888888889,0.6266666666666667,0.04,0.04439742555396251,0.09518820021482474,0,0,0
expanded_threshold_0.95,0.2,0.14525536599514763,0.0031476976739487957,0.0,0.09518820021482474,0.9066666666666666,0.09333333333333334,5,55,15,0.7835807040488098,0.6666666666666666,0.56,0.95,0.8,0.9688888888888889,0.6266666666666667,0.04,0.04439742555396251,0.09518820021482474,0,0,0
responsive_action_oracle,0.49333333333333335,0.14347946897298913,0.0013718006517902954,0.0,0.057717810433482175,0.9466666666666667,0.05333333333333334,3,35,37,0.9980560796958196,0.36,0.25333333333333335,,1.0,1.0,1.0,0.0,0.0,0.0,,,
fixed_k3,0.13333333333333333,0.14240755344289624,0.0002998851216973993,0.0,0.008996625274786896,0.96,0.04,0,65,10,0.0,1.0,0.88,,,,,,,,,,
action_oracle,1.0,0.14210766832119884,0.0,0.0,0.0,1.0,0.0,0,0,75,0.8830374409547586,0.5333333333333333,0.64,,,,,,,,,,
