threshold,test_index,best_persistence,primary_actions,expanded_actions,true_safe_actions,selected_action,true_responsive_action,selected_regret,responsive_retained,responsive_recovered_by_expansion,safe_action_recall,safe_action_precision,false_safe_actions,score_action_1,score_action_2,score_action_3
0.5,0,1,2|3,2|3,2|3,2,2,0.0,1,0,1.0,1.0,,0.2266964285714286,0.7041666666666666,0.7201162205849707
0.5,1,1,2|3,2|3,2|3,2,2,0.0,1,0,1.0,1.0,,0.3953020833333331,0.5549895833333334,0.49287465312465245
0.5,2,1,2|3,2|3,2|3,2,2,0.0,1,0,1.0,1.0,,0.15877083333333333,0.806540674603174,0.7435141056859801
0.5,3,1,3,2|3,2|3,2,2,0.0,1,1,1.0,1.0,,0.21929166666666663,0.5484280753968256,0.9007276924464425
0.5,4,1,1,1|3,1,1,1,0.0,1,0,1.0,0.5,3,0.3826294642857141,0.1486488095238095,0.5006719505984206
0.5,5,2,3,3,3,3,3,0.0,1,0,1.0,1.0,,0.49937500000000007,0.10806249999999996,0.715982187950938
0.5,6,2,3,3,3,3,3,0.0,1,0,1.0,1.0,,0.4764032738095237,0.15684672619047618,0.7329811958874457
0.5,7,2,3,1|3,2|3,1,2,0.020277686356979255,0,0,0.5,0.5,1,0.5331116071428572,0.41267906746031763,0.8429954534844241
0.5,8,1,3,1|3,1|3,1,1,0.0,1,1,1.0,1.0,,0.7634082341269839,0.09911011904761902,0.788214285714286
0.5,9,1,3,2|3,2|3,2,2,0.0,1,1,1.0,1.0,,0.09441666666666666,0.8166478174603178,0.8809841269841269
0.5,10,1,3,3,3,3,3,0.0,1,0,1.0,1.0,,0.05820833333333333,0.49079662698412696,0.8780245535714286
0.5,11,1,3,1|3,1|3,1,1,0.0,1,1,1.0,1.0,,0.8801815476190477,0.10020238095238093,0.8348859126984128
0.5,12,1,2|3,1|2|3,1|2|3,1,1,0.0,1,1,1.0,1.0,,0.7601235119047621,0.3727023809523811,0.76071626984127
