cause,batch_size,threshold,direction,accuracy,balanced_accuracy,precision,recall,specificity,tp,tn,fp,fn,mean_vote_sufficient,mean_vote_insufficient,bootstrap_replicates
measurement_noise,1,0.5,>=,0.736,0.736,0.75764192139738,0.694,0.778,347,389,111,153,0.694,0.222,500
measurement_noise,2,0.25,>=,0.723,0.7230000000000001,0.6622998544395924,0.91,0.536,455,268,232,45,0.697,0.261,500
measurement_noise,5,0.5,>=,0.854,0.8540000000000001,0.9004524886877828,0.796,0.912,398,456,44,102,0.6680000000000027,0.24880000000000127,500
measurement_noise,10,0.45,>=,0.931,0.931,0.9217221135029354,0.942,0.92,471,460,40,29,0.6749999999999999,0.2536,500
measurement_noise,20,0.475,>=,0.983,0.983,0.9878787878787879,0.978,0.988,489,494,6,11,0.6746999999999994,0.2574000000000003,500
measurement_noise,50,0.44,>=,1.0,1.0,1.0,1.0,1.0,500,500,0,0,0.680120000000001,0.25024000000000024,500
process_disturbance,1,0.5,>=,0.663,0.663,0.629570747217806,0.792,0.534,396,267,233,104,0.792,0.466,500
process_disturbance,2,0.75,>=,0.697,0.697,0.7571801566579635,0.58,0.814,290,407,93,210,0.757,0.443,500
process_disturbance,5,0.7,>=,0.759,0.759,0.8363636363636363,0.644,0.874,322,437,63,178,0.7460000000000037,0.4559999999999998,500
process_disturbance,10,0.6499999999999999,>=,0.852,0.8520000000000001,0.9131455399061033,0.778,0.926,389,463,37,111,0.7495999999999995,0.44800000000000034,500
process_disturbance,20,0.625,>=,0.944,0.944,0.9644351464435147,0.922,0.966,461,483,17,39,0.7547000000000004,0.4448999999999997,500
process_disturbance,50,0.59,>=,0.999,0.999,0.998003992015968,1.0,0.998,500,499,1,0,0.7506800000000008,0.4496400000000001,500
parameter_mismatch,1,0.5,>=,0.671,0.671,0.6628571428571428,0.696,0.646,348,323,177,152,0.696,0.354,500
parameter_mismatch,2,0.25,>=,0.67,0.67,0.6183844011142061,0.888,0.452,444,226,274,56,0.66,0.328,500
parameter_mismatch,5,0.5,>=,0.804,0.804,0.796875,0.816,0.792,408,396,104,92,0.6764000000000024,0.3308000000000006,500
parameter_mismatch,10,0.55,>=,0.865,0.865,0.9234338747099768,0.796,0.934,398,467,33,102,0.6736000000000006,0.33480000000000043,500
parameter_mismatch,20,0.475,>=,0.957,0.957,0.9471624266144814,0.968,0.946,484,473,27,16,0.6708999999999995,0.32330000000000025,500
parameter_mismatch,50,0.5,>=,1.0,1.0,1.0,1.0,1.0,500,500,0,0,0.6668400000000007,0.3317200000000002,500
structural_change,1,0.5,>=,0.995,0.995,0.9900990099009901,1.0,0.99,500,495,5,0,1.0,0.01,500
structural_change,2,0.75,>=,1.0,1.0,1.0,1.0,1.0,500,500,0,0,1.0,0.005,500
structural_change,5,0.6,>=,1.0,1.0,1.0,1.0,1.0,500,500,0,0,1.0,0.010800000000000004,500
structural_change,10,0.55,>=,1.0,1.0,1.0,1.0,1.0,500,500,0,0,1.0,0.01159999999999999,500
structural_change,20,0.525,>=,1.0,1.0,1.0,1.0,1.0,500,500,0,0,1.0,0.008999999999999984,500
structural_change,50,0.51,>=,1.0,1.0,1.0,1.0,1.0,500,500,0,0,1.0,0.010559999999999951,500
