condition,true_class,seed,policy,classification_correct,classification_margin,adaptation_scale,uncertainty_scale,post_event_state_proxy_rmse,post_event_parameter_rmse,final_parameter_error,cumulative_abs_parameter_update,recovery_time,recovered,intervened
measurement_noise_boundary,measurement_noise,37000,baseline,False,0.0026329870102718145,1.0,1.0,0.8788447579592249,0.00973520174820022,0.0062670454978051016,0.8625209674551707,0,True,False
measurement_noise_boundary,measurement_noise,37000,generic_uncertainty,False,0.0026329870102718145,0.25,1.5,0.7175737400399621,0.3147322647679285,0.31656676137445117,0.21563024186379268,,False,True
measurement_noise_boundary,measurement_noise,37000,probabilistic_failure_aware,False,0.0026329870102718145,0.1,1.25,0.7860626481864705,0.3778904282860235,0.37862670454978065,0.08625209674551708,,False,True
measurement_noise_boundary,measurement_noise,37001,baseline,True,0.8915667288805142,1.0,1.0,1.1163497566195066,0.008884696567660388,0.014601985570859122,0.889568967498606,0,True,False
measurement_noise_boundary,measurement_noise,37001,generic_uncertainty,True,0.8915667288805142,0.25,1.5,0.9114957593993261,0.3147362966861243,0.3113495036072852,0.2223922418746515,,False,True
measurement_noise_boundary,measurement_noise,37001,probabilistic_failure_aware,True,0.8915667288805142,0.1,1.25,0.998493576986625,0.37789245922636816,0.3765398014429141,0.08895689674986061,,False,True
measurement_noise_boundary,measurement_noise,37002,baseline,False,0.050796546794940944,1.0,1.0,0.9034601399864367,0.0070843980842456725,0.004407473183685284,0.811364340155355,0,True,False
measurement_noise_boundary,measurement_noise,37002,generic_uncertainty,False,0.050796546794940944,0.25,1.5,0.7376721153034103,0.314714268296067,0.3161018682959216,0.20284108503883874,,False,True
measurement_noise_boundary,measurement_noise,37002,probabilistic_failure_aware,False,0.050796546794940944,0.1,1.25,0.8080793151884593,0.37788441373951587,0.37844074731836874,0.08113643401553543,,False,True
measurement_noise_boundary,measurement_noise,37003,baseline,True,0.3452137603885148,1.0,1.0,0.8785886059356908,0.007457802886797466,0.0005343986978595394,0.8485337605913146,0,True,False
measurement_noise_boundary,measurement_noise,37003,generic_uncertainty,True,0.3452137603885148,0.25,1.5,0.7173645927885489,0.31499512339202485,0.31513359967446486,0.21213344014782864,,False,True
measurement_noise_boundary,measurement_noise,37003,probabilistic_failure_aware,True,0.3452137603885148,0.1,1.25,0.7858335388515919,0.3779965779589615,0.3780534398697859,0.08485337605913147,,False,True
measurement_noise_boundary,measurement_noise,37004,baseline,True,0.5052085223867648,1.0,1.0,0.9871141940250738,0.009746950664633061,0.004118237631679844,0.8476226771964406,0,True,False
measurement_noise_boundary,measurement_noise,37004,generic_uncertainty,True,0.5052085223867648,0.25,1.5,0.8059753644067009,0.3151645687403447,0.3139704405920798,0.21190566929911014,,False,True
measurement_noise_boundary,measurement_noise,37004,probabilistic_failure_aware,True,0.5052085223867648,0.1,1.25,0.8829017757579929,0.3780633260789958,0.3775881762368324,0.08476226771964404,,False,True
measurement_noise_boundary,measurement_noise,37005,baseline,True,0.6134497107824025,1.0,1.0,0.9697997713976028,0.009787348669739866,0.010182293512616236,0.9007434317119298,0,True,False
measurement_noise_boundary,measurement_noise,37005,generic_uncertainty,True,0.6134497107824025,0.25,1.5,0.7918381975306334,0.31499401297795515,0.31754557337815414,0.22518585792798246,,False,True
measurement_noise_boundary,measurement_noise,37005,probabilistic_failure_aware,True,0.6134497107824025,0.1,1.25,0.8674152853635186,0.37799507099677776,0.3790182293512613,0.09007434317119292,,False,True
measurement_noise_boundary,measurement_noise,37006,baseline,True,0.4191500360217204,1.0,1.0,0.8576498153074888,0.009358309551083119,0.011287002291305748,0.8298233765043097,0,True,False
measurement_noise_boundary,measurement_noise,37006,generic_uncertainty,True,0.4191500360217204,0.25,1.5,0.7002681418318604,0.31556622955388003,0.317821750572827,0.20745584412607743,,False,True
measurement_noise_boundary,measurement_noise,37006,probabilistic_failure_aware,True,0.4191500360217204,0.1,1.25,0.7671053151670739,0.37822431195465966,0.3791287002291306,0.08298233765043093,,False,True
measurement_noise_boundary,measurement_noise,37007,baseline,True,0.6211846523613185,1.0,1.0,1.003257369331107,0.008575579475996313,0.011059146150425136,0.8938937960700363,0,True,False
measurement_noise_boundary,measurement_noise,37007,generic_uncertainty,True,0.6211846523613185,0.25,1.5,0.8191562118493939,0.315277861471235,0.31223521346239347,0.22347344901750907,,False,True
measurement_noise_boundary,measurement_noise,37007,probabilistic_failure_aware,True,0.6211846523613185,0.1,1.25,0.8973406707007872,0.37810923230859256,0.3768940853849573,0.08938937960700365,,False,True
measurement_noise_boundary,measurement_noise,37008,baseline,True,0.8759578734698522,1.0,1.0,0.8659784716506805,0.008311890430649784,0.003629114699772451,0.8469719054789254,0,True,False
measurement_noise_boundary,measurement_noise,37008,generic_uncertainty,True,0.8759578734698522,0.25,1.5,0.7070684612597984,0.3160052112869312,0.31409272132505717,0.21174297636973136,,False,True
measurement_noise_boundary,measurement_noise,37008,probabilistic_failure_aware,True,0.8759578734698522,0.1,1.25,0.7745546918649182,0.3784006859911705,0.37763708853002276,0.08469719054789251,,False,True
measurement_noise_boundary,measurement_noise,37009,baseline,True,0.9071191469808431,1.0,1.0,1.0852540883859727,0.007550340917874866,0.002060344193023589,0.8672412105990069,0,True,False
