test_index,best_persistence,predicted_under_risk,action_lambda_0.00,action_lambda_0.10,action_lambda_0.25,action_lambda_1.00,regret_lambda_0.00,regret_lambda_0.10,regret_lambda_0.25,regret_lambda_1.00,minimum_regret,exact_min_levels,responsive_exact_min_lambda,conservative_exact_min_lambda,exact_min_lambda_span,action_groups,regret_groups,largest_action_group,largest_regret_group,epsilon_0.000000_levels,epsilon_0.000000_size,epsilon_0.000000_responsive_lambda,epsilon_0.000000_conservative_lambda,epsilon_0.000100_levels,epsilon_0.000100_size,epsilon_0.000100_responsive_lambda,epsilon_0.000100_conservative_lambda,epsilon_0.000500_levels,epsilon_0.000500_size,epsilon_0.000500_responsive_lambda,epsilon_0.000500_conservative_lambda,epsilon_0.001000_levels,epsilon_0.001000_size,epsilon_0.001000_responsive_lambda,epsilon_0.001000_conservative_lambda,epsilon_0.002500_levels,epsilon_0.002500_size,epsilon_0.002500_responsive_lambda,epsilon_0.002500_conservative_lambda,epsilon_0.005000_levels,epsilon_0.005000_size,epsilon_0.005000_responsive_lambda,epsilon_0.005000_conservative_lambda
0,1,0.02280515121673653,2,2,3,3,0.0,0.0,0.0,0.0,0.0,0.00|0.10|0.25|1.00,0.0,1.0,1.0,k2:0.00|0.10;k3:0.25|1.00,0.00|0.10|0.25|1.00,2,4,0.00|0.10|0.25|1.00,4,0.0,1.0,0.00|0.10|0.25|1.00,4,0.0,1.0,0.00|0.10|0.25|1.00,4,0.0,1.0,0.00|0.10|0.25|1.00,4,0.0,1.0,0.00|0.10|0.25|1.00,4,0.0,1.0,0.00|0.10|0.25|1.00,4,0.0,1.0
1,1,0.011179931936987006,2,2,2,3,0.0,0.0,0.0,0.0,0.0,0.00|0.10|0.25|1.00,0.0,1.0,1.0,k2:0.00|0.10|0.25;k3:1.00,0.00|0.10|0.25|1.00,3,4,0.00|0.10|0.25|1.00,4,0.0,1.0,0.00|0.10|0.25|1.00,4,0.0,1.0,0.00|0.10|0.25|1.00,4,0.0,1.0,0.00|0.10|0.25|1.00,4,0.0,1.0,0.00|0.10|0.25|1.00,4,0.0,1.0,0.00|0.10|0.25|1.00,4,0.0,1.0
2,1,0.011272623240007376,2,2,2,3,0.0,0.0,0.0,0.0,0.0,0.00|0.10|0.25|1.00,0.0,1.0,1.0,k2:0.00|0.10|0.25;k3:1.00,0.00|0.10|0.25|1.00,3,4,0.00|0.10|0.25|1.00,4,0.0,1.0,0.00|0.10|0.25|1.00,4,0.0,1.0,0.00|0.10|0.25|1.00,4,0.0,1.0,0.00|0.10|0.25|1.00,4,0.0,1.0,0.00|0.10|0.25|1.00,4,0.0,1.0,0.00|0.10|0.25|1.00,4,0.0,1.0
3,1,0.024593994812742055,2,3,3,3,0.0,0.0,0.0,0.0,0.0,0.00|0.10|0.25|1.00,0.0,1.0,1.0,k2:0.00;k3:0.10|0.25|1.00,0.00|0.10|0.25|1.00,3,4,0.00|0.10|0.25|1.00,4,0.0,1.0,0.00|0.10|0.25|1.00,4,0.0,1.0,0.00|0.10|0.25|1.00,4,0.0,1.0,0.00|0.10|0.25|1.00,4,0.0,1.0,0.00|0.10|0.25|1.00,4,0.0,1.0,0.00|0.10|0.25|1.00,4,0.0,1.0
4,1,0.02638256442498864,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.00|0.10|0.25|1.00,0.0,1.0,1.0,k1:0.00|0.10|0.25|1.00,0.00|0.10|0.25|1.00,4,4,0.00|0.10|0.25|1.00,4,0.0,1.0,0.00|0.10|0.25|1.00,4,0.0,1.0,0.00|0.10|0.25|1.00,4,0.0,1.0,0.00|0.10|0.25|1.00,4,0.0,1.0,0.00|0.10|0.25|1.00,4,0.0,1.0,0.00|0.10|0.25|1.00,4,0.0,1.0
5,2,0.027565087328314322,1,1,1,3,0.020277686356979296,0.020277686356979296,0.020277686356979296,0.0,0.0,1.00,1.0,1.0,0.0,k1:0.00|0.10|0.25;k3:1.00,0.00|0.10|0.25;1.00,3,3,1.00,1,1.0,1.0,1.00,1,1.0,1.0,1.00,1,1.0,1.0,1.00,1,1.0,1.0,1.00,1,1.0,1.0,1.00,1,1.0,1.0
6,2,0.03441937398111071,1,3,3,3,0.02027768635697924,0.0,0.0,0.0,0.0,0.10|0.25|1.00,0.1,1.0,0.9,k1:0.00;k3:0.10|0.25|1.00,0.00;0.10|0.25|1.00,3,3,0.10|0.25|1.00,3,0.1,1.0,0.10|0.25|1.00,3,0.1,1.0,0.10|0.25|1.00,3,0.1,1.0,0.10|0.25|1.00,3,0.1,1.0,0.10|0.25|1.00,3,0.1,1.0,0.10|0.25|1.00,3,0.1,1.0
7,2,0.03425887702294003,1,2,3,3,0.020277686356979255,0.0,0.0,0.0,0.0,0.10|0.25|1.00,0.1,1.0,0.9,k1:0.00;k2:0.10;k3:0.25|1.00,0.00;0.10|0.25|1.00,2,3,0.10|0.25|1.00,3,0.1,1.0,0.10|0.25|1.00,3,0.1,1.0,0.10|0.25|1.00,3,0.1,1.0,0.10|0.25|1.00,3,0.1,1.0,0.10|0.25|1.00,3,0.1,1.0,0.10|0.25|1.00,3,0.1,1.0
8,1,0.0460522615338116,1,1,1,3,0.0,0.0,0.0,0.0,0.0,0.00|0.10|0.25|1.00,0.0,1.0,1.0,k1:0.00|0.10|0.25;k3:1.00,0.00|0.10|0.25|1.00,3,4,0.00|0.10|0.25|1.00,4,0.0,1.0,0.00|0.10|0.25|1.00,4,0.0,1.0,0.00|0.10|0.25|1.00,4,0.0,1.0,0.00|0.10|0.25|1.00,4,0.0,1.0,0.00|0.10|0.25|1.00,4,0.0,1.0,0.00|0.10|0.25|1.00,4,0.0,1.0
9,1,0.042567450027431425,2,3,3,3,0.0,0.0,0.0,0.0,0.0,0.00|0.10|0.25|1.00,0.0,1.0,1.0,k2:0.00;k3:0.10|0.25|1.00,0.00|0.10|0.25|1.00,3,4,0.00|0.10|0.25|1.00,4,0.0,1.0,0.00|0.10|0.25|1.00,4,0.0,1.0,0.00|0.10|0.25|1.00,4,0.0,1.0,0.00|0.10|0.25|1.00,4,0.0,1.0,0.00|0.10|0.25|1.00,4,0.0,1.0,0.00|0.10|0.25|1.00,4,0.0,1.0
10,1,0.030993522774128465,3,3,3,3,0.0,0.0,0.0,0.0,0.0,0.00|0.10|0.25|1.00,0.0,1.0,1.0,k3:0.00|0.10|0.25|1.00,0.00|0.10|0.25|1.00,4,4,0.00|0.10|0.25|1.00,4,0.0,1.0,0.00|0.10|0.25|1.00,4,0.0,1.0,0.00|0.10|0.25|1.00,4,0.0,1.0,0.00|0.10|0.25|1.00,4,0.0,1.0,0.00|0.10|0.25|1.00,4,0.0,1.0,0.00|0.10|0.25|1.00,4,0.0,1.0
11,1,0.037248184346602375,1,1,3,3,0.0,0.0,0.0,0.0,0.0,0.00|0.10|0.25|1.00,0.0,1.0,1.0,k1:0.00|0.10;k3:0.25|1.00,0.00|0.10|0.25|1.00,2,4,0.00|0.10|0.25|1.00,4,0.0,1.0,0.00|0.10|0.25|1.00,4,0.0,1.0,0.00|0.10|0.25|1.00,4,0.0,1.0,0.00|0.10|0.25|1.00,4,0.0,1.0,0.00|0.10|0.25|1.00,4,0.0,1.0,0.00|0.10|0.25|1.00,4,0.0,1.0
12,1,0.03664991528924929,1,2,3,3,0.0,0.0,0.0,0.0,0.0,0.00|0.10|0.25|1.00,0.0,1.0,1.0,k1:0.00;k2:0.10;k3:0.25|1.00,0.00|0.10|0.25|1.00,2,4,0.00|0.10|0.25|1.00,4,0.0,1.0,0.00|0.10|0.25|1.00,4,0.0,1.0,0.00|0.10|0.25|1.00,4,0.0,1.0,0.00|0.10|0.25|1.00,4,0.0,1.0,0.00|0.10|0.25|1.00,4,0.0,1.0,0.00|0.10|0.25|1.00,4,0.0,1.0
13,1,0.018872985450852996,1,1,2,3,0.0,0.0,0.0,0.0,0.0,0.00|0.10|0.25|1.00,0.0,1.0,1.0,k1:0.00|0.10;k2:0.25;k3:1.00,0.00|0.10|0.25|1.00,2,4,0.00|0.10|0.25|1.00,4,0.0,1.0,0.00|0.10|0.25|1.00,4,0.0,1.0,0.00|0.10|0.25|1.00,4,0.0,1.0,0.00|0.10|0.25|1.00,4,0.0,1.0,0.00|0.10|0.25|1.00,4,0.0,1.0,0.00|0.10|0.25|1.00,4,0.0,1.0
14,1,0.02476059077747911,2,2,3,3,0.0,0.0,0.0,0.0,0.0,0.00|0.10|0.25|1.00,0.0,1.0,1.0,k2:0.00|0.10;k3:0.25|1.00,0.00|0.10|0.25|1.00,2,4,0.00|0.10|0.25|1.00,4,0.0,1.0,0.00|0.10|0.25|1.00,4,0.0,1.0,0.00|0.10|0.25|1.00,4,0.0,1.0,0.00|0.10|0.25|1.00,4,0.0,1.0,0.00|0.10|0.25|1.00,4,0.0,1.0,0.00|0.10|0.25|1.00,4,0.0,1.0
15,1,0.03670569933458623,1,1,3,3,0.0,0.0,0.0,0.0,0.0,0.00|0.10|0.25|1.00,0.0,1.0,1.0,k1:0.00|0.10;k3:0.25|1.00,0.00|0.10|0.25|1.00,2,4,0.00|0.10|0.25|1.00,4,0.0,1.0,0.00|0.10|0.25|1.00,4,0.0,1.0,0.00|0.10|0.25|1.00,4,0.0,1.0,0.00|0.10|0.25|1.00,4,0.0,1.0,0.00|0.10|0.25|1.00,4,0.0,1.0,0.00|0.10|0.25|1.00,4,0.0,1.0
16,1,0.03144023959720714,1,1,1,3,0.0,0.0,0.0,0.0,0.0,0.00|0.10|0.25|1.00,0.0,1.0,1.0,k1:0.00|0.10|0.25;k3:1.00,0.00|0.10|0.25|1.00,3,4,0.00|0.10|0.25|1.00,4,0.0,1.0,0.00|0.10|0.25|1.00,4,0.0,1.0,0.00|0.10|0.25|1.00,4,0.0,1.0,0.00|0.10|0.25|1.00,4,0.0,1.0,0.00|0.10|0.25|1.00,4,0.0,1.0,0.00|0.10|0.25|1.00,4,0.0,1.0
17,1,0.04538115275370475,3,3,3,3,0.0,0.0,0.0,0.0,0.0,0.00|0.10|0.25|1.00,0.0,1.0,1.0,k3:0.00|0.10|0.25|1.00,0.00|0.10|0.25|1.00,4,4,0.00|0.10|0.25|1.00,4,0.0,1.0,0.00|0.10|0.25|1.00,4,0.0,1.0,0.00|0.10|0.25|1.00,4,0.0,1.0,0.00|0.10|0.25|1.00,4,0.0,1.0,0.00|0.10|0.25|1.00,4,0.0,1.0,0.00|0.10|0.25|1.00,4,0.0,1.0
18,2,0.027912106784189476,2,2,2,3,0.0,0.0,0.0,0.0,0.0,0.00|0.10|0.25|1.00,0.0,1.0,1.0,k2:0.00|0.10|0.25;k3:1.00,0.00|0.10|0.25|1.00,3,4,0.00|0.10|0.25|1.00,4,0.0,1.0,0.00|0.10|0.25|1.00,4,0.0,1.0,0.00|0.10|0.25|1.00,4,0.0,1.0,0.00|0.10|0.25|1.00,4,0.0,1.0,0.00|0.10|0.25|1.00,4,0.0,1.0,0.00|0.10|0.25|1.00,4,0.0,1.0
19,2,0.01849410688953061,1,1,2,3,0.09518820021482474,0.09518820021482474,0.0,0.0,0.0,0.25|1.00,0.25,1.0,0.75,k1:0.00|0.10;k2:0.25;k3:1.00,0.00|0.10;0.25|1.00,2,2,0.25|1.00,2,0.25,1.0,0.25|1.00,2,0.25,1.0,0.25|1.00,2,0.25,1.0,0.25|1.00,2,0.25,1.0,0.25|1.00,2,0.25,1.0,0.25|1.00,2,0.25,1.0
20,2,0.040866210078494974,3,3,3,3,0.0,0.0,0.0,0.0,0.0,0.00|0.10|0.25|1.00,0.0,1.0,1.0,k3:0.00|0.10|0.25|1.00,0.00|0.10|0.25|1.00,4,4,0.00|0.10|0.25|1.00,4,0.0,1.0,0.00|0.10|0.25|1.00,4,0.0,1.0,0.00|0.10|0.25|1.00,4,0.0,1.0,0.00|0.10|0.25|1.00,4,0.0,1.0,0.00|0.10|0.25|1.00,4,0.0,1.0,0.00|0.10|0.25|1.00,4,0.0,1.0
21,2,0.04299907391748921,3,3,3,3,0.0,0.0,0.0,0.0,0.0,0.00|0.10|0.25|1.00,0.0,1.0,1.0,k3:0.00|0.10|0.25|1.00,0.00|0.10|0.25|1.00,4,4,0.00|0.10|0.25|1.00,4,0.0,1.0,0.00|0.10|0.25|1.00,4,0.0,1.0,0.00|0.10|0.25|1.00,4,0.0,1.0,0.00|0.10|0.25|1.00,4,0.0,1.0,0.00|0.10|0.25|1.00,4,0.0,1.0,0.00|0.10|0.25|1.00,4,0.0,1.0
22,2,0.03670897179644808,3,3,3,3,0.0,0.0,0.0,0.0,0.0,0.00|0.10|0.25|1.00,0.0,1.0,1.0,k3:0.00|0.10|0.25|1.00,0.00|0.10|0.25|1.00,4,4,0.00|0.10|0.25|1.00,4,0.0,1.0,0.00|0.10|0.25|1.00,4,0.0,1.0,0.00|0.10|0.25|1.00,4,0.0,1.0,0.00|0.10|0.25|1.00,4,0.0,1.0,0.00|0.10|0.25|1.00,4,0.0,1.0,0.00|0.10|0.25|1.00,4,0.0,1.0
23,2,0.029217456164213465,2,2,3,3,0.0,0.0,0.0,0.0,0.0,0.00|0.10|0.25|1.00,0.0,1.0,1.0,k2:0.00|0.10;k3:0.25|1.00,0.00|0.10|0.25|1.00,2,4,0.00|0.10|0.25|1.00,4,0.0,1.0,0.00|0.10|0.25|1.00,4,0.0,1.0,0.00|0.10|0.25|1.00,4,0.0,1.0,0.00|0.10|0.25|1.00,4,0.0,1.0,0.00|0.10|0.25|1.00,4,0.0,1.0,0.00|0.10|0.25|1.00,4,0.0,1.0
24,1,0.04592788430002088,2,2,3,3,0.0,0.0,0.0,0.0,0.0,0.00|0.10|0.25|1.00,0.0,1.0,1.0,k2:0.00|0.10;k3:0.25|1.00,0.00|0.10|0.25|1.00,2,4,0.00|0.10|0.25|1.00,4,0.0,1.0,0.00|0.10|0.25|1.00,4,0.0,1.0,0.00|0.10|0.25|1.00,4,0.0,1.0,0.00|0.10|0.25|1.00,4,0.0,1.0,0.00|0.10|0.25|1.00,4,0.0,1.0,0.00|0.10|0.25|1.00,4,0.0,1.0
25,1,0.022694503764401536,2,2,3,3,0.0,0.0,0.0,0.0,0.0,0.00|0.10|0.25|1.00,0.0,1.0,1.0,k2:0.00|0.10;k3:0.25|1.00,0.00|0.10|0.25|1.00,2,4,0.00|0.10|0.25|1.00,4,0.0,1.0,0.00|0.10|0.25|1.00,4,0.0,1.0,0.00|0.10|0.25|1.00,4,0.0,1.0,0.00|0.10|0.25|1.00,4,0.0,1.0,0.00|0.10|0.25|1.00,4,0.0,1.0,0.00|0.10|0.25|1.00,4,0.0,1.0
26,1,0.023856148773027813,2,2,2,3,0.0,0.0,0.0,0.0,0.0,0.00|0.10|0.25|1.00,0.0,1.0,1.0,k2:0.00|0.10|0.25;k3:1.00,0.00|0.10|0.25|1.00,3,4,0.00|0.10|0.25|1.00,4,0.0,1.0,0.00|0.10|0.25|1.00,4,0.0,1.0,0.00|0.10|0.25|1.00,4,0.0,1.0,0.00|0.10|0.25|1.00,4,0.0,1.0,0.00|0.10|0.25|1.00,4,0.0,1.0,0.00|0.10|0.25|1.00,4,0.0,1.0
27,1,0.035066168873382424,1,3,3,3,0.0,0.0,0.0,0.0,0.0,0.00|0.10|0.25|1.00,0.0,1.0,1.0,k1:0.00;k3:0.10|0.25|1.00,0.00|0.10|0.25|1.00,3,4,0.00|0.10|0.25|1.00,4,0.0,1.0,0.00|0.10|0.25|1.00,4,0.0,1.0,0.00|0.10|0.25|1.00,4,0.0,1.0,0.00|0.10|0.25|1.00,4,0.0,1.0,0.00|0.10|0.25|1.00,4,0.0,1.0,0.00|0.10|0.25|1.00,4,0.0,1.0
