population,rule,action,rows,unsafe_rows,unsafe_prevalence,alert_coverage,unsafe_recall,unsafe_precision
third_111_150,fixed_source_threshold,1,2737,955,0.34892217756667887,1.0,1.0,0.34892217756667887
third_111_150,fixed_source_threshold,2,2737,179,0.06540007307270734,0.05042016806722689,0.0446927374301676,0.057971014492753624
third_111_150,fixed_source_threshold,3,2737,75,0.02740226525392766,0.021191085129704055,0.02666666666666667,0.034482758620689655
third_111_150,unlabeled_fixed_coverage,1,2737,955,0.34892217756667887,1.0,1.0,0.34892217756667887
third_111_150,unlabeled_fixed_coverage,2,2737,179,0.06540007307270734,0.10047497259773475,0.09497206703910614,0.06181818181818182
third_111_150,unlabeled_fixed_coverage,3,2737,75,0.02740226525392766,0.0701497990500548,0.12,0.046875
fourth_151_190,fixed_source_threshold,1,3145,1356,0.4311605723370429,1.0,1.0,0.4311605723370429
fourth_151_190,fixed_source_threshold,2,3145,379,0.1205087440381558,0.014308426073131956,0.026385224274406333,0.2222222222222222
fourth_151_190,fixed_source_threshold,3,3145,106,0.03370429252782194,0.0,0.0,0.0
fourth_151_190,unlabeled_fixed_coverage,1,3145,1356,0.4311605723370429,1.0,1.0,0.4311605723370429
fourth_151_190,unlabeled_fixed_coverage,2,3145,379,0.1205087440381558,0.12146263910969793,0.3087071240105541,0.306282722513089
fourth_151_190,unlabeled_fixed_coverage,3,3145,106,0.03370429252782194,0.04896661367249602,0.6132075471698113,0.42207792207792205
fifth_191_230,fixed_source_threshold,1,2744,708,0.25801749271137026,1.0,1.0,0.25801749271137026
fifth_191_230,fixed_source_threshold,2,2744,239,0.08709912536443148,0.026603498542274052,0.016736401673640166,0.0547945205479452
fifth_191_230,fixed_source_threshold,3,2744,137,0.049927113702623906,0.023323615160349854,0.0,0.0
fifth_191_230,unlabeled_fixed_coverage,1,2744,708,0.25801749271137026,1.0,1.0,0.25801749271137026
fifth_191_230,unlabeled_fixed_coverage,2,2744,239,0.08709912536443148,0.11370262390670553,0.5146443514644351,0.3942307692307692
fifth_191_230,unlabeled_fixed_coverage,3,2744,137,0.049927113702623906,0.056851311953352766,0.44525547445255476,0.391025641025641
sixth_231_270,fixed_source_threshold,1,2806,1344,0.4789736279401283,1.0,1.0,0.4789736279401283
sixth_231_270,fixed_source_threshold,2,2806,343,0.12223806129722024,0.022095509622238062,0.03206997084548105,0.1774193548387097
sixth_231_270,fixed_source_threshold,3,2806,125,0.044547398431931576,0.015680684248039915,0.0,0.0
sixth_231_270,unlabeled_fixed_coverage,1,2806,1344,0.4789736279401283,1.0,1.0,0.4789736279401283
sixth_231_270,unlabeled_fixed_coverage,2,2806,343,0.12223806129722024,0.1158232359230221,0.21574344023323616,0.2276923076923077
sixth_231_270,unlabeled_fixed_coverage,3,2806,125,0.044547398431931576,0.0548823948681397,0.408,0.33116883116883117
