model,folds,mean_auc,min_auc,max_auc,features,held_out_block,roc_auc,test_rows,test_harmful,test_beneficial
error_std_plus_baseline_action_loss_error,2,0.9941860465116279,0.9883720930232558,1.0,,,,,,
error_std_x_baseline_action_loss_error,2,0.9941860465116279,0.9883720930232558,1.0,,,,,,
error_std_only,2,0.8057825267127593,0.7162162162162162,0.8953488372093024,,,,,,
error_std_x_predicted_baseline_action_loss,2,0.8019065577205112,0.7162162162162162,0.8875968992248062,,,,,,
error_std_plus_predicted_baseline_action_loss,2,0.7652419861722187,0.6351351351351351,0.8953488372093024,,,,,,
error_std_plus_context_support_distance,2,0.6024512884978002,0.5697674418604651,0.6351351351351351,,,,,,
error_std_x_context_support_distance,2,0.5956945317410434,0.5697674418604651,0.6216216216216216,,,,,,
error_std_only,,,,,local_error_std,block_071_090,0.7162162162162162,39,2,37
error_std_only,,,,,local_error_std,block_091_110,0.8953488372093024,49,6,43
error_std_plus_context_support_distance,,,,,local_error_std|context_support_distance,block_071_090,0.6351351351351351,39,2,37
error_std_plus_context_support_distance,,,,,local_error_std|context_support_distance,block_091_110,0.5697674418604651,49,6,43
error_std_x_context_support_distance,,,,,local_error_std|context_support_distance|local_error_std_x_context_support_distance,block_071_090,0.6216216216216216,39,2,37
error_std_x_context_support_distance,,,,,local_error_std|context_support_distance|local_error_std_x_context_support_distance,block_091_110,0.5697674418604651,49,6,43
error_std_plus_predicted_baseline_action_loss,,,,,local_error_std|predicted_baseline_action_loss,block_071_090,0.6351351351351351,39,2,37
error_std_plus_predicted_baseline_action_loss,,,,,local_error_std|predicted_baseline_action_loss,block_091_110,0.8953488372093024,49,6,43
error_std_x_predicted_baseline_action_loss,,,,,local_error_std|predicted_baseline_action_loss|local_error_std_x_predicted_baseline_action_loss,block_071_090,0.7162162162162162,39,2,37
error_std_x_predicted_baseline_action_loss,,,,,local_error_std|predicted_baseline_action_loss|local_error_std_x_predicted_baseline_action_loss,block_091_110,0.8875968992248062,49,6,43
error_std_plus_baseline_action_loss_error,,,,,local_error_std|baseline_action_loss_error,block_071_090,1.0,39,2,37
error_std_plus_baseline_action_loss_error,,,,,local_error_std|baseline_action_loss_error,block_091_110,0.9883720930232558,49,6,43
error_std_x_baseline_action_loss_error,,,,,local_error_std|baseline_action_loss_error|local_error_std_x_baseline_action_loss_error,block_071_090,1.0,39,2,37
error_std_x_baseline_action_loss_error,,,,,local_error_std|baseline_action_loss_error|local_error_std_x_baseline_action_loss_error,block_091_110,0.9883720930232558,49,6,43
