model,feature,mean_coefficient,mean_absolute_coefficient,sign_stability
error_std_only,local_error_std,1.200566232592736,1.200566232592736,1
error_std_plus_baseline_action_loss_error,baseline_action_loss_error,-1.6266598282206273,1.6266598282206273,1
error_std_plus_baseline_action_loss_error,local_error_std,0.7316329147805449,0.7316329147805449,1
error_std_plus_context_support_distance,context_support_distance,0.6607452841804514,1.1190049532267008,0.5
error_std_plus_context_support_distance,local_error_std,1.2285341422114278,1.2285341422114278,1
error_std_plus_predicted_baseline_action_loss,local_error_std,1.1419773748303181,1.1419773748303181,1
error_std_plus_predicted_baseline_action_loss,predicted_baseline_action_loss,-0.3027900691679219,0.33583691265366195,0.5
error_std_x_baseline_action_loss_error,baseline_action_loss_error,-0.761587798673111,0.761587798673111,1
error_std_x_baseline_action_loss_error,local_error_std,0.728724031829663,0.728724031829663,1
error_std_x_baseline_action_loss_error,local_error_std_x_baseline_action_loss_error,-1.140643032003855,1.140643032003855,1
error_std_x_context_support_distance,context_support_distance,0.40655123292250384,1.1408586323277823,0.5
error_std_x_context_support_distance,local_error_std,0.5435704048924193,0.5435704048924193,1
error_std_x_context_support_distance,local_error_std_x_context_support_distance,0.8101123540399747,0.8101123540399747,1
error_std_x_predicted_baseline_action_loss,local_error_std,0.5789119428358487,0.5789119428358487,1
error_std_x_predicted_baseline_action_loss,local_error_std_x_predicted_baseline_action_loss,0.7901702894587672,0.7901702894587672,1
error_std_x_predicted_baseline_action_loss,predicted_baseline_action_loss,-0.8226674847328539,0.8226674847328539,1
