model,held_out_block,generation_seed,test_index,true_class,harmful_target,predicted_probability
error_std_only,block_071_090,44077,46,beneficial,0,0.17677997457667077
error_std_only,block_071_090,44077,57,beneficial,0,0.2006822703043626
error_std_only,block_071_090,44078,0,beneficial,0,0.11033935275059976
error_std_only,block_071_090,44078,7,beneficial,0,0.29099709850883665
error_std_only,block_071_090,44078,11,beneficial,0,0.23584324867047474
error_std_only,block_071_090,44078,20,beneficial,0,0.09070339706895078
error_std_only,block_071_090,44078,31,beneficial,0,0.0683012349078837
error_std_only,block_071_090,44078,32,beneficial,0,0.517924153918185
error_std_only,block_071_090,44078,46,beneficial,0,0.33457140507062827
error_std_only,block_071_090,44078,47,beneficial,0,0.4619137479555353
error_std_only,block_071_090,44078,49,beneficial,0,0.22269810057757003
error_std_only,block_071_090,44078,53,beneficial,0,0.09726163138375304
error_std_only,block_071_090,44078,61,beneficial,0,0.17120318392201583
error_std_only,block_071_090,44078,62,harmful,1,0.7590295453268244
error_std_only,block_071_090,44080,14,beneficial,0,0.015182899018153565
error_std_only,block_071_090,44080,43,beneficial,0,0.39403882539873597
error_std_only,block_071_090,44080,62,beneficial,0,0.014903388742025705
error_std_only,block_071_090,44080,65,beneficial,0,0.029368485587879422
error_std_only,block_071_090,44081,2,beneficial,0,0.036540382252091046
error_std_only,block_071_090,44081,12,beneficial,0,0.45668755002695544
error_std_only,block_071_090,44081,29,beneficial,0,0.05734670040802422
error_std_only,block_071_090,44081,40,beneficial,0,0.452545904618777
error_std_only,block_071_090,44081,44,beneficial,0,0.14512477924328798
error_std_only,block_071_090,44081,59,beneficial,0,0.15613303497529807
error_std_only,block_071_090,44082,26,harmful,1,0.27222116685838227
error_std_only,block_071_090,44084,14,beneficial,0,0.4146602037900318
error_std_only,block_071_090,44084,15,beneficial,0,0.20591035067729482
error_std_only,block_071_090,44084,18,beneficial,0,0.3991095136725989
error_std_only,block_071_090,44084,24,beneficial,0,0.7868717097276655
error_std_only,block_071_090,44084,26,beneficial,0,0.1460457379624906
error_std_only,block_071_090,44084,29,beneficial,0,0.35905193074528435
error_std_only,block_071_090,44085,3,beneficial,0,0.05432341125139365
error_std_only,block_071_090,44085,20,beneficial,0,0.6821195337765336
error_std_only,block_071_090,44085,26,beneficial,0,0.8137293416249974
error_std_only,block_071_090,44085,32,beneficial,0,0.4030641226934092
error_std_only,block_071_090,44087,0,beneficial,0,0.8271983105609267
error_std_only,block_071_090,44087,2,beneficial,0,0.6493804099013428
error_std_only,block_071_090,44087,18,beneficial,0,0.6759912206644806
error_std_only,block_071_090,44087,44,beneficial,0,0.7036894432162704
error_std_only,block_091_110,44094,32,beneficial,0,0.35836475466183726
error_std_only,block_091_110,44095,13,beneficial,0,0.5849203179250776
error_std_only,block_091_110,44095,19,beneficial,0,0.7977046417365106
error_std_only,block_091_110,44095,25,beneficial,0,0.2730098527957809
error_std_only,block_091_110,44095,29,beneficial,0,0.7496622552673521
error_std_only,block_091_110,44095,33,beneficial,0,0.5450644364868942
error_std_only,block_091_110,44095,48,beneficial,0,0.26911013607578516
error_std_only,block_091_110,44096,20,beneficial,0,0.8671898745690615
error_std_only,block_091_110,44096,22,harmful,1,0.8237331814585921
error_std_only,block_091_110,44097,18,beneficial,0,0.5617542081539668
error_std_only,block_091_110,44097,22,harmful,1,0.8621436454172454
error_std_only,block_091_110,44098,6,beneficial,0,0.21448536997853052
error_std_only,block_091_110,44098,31,beneficial,0,0.2545767228874125
error_std_only,block_091_110,44099,0,beneficial,0,0.7271720935534178
error_std_only,block_091_110,44099,4,beneficial,0,0.6357704084680647
error_std_only,block_091_110,44100,49,beneficial,0,0.5997724118227765
error_std_only,block_091_110,44101,5,harmful,1,0.7318424259420047
error_std_only,block_091_110,44103,3,beneficial,0,0.3227853223238446
error_std_only,block_091_110,44103,4,harmful,1,0.7327091279634171
error_std_only,block_091_110,44103,33,beneficial,0,0.626391157884053
error_std_only,block_091_110,44104,1,harmful,1,0.5038093958160834
error_std_only,block_091_110,44104,12,beneficial,0,0.4861745044951767
error_std_only,block_091_110,44104,43,beneficial,0,0.3508658347708126
error_std_only,block_091_110,44104,52,beneficial,0,0.5524265912079793
error_std_only,block_091_110,44105,8,beneficial,0,0.40420460864767044
error_std_only,block_091_110,44105,23,beneficial,0,0.42290188582353094
error_std_only,block_091_110,44105,24,beneficial,0,0.21552257348272463
error_std_only,block_091_110,44105,30,beneficial,0,0.35166530317441635
error_std_only,block_091_110,44105,48,beneficial,0,0.3480439210048706
error_std_only,block_091_110,44106,14,beneficial,0,0.37734320281431744
error_std_only,block_091_110,44107,5,beneficial,0,0.29946780545790547
error_std_only,block_091_110,44107,20,beneficial,0,0.29221905402499354
error_std_only,block_091_110,44107,29,beneficial,0,0.2736968623912999
error_std_only,block_091_110,44107,45,beneficial,0,0.44143646839954565
error_std_only,block_091_110,44108,5,beneficial,0,0.31524200511164185
error_std_only,block_091_110,44108,15,beneficial,0,0.5911832180039982
error_std_only,block_091_110,44108,20,beneficial,0,0.3176656081659478
error_std_only,block_091_110,44108,21,beneficial,0,0.28209185640402107
