policy,accuracy,mean_loss,mean_regret,median_regret,max_regret,zero_regret_fraction,regret_gt_0_005_fraction,under_count,over_count,exact_count,action_entropy,dominant_action_fraction,deviation_from_direct,safety_threshold,downside_threshold,mean_safe_action_recall,mean_safe_action_precision,responsive_action_retention,expansion_contexts,recovered_responsive_contexts,harmful_expansion_contexts,mean_false_safe_regret,max_false_safe_regret
primary_baseline,0.2,0.14525536599514763,0.0031476976739487957,0.0,0.09518820021482474,0.9066666666666666,0.09333333333333334,5,55,15,0.7835807040488098,0.6666666666666666,0.56,,,0.8,0.9688888888888889,0.6266666666666667,0,0,0,,
costaware_p0.60_d0.005,0.24,0.14619195065712412,0.00408428233592527,0.0,0.09518820021482474,0.88,0.12,7,50,18,0.8883491067494107,0.52,0.4266666666666667,0.6,0.005,0.8733333333333333,0.9622222222222222,0.76,12,10,2,0.03512192482411777,0.03676296772801363
costaware_p0.60_d0.010,0.30666666666666664,0.14619195065712412,0.00408428233592527,0.0,0.09518820021482474,0.88,0.12,7,45,23,0.9537375891841715,0.4533333333333333,0.36,0.6,0.01,0.9066666666666666,0.9622222222222222,0.8266666666666667,17,15,2,0.03512192482411777,0.03676296772801363
costaware_p0.60_d0.020,0.3333333333333333,0.14619195065712412,0.00408428233592527,0.0,0.09518820021482474,0.88,0.12,7,43,25,0.9713214099112234,0.4266666666666667,0.3333333333333333,0.6,0.02,0.92,0.9622222222222222,0.8533333333333334,19,17,2,0.03512192482411777,0.03676296772801363
costaware_p0.60_d0.040,0.36,0.14934856605931676,0.007240897738117906,0.0,0.09518820021482474,0.8266666666666667,0.17333333333333334,11,37,27,0.9995144095399636,0.3466666666666667,0.24,0.6,0.04,0.9377777777777778,0.9355555555555556,0.8933333333333333,26,20,6,0.05116500080211388,0.07518529648577918
costaware_p0.60_d0.080,0.37333333333333335,0.1501181368650965,0.008010468543897668,0.0,0.09518820021482474,0.8133333333333334,0.18666666666666668,12,35,28,0.9980560796958198,0.36,0.2,0.6,0.08,0.9511111111111111,0.9288888888888889,0.92,29,22,7,0.05210111646373792,0.07518529648577918
costaware_p0.70_d0.005,0.21333333333333335,0.14619195065712412,0.00408428233592527,0.0,0.09518820021482474,0.88,0.12,7,52,16,0.876936740011095,0.5466666666666666,0.44,0.7,0.005,0.8466666666666667,0.9555555555555556,0.72,9,7,2,0.03512192482411777,0.03676296772801363
costaware_p0.70_d0.010,0.26666666666666666,0.14619195065712412,0.00408428233592527,0.0,0.09518820021482474,0.88,0.12,7,48,20,0.934361187576103,0.49333333333333335,0.38666666666666666,0.7,0.01,0.8733333333333333,0.9555555555555556,0.7733333333333333,13,11,2,0.03512192482411777,0.03676296772801363
costaware_p0.70_d0.020,0.28,0.14619195065712412,0.00408428233592527,0.0,0.09518820021482474,0.88,0.12,7,47,21,0.9455672104350705,0.48,0.37333333333333335,0.7,0.02,0.88,0.9555555555555556,0.7866666666666666,14,12,2,0.03512192482411777,0.03676296772801363
costaware_p0.70_d0.040,0.30666666666666664,0.14699956042853565,0.004891892107336806,0.0,0.09518820021482474,0.8666666666666667,0.13333333333333333,8,44,23,0.9681582591978641,0.4533333333333333,0.3333333333333333,0.7,0.04,0.8911111111111111,0.9488888888888889,0.8133333333333334,17,14,3,0.04360486083470025,0.0605707328558652
costaware_p0.70_d0.080,0.32,0.14699956042853565,0.004891892107336806,0.0,0.09518820021482474,0.8666666666666667,0.13333333333333333,8,43,24,0.9753656468286018,0.44,0.32,0.7,0.08,0.8977777777777778,0.9488888888888889,0.8266666666666667,18,15,3,0.04360486083470025,0.0605707328558652
costaware_p0.80_d0.005,0.18666666666666668,0.14619195065712412,0.00408428233592527,0.0,0.09518820021482474,0.88,0.12,7,54,14,0.8537612189036671,0.5866666666666667,0.48,0.8,0.005,0.8266666666666667,0.9555555555555556,0.68,6,4,2,0.03512192482411777,0.03676296772801363
costaware_p0.80_d0.010,0.24,0.14619195065712412,0.00408428233592527,0.0,0.09518820021482474,0.88,0.12,7,50,18,0.9147862543966254,0.5333333333333333,0.4266666666666667,0.8,0.01,0.8533333333333333,0.9555555555555556,0.7333333333333333,10,8,2,0.03512192482411777,0.03676296772801363
costaware_p0.80_d0.020,0.25333333333333335,0.14619195065712412,0.00408428233592527,0.0,0.09518820021482474,0.88,0.12,7,49,19,0.9269509774012182,0.52,0.41333333333333333,0.8,0.02,0.86,0.9555555555555556,0.7466666666666667,11,9,2,0.03512192482411777,0.03676296772801363
costaware_p0.80_d0.040,0.25333333333333335,0.14619195065712412,0.00408428233592527,0.0,0.09518820021482474,0.88,0.12,7,49,19,0.9269509774012182,0.52,0.41333333333333333,0.8,0.04,0.86,0.9555555555555556,0.7466666666666667,11,9,2,0.03512192482411777,0.03676296772801363
costaware_p0.80_d0.080,0.25333333333333335,0.14619195065712412,0.00408428233592527,0.0,0.09518820021482474,0.88,0.12,7,49,19,0.9269509774012182,0.52,0.41333333333333333,0.8,0.08,0.86,0.9555555555555556,0.7466666666666667,11,9,2,0.03512192482411777,0.03676296772801363
responsive_action_oracle,0.49333333333333335,0.14347946897298913,0.0013718006517902954,0.0,0.057717810433482175,0.9466666666666667,0.05333333333333334,3,35,37,0.9980560796958196,0.36,0.25333333333333335,,,1.0,1.0,1.0,,,0,0.0,0.0
fixed_k3,0.13333333333333333,0.14240755344289624,0.0002998851216973993,0.0,0.008996625274786896,0.96,0.04,0,65,10,0.0,1.0,0.88,,,,,,,,,,
action_oracle,1.0,0.14210766832119884,0.0,0.0,0.0,1.0,0.0,0,0,75,0.8830374409547586,0.5333333333333333,0.64,,,,,,,,,,
