condition,true_class,magnitude,replicate,population_size,hard_accuracy,coverage,selective_accuracy,fail_A,fail_C,fail_S,evidence_sufficient,failure_mode
measurement_noise_0.850,measurement_noise,0.85,0,100,0.95,0.85,0.9882352941176471,False,False,False,True,pass_all
measurement_noise_0.850,measurement_noise,0.85,1,100,0.88,0.72,0.9861111111111112,True,True,False,False,A_and_C
measurement_noise_0.850,measurement_noise,0.85,2,100,0.89,0.66,0.9848484848484849,True,True,False,False,A_and_C
measurement_noise_0.850,measurement_noise,0.85,3,100,0.92,0.8,0.975,False,False,False,True,pass_all
measurement_noise_0.850,measurement_noise,0.85,4,100,0.92,0.76,1.0,False,True,False,False,C_only
measurement_noise_0.850,measurement_noise,0.85,5,100,0.9,0.73,0.958904109589041,False,True,False,False,C_only
measurement_noise_0.850,measurement_noise,0.85,6,100,0.9,0.74,0.972972972972973,False,True,False,False,C_only
measurement_noise_0.850,measurement_noise,0.85,7,100,0.95,0.79,1.0,False,True,False,False,C_only
measurement_noise_0.850,measurement_noise,0.85,8,100,0.97,0.8,1.0,False,False,False,True,pass_all
measurement_noise_0.850,measurement_noise,0.85,9,100,0.93,0.74,1.0,False,True,False,False,C_only
measurement_noise_0.850,measurement_noise,0.85,10,100,0.92,0.79,0.9746835443037974,False,True,False,False,C_only
measurement_noise_0.850,measurement_noise,0.85,11,100,0.95,0.82,1.0,False,False,False,True,pass_all
measurement_noise_0.850,measurement_noise,0.85,12,100,0.92,0.71,0.971830985915493,False,True,False,False,C_only
measurement_noise_0.850,measurement_noise,0.85,13,100,0.91,0.75,0.9866666666666667,False,True,False,False,C_only
measurement_noise_0.850,measurement_noise,0.85,14,100,0.92,0.79,1.0,False,True,False,False,C_only
measurement_noise_0.850,measurement_noise,0.85,15,100,0.94,0.76,0.9868421052631579,False,True,False,False,C_only
measurement_noise_0.850,measurement_noise,0.85,16,100,0.9,0.79,0.9746835443037974,False,True,False,False,C_only
measurement_noise_0.850,measurement_noise,0.85,17,100,0.96,0.74,1.0,False,True,False,False,C_only
measurement_noise_0.850,measurement_noise,0.85,18,100,0.96,0.8,0.9875,False,False,False,True,pass_all
measurement_noise_0.850,measurement_noise,0.85,19,100,0.91,0.8,0.975,False,False,False,True,pass_all
measurement_noise_0.850,measurement_noise,0.85,20,100,0.91,0.83,0.9879518072289156,False,False,False,True,pass_all
measurement_noise_0.850,measurement_noise,0.85,21,100,0.87,0.68,0.9558823529411765,True,True,False,False,A_and_C
measurement_noise_0.850,measurement_noise,0.85,22,100,0.92,0.79,0.9873417721518988,False,True,False,False,C_only
measurement_noise_0.850,measurement_noise,0.85,23,100,0.9,0.7,0.9857142857142858,False,True,False,False,C_only
measurement_noise_0.850,measurement_noise,0.85,24,100,0.87,0.74,0.9864864864864865,True,True,False,False,A_and_C
measurement_noise_0.850,measurement_noise,0.85,25,100,0.89,0.76,0.9605263157894737,True,True,False,False,A_and_C
measurement_noise_0.850,measurement_noise,0.85,26,100,0.91,0.78,1.0,False,True,False,False,C_only
measurement_noise_0.850,measurement_noise,0.85,27,100,0.89,0.72,0.9444444444444444,True,True,True,False,A_and_C_and_S
measurement_noise_0.850,measurement_noise,0.85,28,100,0.91,0.73,1.0,False,True,False,False,C_only
measurement_noise_0.850,measurement_noise,0.85,29,100,0.92,0.75,0.9866666666666667,False,True,False,False,C_only
measurement_noise_0.850,measurement_noise,0.85,30,100,0.94,0.77,0.974025974025974,False,True,False,False,C_only
measurement_noise_0.850,measurement_noise,0.85,31,100,0.94,0.7,0.9857142857142858,False,True,False,False,C_only
measurement_noise_0.850,measurement_noise,0.85,32,100,0.95,0.82,0.9878048780487805,False,False,False,True,pass_all
measurement_noise_0.850,measurement_noise,0.85,33,100,0.91,0.79,0.9746835443037974,False,True,False,False,C_only
measurement_noise_0.850,measurement_noise,0.85,34,100,0.9,0.77,0.948051948051948,False,True,True,False,C_and_S
measurement_noise_0.850,measurement_noise,0.85,35,100,0.89,0.73,0.9863013698630136,True,True,False,False,A_and_C
measurement_noise_0.850,measurement_noise,0.85,36,100,0.93,0.72,1.0,False,True,False,False,C_only
measurement_noise_0.850,measurement_noise,0.85,37,100,0.91,0.69,0.9855072463768116,False,True,False,False,C_only
measurement_noise_0.850,measurement_noise,0.85,38,100,0.91,0.8,0.9875,False,False,False,True,pass_all
measurement_noise_0.850,measurement_noise,0.85,39,100,0.89,0.7,1.0,True,True,False,False,A_and_C
measurement_noise_0.850,measurement_noise,0.85,40,100,0.92,0.75,0.9733333333333334,False,True,False,False,C_only
measurement_noise_0.850,measurement_noise,0.85,41,100,0.94,0.8,0.9875,False,False,False,True,pass_all
measurement_noise_0.850,measurement_noise,0.85,42,100,0.92,0.74,0.972972972972973,False,True,False,False,C_only
measurement_noise_0.850,measurement_noise,0.85,43,100,0.95,0.78,0.9871794871794872,False,True,False,False,C_only
measurement_noise_0.850,measurement_noise,0.85,44,100,0.88,0.68,0.9264705882352942,True,True,True,False,A_and_C_and_S
measurement_noise_0.850,measurement_noise,0.85,45,100,0.84,0.75,0.9733333333333334,True,True,False,False,A_and_C
measurement_noise_0.850,measurement_noise,0.85,46,100,0.93,0.79,1.0,False,True,False,False,C_only
measurement_noise_0.850,measurement_noise,0.85,47,100,0.92,0.76,1.0,False,True,False,False,C_only
measurement_noise_0.850,measurement_noise,0.85,48,100,0.9,0.66,0.9848484848484849,False,True,False,False,C_only
measurement_noise_0.850,measurement_noise,0.85,49,100,0.87,0.79,0.9873417721518988,True,True,False,False,A_and_C
measurement_noise_0.900,measurement_noise,0.9,0,100,0.97,0.83,1.0,False,False,False,True,pass_all
measurement_noise_0.900,measurement_noise,0.9,1,100,0.97,0.81,1.0,False,False,False,True,pass_all
measurement_noise_0.900,measurement_noise,0.9,2,100,0.95,0.82,0.9878048780487805,False,False,False,True,pass_all
measurement_noise_0.900,measurement_noise,0.9,3,100,0.93,0.81,0.9876543209876543,False,False,False,True,pass_all
measurement_noise_0.900,measurement_noise,0.9,4,100,0.96,0.84,0.9880952380952381,False,False,False,True,pass_all
measurement_noise_0.900,measurement_noise,0.9,5,100,0.94,0.83,1.0,False,False,False,True,pass_all
measurement_noise_0.900,measurement_noise,0.9,6,100,0.95,0.76,1.0,False,True,False,False,C_only
measurement_noise_0.900,measurement_noise,0.9,7,100,0.97,0.87,1.0,False,False,False,True,pass_all
measurement_noise_0.900,measurement_noise,0.9,8,100,0.91,0.76,0.9868421052631579,False,True,False,False,C_only
measurement_noise_0.900,measurement_noise,0.9,9,100,0.99,0.86,0.9883720930232558,False,False,False,True,pass_all
measurement_noise_0.900,measurement_noise,0.9,10,100,0.93,0.81,0.9876543209876543,False,False,False,True,pass_all
measurement_noise_0.900,measurement_noise,0.9,11,100,0.95,0.85,0.9764705882352941,False,False,False,True,pass_all
measurement_noise_0.900,measurement_noise,0.9,12,100,0.94,0.86,0.9767441860465116,False,False,False,True,pass_all
measurement_noise_0.900,measurement_noise,0.9,13,100,0.94,0.83,1.0,False,False,False,True,pass_all
measurement_noise_0.900,measurement_noise,0.9,14,100,0.93,0.78,1.0,False,True,False,False,C_only
measurement_noise_0.900,measurement_noise,0.9,15,100,0.97,0.78,1.0,False,True,False,False,C_only
measurement_noise_0.900,measurement_noise,0.9,16,100,0.91,0.81,0.9382716049382716,False,False,True,False,S_only
measurement_noise_0.900,measurement_noise,0.9,17,100,0.93,0.8,1.0,False,False,False,True,pass_all
measurement_noise_0.900,measurement_noise,0.9,18,100,0.93,0.86,1.0,False,False,False,True,pass_all
measurement_noise_0.900,measurement_noise,0.9,19,100,0.92,0.8,0.9875,False,False,False,True,pass_all
measurement_noise_0.900,measurement_noise,0.9,20,100,0.96,0.83,1.0,False,False,False,True,pass_all
measurement_noise_0.900,measurement_noise,0.9,21,100,0.95,0.83,0.9879518072289156,False,False,False,True,pass_all
measurement_noise_0.900,measurement_noise,0.9,22,100,0.96,0.85,0.9882352941176471,False,False,False,True,pass_all
measurement_noise_0.900,measurement_noise,0.9,23,100,0.94,0.81,1.0,False,False,False,True,pass_all
measurement_noise_0.900,measurement_noise,0.9,24,100,0.86,0.72,0.9722222222222222,True,True,False,False,A_and_C
measurement_noise_0.900,measurement_noise,0.9,25,100,0.94,0.88,0.9772727272727273,False,False,False,True,pass_all
measurement_noise_0.900,measurement_noise,0.9,26,100,0.94,0.86,1.0,False,False,False,True,pass_all
measurement_noise_0.900,measurement_noise,0.9,27,100,0.93,0.83,0.9759036144578314,False,False,False,True,pass_all
measurement_noise_0.900,measurement_noise,0.9,28,100,0.91,0.73,0.9863013698630136,False,True,False,False,C_only
measurement_noise_0.900,measurement_noise,0.9,29,100,0.94,0.81,0.9876543209876543,False,False,False,True,pass_all
measurement_noise_0.900,measurement_noise,0.9,30,100,0.96,0.87,1.0,False,False,False,True,pass_all
measurement_noise_0.900,measurement_noise,0.9,31,100,0.94,0.83,0.9879518072289156,False,False,False,True,pass_all
measurement_noise_0.900,measurement_noise,0.9,32,100,0.92,0.81,0.9876543209876543,False,False,False,True,pass_all
measurement_noise_0.900,measurement_noise,0.9,33,100,0.94,0.82,0.9878048780487805,False,False,False,True,pass_all
measurement_noise_0.900,measurement_noise,0.9,34,100,0.95,0.83,0.9759036144578314,False,False,False,True,pass_all
measurement_noise_0.900,measurement_noise,0.9,35,100,0.92,0.78,1.0,False,True,False,False,C_only
measurement_noise_0.900,measurement_noise,0.9,36,100,0.95,0.82,1.0,False,False,False,True,pass_all
measurement_noise_0.900,measurement_noise,0.9,37,100,0.92,0.85,0.9882352941176471,False,False,False,True,pass_all
measurement_noise_0.900,measurement_noise,0.9,38,100,0.95,0.83,0.9879518072289156,False,False,False,True,pass_all
measurement_noise_0.900,measurement_noise,0.9,39,100,0.97,0.87,0.9885057471264368,False,False,False,True,pass_all
measurement_noise_0.900,measurement_noise,0.9,40,100,0.96,0.84,0.9880952380952381,False,False,False,True,pass_all
measurement_noise_0.900,measurement_noise,0.9,41,100,0.94,0.78,0.9871794871794872,False,True,False,False,C_only
measurement_noise_0.900,measurement_noise,0.9,42,100,0.93,0.86,0.9767441860465116,False,False,False,True,pass_all
measurement_noise_0.900,measurement_noise,0.9,43,100,0.92,0.75,1.0,False,True,False,False,C_only
measurement_noise_0.900,measurement_noise,0.9,44,100,0.95,0.84,1.0,False,False,False,True,pass_all
measurement_noise_0.900,measurement_noise,0.9,45,100,0.96,0.85,0.9882352941176471,False,False,False,True,pass_all
measurement_noise_0.900,measurement_noise,0.9,46,100,0.94,0.85,0.9882352941176471,False,False,False,True,pass_all
measurement_noise_0.900,measurement_noise,0.9,47,100,0.96,0.79,1.0,False,True,False,False,C_only
measurement_noise_0.900,measurement_noise,0.9,48,100,0.87,0.72,0.9722222222222222,True,True,False,False,A_and_C
measurement_noise_0.900,measurement_noise,0.9,49,100,0.95,0.87,0.9885057471264368,False,False,False,True,pass_all
measurement_noise_0.950,measurement_noise,0.95,0,100,0.98,0.9,0.9888888888888889,False,False,False,True,pass_all
measurement_noise_0.950,measurement_noise,0.95,1,100,0.91,0.85,0.9647058823529412,False,False,False,True,pass_all
measurement_noise_0.950,measurement_noise,0.95,2,100,0.99,0.93,1.0,False,False,False,True,pass_all
measurement_noise_0.950,measurement_noise,0.95,3,100,0.96,0.91,0.989010989010989,False,False,False,True,pass_all
measurement_noise_0.950,measurement_noise,0.95,4,100,0.98,0.94,0.9893617021276596,False,False,False,True,pass_all
measurement_noise_0.950,measurement_noise,0.95,5,100,0.98,0.88,1.0,False,False,False,True,pass_all
measurement_noise_0.950,measurement_noise,0.95,6,100,0.98,0.9,0.9888888888888889,False,False,False,True,pass_all
measurement_noise_0.950,measurement_noise,0.95,7,100,0.96,0.84,1.0,False,False,False,True,pass_all
measurement_noise_0.950,measurement_noise,0.95,8,100,0.94,0.84,0.9880952380952381,False,False,False,True,pass_all
measurement_noise_0.950,measurement_noise,0.95,9,100,0.96,0.9,0.9777777777777777,False,False,False,True,pass_all
measurement_noise_0.950,measurement_noise,0.95,10,100,0.92,0.79,0.9746835443037974,False,True,False,False,C_only
measurement_noise_0.950,measurement_noise,0.95,11,100,0.98,0.87,1.0,False,False,False,True,pass_all
measurement_noise_0.950,measurement_noise,0.95,12,100,0.95,0.84,0.9880952380952381,False,False,False,True,pass_all
measurement_noise_0.950,measurement_noise,0.95,13,100,0.98,0.9,1.0,False,False,False,True,pass_all
measurement_noise_0.950,measurement_noise,0.95,14,100,0.96,0.92,0.9891304347826086,False,False,False,True,pass_all
measurement_noise_0.950,measurement_noise,0.95,15,100,0.97,0.87,1.0,False,False,False,True,pass_all
measurement_noise_0.950,measurement_noise,0.95,16,100,0.98,0.89,0.9887640449438202,False,False,False,True,pass_all
measurement_noise_0.950,measurement_noise,0.95,17,100,0.99,0.93,1.0,False,False,False,True,pass_all
measurement_noise_0.950,measurement_noise,0.95,18,100,0.97,0.89,1.0,False,False,False,True,pass_all
measurement_noise_0.950,measurement_noise,0.95,19,100,0.99,0.91,1.0,False,False,False,True,pass_all
measurement_noise_0.950,measurement_noise,0.95,20,100,0.95,0.9,1.0,False,False,False,True,pass_all
measurement_noise_0.950,measurement_noise,0.95,21,100,0.94,0.89,0.9887640449438202,False,False,False,True,pass_all
measurement_noise_0.950,measurement_noise,0.95,22,100,0.97,0.88,1.0,False,False,False,True,pass_all
measurement_noise_0.950,measurement_noise,0.95,23,100,0.96,0.85,1.0,False,False,False,True,pass_all
measurement_noise_0.950,measurement_noise,0.95,24,100,0.97,0.9,0.9888888888888889,False,False,False,True,pass_all
measurement_noise_0.950,measurement_noise,0.95,25,100,0.95,0.91,0.989010989010989,False,False,False,True,pass_all
measurement_noise_0.950,measurement_noise,0.95,26,100,0.98,0.88,1.0,False,False,False,True,pass_all
measurement_noise_0.950,measurement_noise,0.95,27,100,0.95,0.9,0.9777777777777777,False,False,False,True,pass_all
measurement_noise_0.950,measurement_noise,0.95,28,100,0.97,0.86,0.9883720930232558,False,False,False,True,pass_all
measurement_noise_0.950,measurement_noise,0.95,29,100,0.94,0.88,0.9772727272727273,False,False,False,True,pass_all
measurement_noise_0.950,measurement_noise,0.95,30,100,0.97,0.92,0.9891304347826086,False,False,False,True,pass_all
measurement_noise_0.950,measurement_noise,0.95,31,100,0.99,0.88,1.0,False,False,False,True,pass_all
measurement_noise_0.950,measurement_noise,0.95,32,100,0.92,0.85,0.9764705882352941,False,False,False,True,pass_all
measurement_noise_0.950,measurement_noise,0.95,33,100,0.97,0.83,1.0,False,False,False,True,pass_all
measurement_noise_0.950,measurement_noise,0.95,34,100,0.98,0.9,1.0,False,False,False,True,pass_all
measurement_noise_0.950,measurement_noise,0.95,35,100,0.98,0.9,0.9888888888888889,False,False,False,True,pass_all
measurement_noise_0.950,measurement_noise,0.95,36,100,0.98,0.85,1.0,False,False,False,True,pass_all
measurement_noise_0.950,measurement_noise,0.95,37,100,0.98,0.89,0.9775280898876404,False,False,False,True,pass_all
measurement_noise_0.950,measurement_noise,0.95,38,100,0.98,0.85,0.9882352941176471,False,False,False,True,pass_all
measurement_noise_0.950,measurement_noise,0.95,39,100,0.97,0.83,1.0,False,False,False,True,pass_all
measurement_noise_0.950,measurement_noise,0.95,40,100,0.93,0.82,0.9878048780487805,False,False,False,True,pass_all
measurement_noise_0.950,measurement_noise,0.95,41,100,0.97,0.87,1.0,False,False,False,True,pass_all
measurement_noise_0.950,measurement_noise,0.95,42,100,0.96,0.85,1.0,False,False,False,True,pass_all
measurement_noise_0.950,measurement_noise,0.95,43,100,0.96,0.93,1.0,False,False,False,True,pass_all
measurement_noise_0.950,measurement_noise,0.95,44,100,0.96,0.89,0.9887640449438202,False,False,False,True,pass_all
measurement_noise_0.950,measurement_noise,0.95,45,100,0.99,0.95,1.0,False,False,False,True,pass_all
measurement_noise_0.950,measurement_noise,0.95,46,100,0.97,0.89,0.9887640449438202,False,False,False,True,pass_all
measurement_noise_0.950,measurement_noise,0.95,47,100,0.92,0.81,1.0,False,False,False,True,pass_all
measurement_noise_0.950,measurement_noise,0.95,48,100,0.99,0.9,1.0,False,False,False,True,pass_all
measurement_noise_0.950,measurement_noise,0.95,49,100,0.95,0.88,0.9772727272727273,False,False,False,True,pass_all
process_disturbance_2.50,process_disturbance,2.5,0,100,0.84,0.8,0.9625,True,False,False,False,A_only
process_disturbance_2.50,process_disturbance,2.5,1,100,0.83,0.78,0.9743589743589743,True,True,False,False,A_and_C
process_disturbance_2.50,process_disturbance,2.5,2,100,0.84,0.77,0.961038961038961,True,True,False,False,A_and_C
process_disturbance_2.50,process_disturbance,2.5,3,100,0.78,0.71,0.971830985915493,True,True,False,False,A_and_C
process_disturbance_2.50,process_disturbance,2.5,4,100,0.83,0.82,0.9512195121951219,True,False,False,False,A_only
process_disturbance_2.50,process_disturbance,2.5,5,100,0.81,0.71,0.9436619718309859,True,True,True,False,A_and_C_and_S
process_disturbance_2.50,process_disturbance,2.5,6,100,0.83,0.79,0.9746835443037974,True,True,False,False,A_and_C
process_disturbance_2.50,process_disturbance,2.5,7,100,0.86,0.75,0.9866666666666667,True,True,False,False,A_and_C
process_disturbance_2.50,process_disturbance,2.5,8,100,0.84,0.79,0.9493670886075949,True,True,True,False,A_and_C_and_S
process_disturbance_2.50,process_disturbance,2.5,9,100,0.8,0.71,0.9859154929577465,True,True,False,False,A_and_C
process_disturbance_2.50,process_disturbance,2.5,10,100,0.82,0.77,0.948051948051948,True,True,True,False,A_and_C_and_S
process_disturbance_2.50,process_disturbance,2.5,11,100,0.89,0.81,0.9753086419753086,True,False,False,False,A_only
process_disturbance_2.50,process_disturbance,2.5,12,100,0.76,0.7,0.9428571428571428,True,True,True,False,A_and_C_and_S
process_disturbance_2.50,process_disturbance,2.5,13,100,0.9,0.88,0.9431818181818182,False,False,True,False,S_only
process_disturbance_2.50,process_disturbance,2.5,14,100,0.86,0.74,0.9594594594594594,True,True,False,False,A_and_C
process_disturbance_2.50,process_disturbance,2.5,15,100,0.83,0.72,0.9583333333333334,True,True,False,False,A_and_C
process_disturbance_2.50,process_disturbance,2.5,16,100,0.82,0.74,0.9459459459459459,True,True,True,False,A_and_C_and_S
process_disturbance_2.50,process_disturbance,2.5,17,100,0.8,0.76,0.9605263157894737,True,True,False,False,A_and_C
process_disturbance_2.50,process_disturbance,2.5,18,100,0.83,0.76,0.9868421052631579,True,True,False,False,A_and_C
process_disturbance_2.50,process_disturbance,2.5,19,100,0.83,0.78,0.9743589743589743,True,True,False,False,A_and_C
process_disturbance_2.50,process_disturbance,2.5,20,100,0.84,0.79,0.9367088607594937,True,True,True,False,A_and_C_and_S
process_disturbance_2.50,process_disturbance,2.5,21,100,0.79,0.71,0.9577464788732394,True,True,False,False,A_and_C
process_disturbance_2.50,process_disturbance,2.5,22,100,0.84,0.75,0.9733333333333334,True,True,False,False,A_and_C
process_disturbance_2.50,process_disturbance,2.5,23,100,0.8,0.77,0.922077922077922,True,True,True,False,A_and_C_and_S
process_disturbance_2.50,process_disturbance,2.5,24,100,0.83,0.77,0.974025974025974,True,True,False,False,A_and_C
process_disturbance_2.50,process_disturbance,2.5,25,100,0.83,0.72,0.9444444444444444,True,True,True,False,A_and_C_and_S
process_disturbance_2.50,process_disturbance,2.5,26,100,0.83,0.8,0.95,True,False,False,False,A_only
process_disturbance_2.50,process_disturbance,2.5,27,100,0.93,0.89,1.0,False,False,False,True,pass_all
process_disturbance_2.50,process_disturbance,2.5,28,100,0.83,0.81,0.9629629629629629,True,False,False,False,A_only
process_disturbance_2.50,process_disturbance,2.5,29,100,0.93,0.83,0.9879518072289156,False,False,False,True,pass_all
process_disturbance_2.50,process_disturbance,2.5,30,100,0.86,0.74,0.972972972972973,True,True,False,False,A_and_C
process_disturbance_2.50,process_disturbance,2.5,31,100,0.82,0.77,0.948051948051948,True,True,True,False,A_and_C_and_S
process_disturbance_2.50,process_disturbance,2.5,32,100,0.83,0.83,0.9518072289156626,True,False,False,False,A_only
process_disturbance_2.50,process_disturbance,2.5,33,100,0.93,0.81,0.9876543209876543,False,False,False,True,pass_all
process_disturbance_2.50,process_disturbance,2.5,34,100,0.85,0.79,0.9620253164556962,True,True,False,False,A_and_C
process_disturbance_2.50,process_disturbance,2.5,35,100,0.84,0.75,0.9466666666666667,True,True,True,False,A_and_C_and_S
process_disturbance_2.50,process_disturbance,2.5,36,100,0.86,0.82,0.9878048780487805,True,False,False,False,A_only
process_disturbance_2.50,process_disturbance,2.5,37,100,0.83,0.81,0.9259259259259259,True,False,True,False,A_and_S
process_disturbance_2.50,process_disturbance,2.5,38,100,0.86,0.78,0.9615384615384616,True,True,False,False,A_and_C
process_disturbance_2.50,process_disturbance,2.5,39,100,0.94,0.83,1.0,False,False,False,True,pass_all
process_disturbance_2.50,process_disturbance,2.5,40,100,0.82,0.71,1.0,True,True,False,False,A_and_C
process_disturbance_2.50,process_disturbance,2.5,41,100,0.91,0.89,0.9550561797752809,False,False,False,True,pass_all
process_disturbance_2.50,process_disturbance,2.5,42,100,0.78,0.67,0.9701492537313433,True,True,False,False,A_and_C
process_disturbance_2.50,process_disturbance,2.5,43,100,0.85,0.8,0.9625,True,False,False,False,A_only
process_disturbance_2.50,process_disturbance,2.5,44,100,0.77,0.75,0.9066666666666666,True,True,True,False,A_and_C_and_S
process_disturbance_2.50,process_disturbance,2.5,45,100,0.87,0.73,0.9726027397260274,True,True,False,False,A_and_C
process_disturbance_2.50,process_disturbance,2.5,46,100,0.89,0.78,0.9615384615384616,True,True,False,False,A_and_C
process_disturbance_2.50,process_disturbance,2.5,47,100,0.78,0.73,0.9178082191780822,True,True,True,False,A_and_C_and_S
process_disturbance_2.50,process_disturbance,2.5,48,100,0.84,0.71,0.971830985915493,True,True,False,False,A_and_C
process_disturbance_2.50,process_disturbance,2.5,49,100,0.84,0.77,0.948051948051948,True,True,True,False,A_and_C_and_S
process_disturbance_2.60,process_disturbance,2.6,0,100,0.89,0.79,0.9620253164556962,True,True,False,False,A_and_C
process_disturbance_2.60,process_disturbance,2.6,1,100,0.92,0.86,0.9883720930232558,False,False,False,True,pass_all
process_disturbance_2.60,process_disturbance,2.6,2,100,0.92,0.82,1.0,False,False,False,True,pass_all
process_disturbance_2.60,process_disturbance,2.6,3,100,0.93,0.84,0.9761904761904762,False,False,False,True,pass_all
process_disturbance_2.60,process_disturbance,2.6,4,100,0.83,0.76,0.9736842105263158,True,True,False,False,A_and_C
process_disturbance_2.60,process_disturbance,2.6,5,100,0.88,0.82,0.9634146341463414,True,False,False,False,A_only
process_disturbance_2.60,process_disturbance,2.6,6,100,0.86,0.8,0.9625,True,False,False,False,A_only
process_disturbance_2.60,process_disturbance,2.6,7,100,0.88,0.87,0.9770114942528736,True,False,False,False,A_only
process_disturbance_2.60,process_disturbance,2.6,8,100,0.87,0.8,0.9625,True,False,False,False,A_only
process_disturbance_2.60,process_disturbance,2.6,9,100,0.86,0.76,0.9868421052631579,True,True,False,False,A_and_C
process_disturbance_2.60,process_disturbance,2.6,10,100,0.9,0.82,0.9634146341463414,False,False,False,True,pass_all
process_disturbance_2.60,process_disturbance,2.6,11,100,0.89,0.84,0.9404761904761905,True,False,True,False,A_and_S
process_disturbance_2.60,process_disturbance,2.6,12,100,0.9,0.79,0.9746835443037974,False,True,False,False,C_only
process_disturbance_2.60,process_disturbance,2.6,13,100,0.83,0.73,0.9452054794520548,True,True,True,False,A_and_C_and_S
process_disturbance_2.60,process_disturbance,2.6,14,100,0.85,0.79,0.9746835443037974,True,True,False,False,A_and_C
process_disturbance_2.60,process_disturbance,2.6,15,100,0.86,0.83,0.9879518072289156,True,False,False,False,A_only
process_disturbance_2.60,process_disturbance,2.6,16,100,0.95,0.85,0.9882352941176471,False,False,False,True,pass_all
process_disturbance_2.60,process_disturbance,2.6,17,100,0.86,0.75,0.9866666666666667,True,True,False,False,A_and_C
process_disturbance_2.60,process_disturbance,2.6,18,100,0.86,0.76,0.9868421052631579,True,True,False,False,A_and_C
process_disturbance_2.60,process_disturbance,2.6,19,100,0.83,0.8,0.9,True,False,True,False,A_and_S
process_disturbance_2.60,process_disturbance,2.6,20,100,0.86,0.76,0.9605263157894737,True,True,False,False,A_and_C
process_disturbance_2.60,process_disturbance,2.6,21,100,0.88,0.77,0.974025974025974,True,True,False,False,A_and_C
process_disturbance_2.60,process_disturbance,2.6,22,100,0.92,0.86,0.9767441860465116,False,False,False,True,pass_all
