record_type,population,action,rows,harmful,beneficial,harmful_rate,held_out_population,training_rows,test_rows,roc_auc,model,mean_auc,min_auc,max_auc,training_harmful,test_harmful,feature,mean_coefficient,mean_absolute_coefficient,sign_stability
population_action_summary,population_001_010,1,19,7,12,0.3684210526315789,,,,,,,,,,,,,,
population_action_summary,population_001_010,2,46,8,38,0.17391304347826086,,,,,,,,,,,,,,
population_action_summary,population_071_110,1,33,8,25,0.24242424242424243,,,,,,,,,,,,,,
population_action_summary,population_071_110,2,55,0,55,0.0,,,,,,,,,,,,,,
action_prediction_fold,,,,,,,population_001_010,88,65,0.3375286041189932,,,,,,,,,,
action_prediction_fold,,,,,,,population_071_110,65,88,0.5493112947658403,,,,,,,,,,
harm_model_summary,,,,,,,,,,,action_only,0.7285416666666666,0.6133333333333334,0.84375,,,,,,
harm_model_summary,,,,,,,,,,,geometry_plus_action,0.5602499999999999,0.5125,0.608,,,,,,
harm_model_summary,,,,,,,,,,,geometry_only,0.4132604166666667,0.4093333333333333,0.4171875,,,,,,
harm_model_fold,,,,,,,population_001_010,88,65,0.4093333333333333,geometry_only,,,,8,15,,,,
harm_model_fold,,,,,,,population_071_110,65,88,0.4171875,geometry_only,,,,15,8,,,,
harm_model_fold,,,,,,,population_001_010,88,65,0.6133333333333334,action_only,,,,8,15,,,,
harm_model_fold,,,,,,,population_071_110,65,88,0.84375,action_only,,,,15,8,,,,
harm_model_fold,,,,,,,population_001_010,88,65,0.608,geometry_plus_action,,,,8,15,,,,
harm_model_fold,,,,,,,population_071_110,65,88,0.5125,geometry_plus_action,,,,15,8,,,,
coefficient_summary,,,,,,,,,,,action_only,,,,,,action2_indicator,-1.166450218843248,1.166450218843248,1
coefficient_summary,,,,,,,,,,,geometry_only,,,,,,action_support_distance,0.14291510789996664,0.14291510789996664,1
coefficient_summary,,,,,,,,,,,geometry_only,,,,,,action_support_minus_context,-0.2138117393826066,0.2138117393826066,1
coefficient_summary,,,,,,,,,,,geometry_only,,,,,,context_support_distance,0.3402894033614148,0.3402894033614148,1
coefficient_summary,,,,,,,,,,,geometry_only,,,,,,predicted_action_loss,0.2760680736069415,0.7128971773638441,0.5
coefficient_summary,,,,,,,,,,,geometry_only,,,,,,predicted_relative_loss,-0.1603832930505484,0.1603832930505484,1
coefficient_summary,,,,,,,,,,,geometry_plus_action,,,,,,action2_indicator,-1.1758158965720191,1.1758158965720191,1
coefficient_summary,,,,,,,,,,,geometry_plus_action,,,,,,action_support_distance,0.21843707208820132,0.21843707208820132,1
coefficient_summary,,,,,,,,,,,geometry_plus_action,,,,,,action_support_minus_context,-0.11301202977255015,0.2026858577952086,0.5
coefficient_summary,,,,,,,,,,,geometry_plus_action,,,,,,context_support_distance,0.3430238564228556,0.3430238564228556,1
coefficient_summary,,,,,,,,,,,geometry_plus_action,,,,,,predicted_action_loss,0.3504037298522498,0.5528698138112761,0.5
coefficient_summary,,,,,,,,,,,geometry_plus_action,,,,,,predicted_relative_loss,-0.0745399690947601,0.15227741533392872,0.5
