population,generation_seed,test_index,action,action2_indicator,harmful_target,context_support_distance,action_support_distance,action_support_minus_context,predicted_action_loss,predicted_relative_loss
population_001_010,44001,1,1,0,1,1.3127864665843472,2.11904877188447,0.8062623053001228,0.16651911603334027,0.0
population_001_010,44001,9,1,0,0,0.9279836270480246,1.6638316937307622,0.7358480666827376,0.16717879052566167,0.0
population_001_010,44001,12,1,0,0,1.323226204874754,1.9651967389789662,0.6419705341042121,0.16332981027605367,0.0
population_001_010,44001,16,2,1,0,1.3950596292402835,1.8676735752955387,0.4726139460552552,0.10883105354054574,0.0
population_001_010,44001,25,2,1,0,1.0120859363538597,1.1217228861287345,0.10963694977487481,0.15169474586260248,0.0
population_001_010,44001,27,2,1,0,1.4501658304713794,1.7672920190711903,0.3171261885998109,0.07042104921747588,0.0
population_001_010,44001,33,2,1,0,1.5940642903995035,1.9188293837264367,0.32476509332693326,0.08140884654543445,0.0
population_001_010,44001,45,1,0,0,0.9438517818571384,1.7872702744253188,0.8434184925681805,0.16080238634790378,0.0
population_001_010,44001,47,1,0,0,1.236335190785907,2.2585373654295564,1.0222021746436494,0.06904381451729207,0.0
population_001_010,44001,70,2,1,0,1.633769103467871,1.9368161303884517,0.3030470269205807,0.074761223166123,0.0
population_001_010,44002,3,2,1,0,1.4568501795958184,2.3778737895807587,0.9210236099849403,0.22936559322665204,0.0
population_001_010,44002,7,1,0,0,1.1676751206024452,1.6443550030957887,0.4766798824933436,0.18810575343072683,0.0
population_001_010,44002,11,2,1,0,1.5587972189523285,1.945815415729868,0.38701819677753946,0.11248595213826115,0.0
population_001_010,44002,40,1,0,0,1.0113676814199626,1.7183034370703816,0.706935755650419,0.19052268916614484,0.0
population_001_010,44002,65,2,1,0,1.7742536770795951,2.0919024272766378,0.31764875019704264,0.08058728101531587,0.0
population_001_010,44003,3,2,1,0,1.5109301615563049,2.1805613491076676,0.6696311875513627,0.11361108972050758,0.0
population_001_010,44003,8,2,1,0,1.3774250159285795,2.1120474252370256,0.7346224093084461,0.11943118589512397,0.0
population_001_010,44003,18,2,1,1,1.6299460127433825,2.07411073818679,0.44416472544340757,0.1419015221278546,0.0
population_001_010,44003,19,2,1,1,1.6757622777416348,2.0509198687563064,0.3751575910146716,0.09479039692721056,0.0
population_001_010,44003,36,2,1,0,1.2112453482862648,1.7152083740743382,0.5039630257880734,0.07675313327898976,0.0
population_001_010,44003,37,1,0,1,1.0093497068908963,1.2233494154401956,0.21399970854929928,0.16007723765101778,0.0
population_001_010,44003,43,2,1,1,1.8155324215130555,2.3601150438929617,0.5445826223799062,0.10052378144711799,0.0
population_001_010,44003,53,2,1,0,1.9331002991065638,2.2971185180613105,0.36401821895474673,0.08642084460677013,0.0
population_001_010,44003,59,2,1,0,1.6491391908700685,2.2343209986784984,0.5851818078084299,0.08101506767427213,0.0004938968698358082
population_001_010,44004,4,2,1,0,1.2667872724506335,1.453422657364581,0.1866353849139475,0.11338188220501277,0.0
population_001_010,44004,7,2,1,0,1.625328611828614,1.8794940936383129,0.2541654818096988,0.11019845793569917,0.0
population_001_010,44004,8,1,0,1,1.187503070128167,1.7607690823710311,0.5732660122428641,0.11743457562531139,0.0
population_001_010,44004,16,2,1,0,1.6626132125145563,1.9949653258203857,0.33235211330582937,0.11597687168048154,0.0
population_001_010,44004,18,2,1,0,2.063506090849917,2.3427852128940425,0.2792791220441253,0.0732521195282047,0.0
population_001_010,44004,22,2,1,1,1.288582557172788,1.7392421661689361,0.4506596089961481,0.16542519012598952,0.0
population_001_010,44004,25,2,1,1,1.3991714885880073,1.8975250173210814,0.49835352873307404,0.17871614991748752,0.0
population_001_010,44004,26,2,1,1,1.4339513565774333,1.6286018419781634,0.19465048540073004,0.12146285414414956,0.0
population_001_010,44004,27,2,1,0,2.1294811622118934,2.5631976794170788,0.43371651720518534,0.08635719107524052,0.0
population_001_010,44004,36,1,0,0,1.1364042116142372,1.5476835334464363,0.41127932183219906,0.1347632695674113,0.0
