block,generation_seed,test_index,predicted_risk,predicted_loss_k1,predicted_loss_k2,predicted_loss_k3,predicted_loss_spread,true_loss_k1,true_loss_k2,true_loss_k3,true_best_loss,true_loss_spread,true_best_action,true_responsive_action,true_safe_action_count,primary_safe_action_count,support_safe_action_count,primary_action,support_action,primary_regret,support_regret,support_under,support_over,support_distance_k1,support_distance_k2,support_distance_k3,support_distance_selected,safety_score_selected,downside_score_selected,context_benefit_probability,context_release_probability,context_anchor_age,context_trigger_score,context_feature_distance,context_current_mismatch_indicator,context_current_parameter_estimate
block_086,44011,0,0.02508059776379366,0.12744754065484898,0.09498969791716814,0.09446889580358818,0.0329786448512608,0.19077161969216883,0.14975169013576906,0.14975169013576906,0.14975169013576906,0.04101992955639977,2,3,1,1,1,3,3,0.0,0.0,0,1,1.9752698153068269,1.9752698153068269,1.9752698153068269,1.9752698153068269,0.9531628818600697,0.0,0.6953826708099694,0.42421810413295025,26.0,7.920617905254036,0.6780691664179239,0.542534396943952,0.9199061602788218
block_086,44011,1,0.05618792253333122,0.12352926208071713,0.09181394806523747,0.09226070081519427,0.031715314015479654,0.11979431490574553,0.07877438534934575,0.07877438534934575,0.07877438534934575,0.041019929556399784,2,2,2,1,2,3,2,0.0,0.0,0,0,2.2590374602893464,2.2590374602893464,2.2590374602893464,2.2590374602893464,0.8057589285714282,0.010260450966570743,0.5653337291148116,0.6251188307272484,46.0,7.920617905254036,0.5104616453561625,0.21879723107468446,0.9243018799850267
block_086,44011,2,0.04831526473892492,0.19612637915863548,0.17355922972000076,0.19948601721139098,0.025926787491390213,0.29576265639596205,0.30960965236754323,0.2901038089576658,0.2901038089576658,0.019505843409877432,3,3,1,1,1,3,3,0.0,0.0,0,0,3.560100493889533,3.560100493889533,3.560100493889533,3.560100493889533,0.668396579945411,0.0,0.5936459643137676,0.6007901498952413,10.0,6.44050468260368,0.5663815600466615,0.02721334479406853,0.9213233760866996
block_086,44011,3,0.035979251667319155,0.26831823018324674,0.3205116494660813,0.37825839719992027,0.10994016701667353,0.2231585897152925,0.20365274630541508,0.1956695439168638,0.1956695439168638,0.027489045798428702,3,1,1,1,1,1,1,0.027489045798428702,0.027489045798428702,1,0,9.386347450237778,9.386347450237778,9.386347450237778,9.386347450237778,0.5564410797535801,0.05159768571237169,0.5332556949855477,0.6283841909888056,20.0,6.44050468260368,0.5412884924122444,2.0011005245467004,0.9162213864310703
block_086,44011,4,0.04256706643615955,0.3053491701002448,0.3045730416780443,0.3605898637120027,0.05601682203395841,0.45093138980320746,0.43835555162524004,0.44466751926937953,0.43835555162524004,0.012575838177967424,2,2,1,1,1,2,2,0.0,0.0,0,0,7.912335926980402,7.912335926980402,7.912335926980402,7.912335926980402,0.4608839285714284,0.04051478328513881,0.5917867967794185,0.5279550645633646,12.0,7.450294261506105,0.805279496293053,3.378203301483938,0.9222990829669945
block_086,44011,5,0.05136717444880147,0.2335404152711012,0.18081306386469848,0.20885664052206693,0.05272735140640272,0.284921454710432,0.2912334223545715,0.2934672068760619,0.284921454710432,0.008545752165629916,1,2,1,1,1,3,3,0.008545752165629916,0.008545752165629916,0,1,3.800235676156498,3.800235676156498,3.800235676156498,3.800235676156498,0.6721930866794176,0.0,0.5886396806909662,0.5862851768969113,22.0,7.450294261506105,0.6601666189171616,0.2045155046191876,0.9253634048998245
block_086,44011,6,0.022818171996488088,0.17820255217863307,0.17490292060266752,0.17087281095185583,0.007329741226777237,0.21985685684306985,0.21985685684306985,0.21985685684306985,0.21985685684306985,0.0,1,3,1,1,1,3,3,0.0,0.0,0,1,3.334699022089466,3.334699022089466,3.334699022089466,3.334699022089466,0.9743134709681689,0.0,0.7676422411988597,0.3267673166500496,5.0,10.821282754119794,1.3118618762143213,1.2052407925745507,0.9241983619987927
block_086,44011,7,0.008932334494054846,0.20132953489204647,0.22301475946214513,0.22233167649404517,0.021685224570098666,0.11923757476313816,0.11923757476313816,0.11923757476313816,0.11923757476313816,0.0,1,1,1,1,1,1,1,0.0,0.0,0,0,4.005188828465387,4.005188828465387,4.005188828465387,4.005188828465387,0.8565263833388839,0.013826500419933623,0.7961008571550348,0.29108954556496514,15.0,10.821282754119794,1.1614798774954858,0.9733777435925626,0.9282962469707908
block_086,44011,8,0.01693588904133525,0.10861343651680835,0.08705432007400242,0.0818977657529,0.02671567076390835,0.06789017651220139,0.06789017651220139,0.06789017651220139,0.06789017651220139,0.0,1,3,1,1,1,3,3,0.0,0.0,0,1,2.65748632973166,2.65748632973166,2.65748632973166,2.65748632973166,0.9854958673233876,0.0,0.8060897592775605,0.25695268488481976,25.0,10.821282754119794,1.0409646463951348,0.38721438129255775,0.915028029328288
block_086,44011,9,0.02279537647715952,0.09510839420730871,0.07041881383174342,0.06869822155500899,0.026410172652299724,0.03191374465760677,0.03191374465760677,0.03191374465760677,0.03191374465760677,0.0,1,3,1,1,1,3,3,0.0,0.0,0,1,2.8141619005654404,2.8141619005654404,2.8141619005654404,2.8141619005654404,0.9362945388009166,0.0,0.7048362374276641,0.3690832020611902,45.0,10.821282754119794,0.8038806044011925,0.03982372631202297,0.9152035378221262
