test_index,best_persistence,predicted_under_risk,selected_lambda,oracle_lambda,selected_action,oracle_lambda_action,selected_regret,oracle_lambda_regret,predicted_regret_lambda_0.00,predicted_regret_lambda_0.10,predicted_regret_lambda_0.25,predicted_regret_lambda_1.00
0,1,0.02280515121673653,1.0,0.0,3,2,0.0,0.0,0.00010699654136893345,0.00021315125845869059,6.235693678250569e-05,0.0
1,1,0.011179931936987006,0.25,0.0,2,2,0.0,0.0,0.004858635195163525,0.005230265513692075,0.0003193205217879835,0.00047693076345033835
2,1,0.011272623240007376,0.0,0.0,2,2,0.0,0.0,0.0,0.0,0.0,0.0
3,1,0.024593994812742055,1.0,0.0,3,2,0.0,0.0,0.003725981304922048,0.003752175412580129,0.0002589306514709241,0.0001161858588984639
4,1,0.02638256442498864,1.0,0.0,1,1,0.0,0.0,0.04263631108458151,0.03821402574190181,0.03936838423747781,0.0008068011040991233
5,2,0.027565087328314322,1.0,1.0,3,3,0.0,0.0,0.04225329602114324,0.043450007452317536,0.04861609159158559,2.8437098331791866e-05
6,2,0.03441937398111071,1.0,0.1,3,3,0.0,0.0,0.006358597314807846,0.004951866240066086,0.0018851828044434264,0.00047693076345033835
7,2,0.03425887702294003,0.25,0.1,3,2,0.0,0.0,0.008813975770671344,0.006226275488523783,0.0002460147562673342,0.0005793043174447892
8,1,0.0460522615338116,1.0,0.0,3,1,0.0,0.0,0.015656311694919777,0.009295082153771705,0.002492508941845555,0.00045775603428947287
9,1,0.042567450027431425,0.25,0.0,3,2,0.0,0.0,0.015244933148279785,0.00032716220608554125,0.00022826147554364063,0.00045775603428947287
10,1,0.030993522774128465,0.1,0.0,3,3,0.0,0.0,0.00016049481205340018,0.0,0.0,0.00045775603428947287
11,1,0.037248184346602375,0.25,0.0,3,1,0.0,0.0,0.002389230206059543,0.00113176450846491,0.0,0.00045775603428947287
12,1,0.03664991528924929,0.25,0.0,3,1,0.0,0.0,0.0014893420954887797,0.0002933409521360185,0.0,0.0
13,1,0.018872985450852996,0.1,0.0,1,1,0.0,0.0,0.0004879447551249397,0.0,0.0,0.0
14,1,0.02476059077747911,0.25,0.0,3,2,0.0,0.0,5.3498270684466725e-05,0.0003495386264681714,0.0,0.0
15,1,0.03670569933458623,1.0,0.0,3,1,0.0,0.0,0.020010962285277534,0.01440634934718486,0.0013066388518604046,0.00047693076345033835
16,1,0.03144023959720714,1.0,0.0,3,1,0.0,0.0,0.030033638383940367,0.028620946225042205,0.03380933052592868,0.0004691308736221897
17,1,0.04538115275370475,1.0,0.0,3,3,0.0,0.0,0.0037108731577145467,0.0023077533651864454,0.00287146181691093,0.00045775603428947287
18,2,0.027912106784189476,1.0,0.0,3,2,0.0,0.0,0.029932252174732114,0.0051208582010269345,0.004742873661551248,0.0
19,2,0.01849410688953061,0.1,0.25,1,2,0.09518820021482474,0.0,0.0007406351577642839,0.0,0.0,0.0
20,2,0.040866210078494974,1.0,0.0,3,3,0.0,0.0,0.0007640603981340285,0.0004955547441919907,0.00020738740514029353,0.0
21,2,0.04299907391748921,1.0,0.0,3,3,0.0,0.0,0.0036547969594227098,0.0020066474409262377,0.00287146181691093,0.00045775603428947287
22,2,0.03670897179644808,1.0,0.0,3,3,0.0,0.0,0.0038653098398906266,0.00205566089390275,0.0029190087029575765,0.00045775603428947287
23,2,0.029217456164213465,0.25,0.0,3,2,0.0,0.0,0.005505079308199232,0.005736588680610052,0.0003193205217879835,0.0016777888015757183
24,1,0.04592788430002088,1.0,0.0,3,2,0.0,0.0,0.005306929691307911,0.0005656328253586306,0.0003407438508486074,0.0
