test_index,outcome,primary_actions,expanded_actions,true_safe_actions,primary_action,expanded_action,true_responsive_action,primary_regret,expanded_regret,incremental_regret,selected_safety_mean,selected_safety_std,selected_downside_mean,selected_downside_std,selected_realized_regret,safety_lcb_k_0.00,downside_ucb_k_0.00,safety_lcb_k_0.25,downside_ucb_k_0.25,safety_lcb_k_0.50,downside_ucb_k_0.50,safety_lcb_k_0.75,downside_ucb_k_0.75,safety_lcb_k_1.00,downside_ucb_k_1.00,safety_lcb_k_1.25,downside_ucb_k_1.25,safety_lcb_k_1.50,downside_ucb_k_1.50,safety_lcb_k_2.00,downside_ucb_k_2.00
0,neutral,2|3,2|3,2|3,2,2,2,0.0,0.0,0.0,0.7041666666666667,0.42177632275876903,0.0,0.0,0.0,0.7041666666666667,0.0,0.5987225859769745,0.0,0.49327850528728223,0.0,0.38783442459758993,0.0,0.2823903439078977,0.0,0.1769462632182054,0.0,0.07150218252851315,0.0,-0.13938597885087134,0.0
1,neutral,2|3,2|3,2|3,2,2,2,0.0,0.0,0.0,0.5549895833333334,0.4542838341552849,0.0006950249005539918,0.0032848532210023496,0.0,0.5549895833333334,0.0006950249005539918,0.44141862479451216,0.0015162382058045792,0.32784766625569095,0.0023374515110551664,0.21427670771686969,0.003158664816305754,0.10070574917804848,0.0039798781215563414,-0.012865209360772734,0.004801091426806929,-0.126436167899594,0.005622304732057516,-0.3535780849772364,0.007264731342558691
2,neutral,2|3,2|3,2|3,2,2,2,0.0,0.0,0.0,0.8065406746031746,0.3470478047631233,0.0,0.0,0.0,0.8065406746031746,0.0,0.7197787234123938,0.0,0.6330167722216129,0.0,0.5462548210308321,0.0,0.4594928698400513,0.0,0.37273091864927044,0.0,0.28596896745848965,0.0,0.11244506507692797,0.0
3,neutral,3,3,2|3,3,3,2,0.0,0.0,0.0,0.9007276924464425,0.2707160492369735,0.00010814630927070746,0.0008403888746278411,0.0,0.9007276924464425,0.00010814630927070746,0.8330486801371991,0.00031824352792766774,0.7653696678279557,0.0005283407465846281,0.6976906555187123,0.0007384379652415884,0.6300116432094689,0.0009485351838985486,0.5623326309002256,0.001158632402555509,0.4946536185909822,0.0013687296212124692,0.35929559397249544,0.0017889240585263898
4,neutral,1,1,1,1,1,1,0.0,0.0,0.0,0.38262946428571426,0.4051046197447583,0.03195580171261873,0.024942247732009294,0.0,0.38262946428571426,0.03195580171261873,0.2813533093495247,0.03819136364562105,0.1800771544133351,0.04442692557862338,0.07880099947714553,0.0506624875116257,-0.02247515545904405,0.05689804944462802,-0.12375131039523363,0.06313361137763035,-0.2250274653314232,0.06936917331063266,-0.42757977520380236,0.08184029717663732
5,neutral,3,3,3,3,3,3,0.0,0.0,0.0,0.7159821879509379,0.4162145433197182,0.0004267160053551188,0.0026228054907814395,0.0,0.7159821879509379,0.0004267160053551188,0.6119285521210084,0.0010824173780504787,0.5078749162910788,0.0017381187507458386,0.4038212804611493,0.0023938201234411987,0.29976764463121974,0.0030495214961365584,0.1957140088012902,0.003705222868831918,0.09166037297136065,0.004360924241527279,-0.11644689868849845,0.005672326986917998
6,neutral,3,3,3,3,3,3,0.0,0.0,0.0,0.7329811958874459,0.40867044988848916,0.0004225184313286665,0.0013421937033212524,0.0,0.7329811958874459,0.0004225184313286665,0.6308135834153237,0.0007580668571589796,0.5286459709432013,0.0010936152829892926,0.42647835847107907,0.0014291637088196059,0.32431074599895676,0.001764712134649919,0.22214313352683446,0.0021002605604802317,0.11997552105471221,0.002435808986310545,-0.0843597038895324,0.0031069058379711713
7,neutral,3,3,2|3,3,3,2,0.0,0.0,0.0,0.8429954534844241,0.3239610261924232,0.0009446088274530346,0.00311670554208268,0.0,0.8429954534844241,0.0009446088274530346,0.7620051969363183,0.0017237852129737045,0.6810149403882124,0.0025029615984943744,0.6000246838401067,0.0032821379840150444,0.5190344272920009,0.004061314369535714,0.4380441707438951,0.004840490755056385,0.3570539141957893,0.005619667140577054,0.19507340109957771,0.007178019911618394
8,neutral,3,3,1|3,3,3,1,0.0,0.0,0.0,0.7882142857142858,0.3719880511915361,0.0020803511824398296,0.005082314479509882,0.0,0.7882142857142858,0.0020803511824398296,0.6952172729164017,0.0033509298023173,0.6022202601185177,0.00462150842219477,0.5092232473206337,0.005892087042072241,0.41622623452274965,0.007162665661949712,0.3232292217248656,0.008433244281827183,0.2302322089269816,0.009703822901704653,0.04423818333121354,0.012244980141459595
9,beneficial,3,2|3,2|3,3,2,2,0.0,0.0,0.0,0.8166478174603174,0.3433333546018691,0.0006449349878687603,0.002518806148108392,0.0,0.8166478174603174,0.0006449349878687603,0.7308144788098502,0.0012746365248958583,0.6449811401593829,0.0019043380619229563,0.5591478015089156,0.0025340395989500546,0.47331446285844836,0.0031637411359771526,0.3874811242079811,0.0037934426730042506,0.3016477855575138,0.004423144210031349,0.12998110825657927,0.005682547284085545
