policy,accuracy,mean_loss,mean_regret,median_regret,max_regret,zero_regret_fraction,regret_gt_0_005_fraction,under_count,over_count,exact_count,action_entropy,dominant_action_fraction,deviation_from_direct,seed,dataset_fingerprint,context_count,train_count,test_count,pareto_efficient
direct_loss,0.30666666666666664,0.12079127221943481,0.01380249028098838,0.0,0.12064132304567521,0.7333333333333333,0.24,19,33,23,0.9851223962447977,0.41333333333333333,0.0,100,f762dc10d03de0c5087494809dd246fe6b75ef2ccc0456c90e87f2cc873fba14,247,172,75,1
fixed_risk_0.010,0.2,0.11883153565355656,0.011842753715110132,0.0,0.12064132304567521,0.76,0.21333333333333335,16,44,15,0.8868841089973771,0.56,0.29333333333333333,100,f762dc10d03de0c5087494809dd246fe6b75ef2ccc0456c90e87f2cc873fba14,247,172,75,1
two_stage_0.10,0.28,0.1188759516578212,0.011887169719374755,0.0,0.12064132304567521,0.76,0.21333333333333335,17,37,21,0.9565826682888481,0.44,0.14666666666666667,100,f762dc10d03de0c5087494809dd246fe6b75ef2ccc0456c90e87f2cc873fba14,247,172,75,1
two_stage_0.25,0.25333333333333335,0.1188759516578212,0.011887169719374755,0.0,0.12064132304567521,0.76,0.21333333333333335,17,39,19,0.9041221332850052,0.5066666666666667,0.2,100,f762dc10d03de0c5087494809dd246fe6b75ef2ccc0456c90e87f2cc873fba14,247,172,75,0
two_stage_1.00,0.2,0.11344101269352112,0.006452230755074689,0.0,0.09144158721052004,0.8266666666666667,0.14666666666666667,11,49,15,0.7464265478467283,0.68,0.4266666666666667,100,f762dc10d03de0c5087494809dd246fe6b75ef2ccc0456c90e87f2cc873fba14,247,172,75,1
fixed_k3,0.16,0.10950276621338635,0.0025139842749399136,0.0,0.043300331005323614,0.9066666666666666,0.09333333333333334,0,63,12,0.0,1.0,0.68,100,f762dc10d03de0c5087494809dd246fe6b75ef2ccc0456c90e87f2cc873fba14,247,172,75,0
oracle,1.0,0.10698878193844644,0.0,0.0,0.0,1.0,0.0,0,0,75,0.8576422670050818,0.6,0.6933333333333334,100,f762dc10d03de0c5087494809dd246fe6b75ef2ccc0456c90e87f2cc873fba14,247,172,75,0
direct_loss,0.2987012987012987,0.15266197797976933,0.020491811405401055,0.0,0.12175421184763124,0.6623376623376623,0.3246753246753247,25,29,23,0.8969989627552049,0.5584415584415584,0.0,101,3310eefb4ea2f6c4e71aac7da31dcf576fd0a00efede0badf800406176614137,256,179,77,1
fixed_risk_0.010,0.16883116883116883,0.15144880601038999,0.019278639436021695,0.0,0.12175421184763124,0.6883116883116883,0.2987012987012987,23,41,13,0.6780296695113165,0.5584415584415584,0.2987012987012987,101,3310eefb4ea2f6c4e71aac7da31dcf576fd0a00efede0badf800406176614137,256,179,77,0
two_stage_0.10,0.22077922077922077,0.15266197797976933,0.020491811405401055,0.0,0.12175421184763124,0.6623376623376623,0.3246753246753247,25,35,17,0.7234763082766412,0.5064935064935064,0.2077922077922078,101,3310eefb4ea2f6c4e71aac7da31dcf576fd0a00efede0badf800406176614137,256,179,77,0
two_stage_0.25,0.19480519480519481,0.15144880601038999,0.019278639436021695,0.0,0.12175421184763124,0.6883116883116883,0.2987012987012987,23,39,15,0.7222140980625457,0.5194805194805194,0.2597402597402597,101,3310eefb4ea2f6c4e71aac7da31dcf576fd0a00efede0badf800406176614137,256,179,77,1
two_stage_1.00,0.12987012987012986,0.14683628454521494,0.014666117970846654,0.0,0.10665810512835866,0.7272727272727273,0.2597402597402597,19,48,10,0.6818166848950044,0.6363636363636364,0.4025974025974026,101,3310eefb4ea2f6c4e71aac7da31dcf576fd0a00efede0badf800406176614137,256,179,77,1
fixed_k3,0.15584415584415584,0.13502584570513382,0.002855679130765541,0.0,0.04745144030681861,0.9090909090909091,0.09090909090909091,0,65,12,0.0,1.0,0.7402597402597403,101,3310eefb4ea2f6c4e71aac7da31dcf576fd0a00efede0badf800406176614137,256,179,77,0
oracle,1.0,0.13217016657436828,0.0,0.0,0.0,1.0,0.0,0,0,77,0.8856462027684395,0.5584415584415584,0.7012987012987013,101,3310eefb4ea2f6c4e71aac7da31dcf576fd0a00efede0badf800406176614137,256,179,77,0
