model,generation_seed,rows,unsafe_rows,unsafe_prevalence,roc_auc,brier_score
primary_action_plus_context_support,44151,228,40,0.17543859649122806,0.8284574468085106,0.15925195554302884
primary_action_plus_context_support,44152,219,37,0.1689497716894977,0.8070983070983071,0.16767312007200946
primary_action_plus_context_support,44153,225,41,0.18222222222222223,0.8126988335100742,0.16593352101203096
primary_action_plus_context_support,44154,225,42,0.18666666666666668,0.8040593286494926,0.16536343586468502
primary_action_plus_context_support,44155,222,44,0.1981981981981982,0.7853677221654749,0.17720322768333266
primary_action_plus_context_support,44156,234,44,0.18803418803418803,0.7748803827751196,0.17752888113784976
primary_action_plus_context_support,44157,234,42,0.1794871794871795,0.782986111111111,0.17933060588291636
primary_action_plus_context_support,44158,216,36,0.16666666666666666,0.7830246913580247,0.18238848247672637
primary_action_plus_context_support,44159,219,45,0.2054794520547945,0.8093231162196679,0.17415954835336964
primary_action_plus_context_support,44160,225,46,0.20444444444444446,0.8010687393733301,0.1768214099851577
primary_action_plus_context_support,44161,222,42,0.1891891891891892,0.7985449735449736,0.17581863607654483
primary_action_plus_context_support,44162,210,46,0.21904761904761905,0.7965270413573702,0.17930218764909933
primary_action_plus_context_support,44163,207,36,0.17391304347826086,0.8065302144249513,0.18097768150619734
primary_action_plus_context_support,44164,210,38,0.18095238095238095,0.8376682986536108,0.1653494030951172
primary_action_plus_context_support,44165,219,43,0.1963470319634703,0.8287526427061311,0.17451123432540666
primary_action_plus_context_support,44166,210,42,0.2,0.8259637188208617,0.17094140976849112
primary_action_plus_context_support,44167,228,36,0.15789473684210525,0.8686342592592593,0.15972260131672816
primary_action_plus_context_support,44168,228,41,0.17982456140350878,0.8763532020346942,0.15397787773786975
primary_action_plus_context_support,44169,228,49,0.2149122807017544,0.8783491050051305,0.14668858103238344
primary_action_plus_context_support,44170,225,39,0.17333333333333334,0.8760683760683762,0.1488281697839607
primary_action_plus_context_support,44171,246,51,0.2073170731707317,0.8268476621417797,0.1640895214769724
primary_action_plus_context_support,44172,237,42,0.17721518987341772,0.8714285714285714,0.15210396368609616
primary_action_plus_context_support,44173,255,56,0.2196078431372549,0.8403625269203159,0.15950906100579923
primary_action_plus_context_support,44174,261,52,0.19923371647509577,0.8043798306956202,0.16858608709797768
primary_action_plus_context_support,44175,261,54,0.20689655172413793,0.803632134550009,0.17316947688422313
primary_action_plus_context_support,44176,264,48,0.18181818181818182,0.7778742283950617,0.18952465355898385
primary_action_plus_context_support,44177,264,50,0.1893939393939394,0.8068224299065421,0.17258395546120428
primary_action_plus_context_support,44178,264,54,0.20454545454545456,0.8156966490299823,0.16728393813931544
primary_action_plus_context_support,44179,258,54,0.20930232558139536,0.8191721132897603,0.16696590917210097
primary_action_plus_context_support,44180,249,59,0.23694779116465864,0.8026761819803747,0.1658183714724196
primary_action_plus_context_support,44181,246,61,0.24796747967479674,0.8374833850243686,0.14288405407184673
primary_action_plus_context_support,44182,246,58,0.23577235772357724,0.825843727072634,0.15143554359856295
primary_action_plus_context_support,44183,246,52,0.21138211382113822,0.8627081681205392,0.13968561535613946
primary_action_plus_context_support,44184,246,50,0.2032520325203252,0.8655102040816326,0.1387790090924081
primary_action_plus_context_support,44185,240,48,0.2,0.886935763888889,0.13041673032330706
primary_action_plus_context_support,44186,240,47,0.19583333333333333,0.8838055341197221,0.1318630359693479
primary_action_plus_context_support,44187,246,49,0.1991869918699187,0.883248730964467,0.1349845616809702
primary_action_plus_context_support,44188,249,49,0.19678714859437751,0.8755102040816327,0.13695720087542856
primary_action_plus_context_support,44189,243,45,0.18518518518518517,0.8748597081930415,0.14084182549407145
primary_action_plus_context_support,44190,240,33,0.1375,0.8568291611769873,0.14887442295370878
comparator_action_identity_only,44151,228,40,0.17543859649122806,0.7930851063829787,0.20073766005103197
comparator_action_identity_only,44152,219,37,0.1689497716894977,0.771012771012771,0.20715442642559093
comparator_action_identity_only,44153,225,41,0.18222222222222223,0.7783669141039238,0.20390841437889864
comparator_action_identity_only,44154,225,42,0.18666666666666668,0.7829820452771272,0.20216689888242248
comparator_action_identity_only,44155,222,44,0.1981981981981982,0.7456588355464759,0.20987802984682477
comparator_action_identity_only,44156,234,44,0.18803418803418803,0.7425837320574162,0.2116170295450344
comparator_action_identity_only,44157,234,42,0.1794871794871795,0.7321428571428572,0.21496609780748863
comparator_action_identity_only,44158,216,36,0.16666666666666666,0.7222222222222221,0.21773382441514347
comparator_action_identity_only,44159,219,45,0.2054794520547945,0.7517241379310345,0.20762427428037544
comparator_action_identity_only,44160,225,46,0.20444444444444446,0.745931503521982,0.20959027944698422
comparator_action_identity_only,44161,222,42,0.1891891891891892,0.7447089947089947,0.2106279186860563
comparator_action_identity_only,44162,210,46,0.21904761904761905,0.7505302226935313,0.20714754769591792
comparator_action_identity_only,44163,207,36,0.17391304347826086,0.7241715399610136,0.21885036082506368
comparator_action_identity_only,44164,210,38,0.18095238095238095,0.7998776009791921,0.20227475737228126
comparator_action_identity_only,44165,219,43,0.1963470319634703,0.7218551797040169,0.21471322379110455
comparator_action_identity_only,44166,210,42,0.2,0.7281746031746033,0.2123939696676045
comparator_action_identity_only,44167,228,36,0.15789473684210525,0.7748842592592593,0.20761206332659593
