generation_seed,test_index,primary_action,support_baseline_action,calibration_guard_action,support_changed_action,guard_changed_support_action,baseline_expansion_outcome,guarded_expansion_outcome,baseline_regret,guarded_regret,primary_regret,context_support_distance,calibration_probability_baseline_action,calibration_threshold,predicted_baseline_action_loss,realized_baseline_action_loss,baseline_action_loss_error,severe_underestimation,true_best_action,true_responsive_action,vetoed_actions
44091,0,2,2,2,0,0,neutral,neutral,0.0,0.0,0.0,5.118215531878041,nan,0.468010308717,0.18613121304809144,0.1484832420154865,0.03764797103260495,0,2,2,
44091,1,3,3,3,0,0,neutral,neutral,0.0,0.0,0.0,3.5889665484133366,nan,0.468010308717,0.1194974909722732,0.0391149472094208,0.08038254376285241,0,2,3,
44091,2,1,1,1,0,0,neutral,neutral,0.0,0.0,0.0,1.8739980272322956,nan,0.468010308717,0.1966398217678012,0.03963163938847073,0.15700818237933048,0,1,1,
44091,3,2,2,2,0,0,neutral,neutral,0.0,0.0,0.0,1.2388348062709515,nan,0.468010308717,0.12269197215482988,0.07680449546889401,0.045887476685935874,0,1,2,
44091,4,2,2,2,0,0,neutral,neutral,0.0,0.0,0.0,2.0181079400704456,nan,0.468010308717,0.19624714175339894,0.031371595770103705,0.16487554598329524,0,1,2,
44091,5,2,2,2,0,0,neutral,neutral,0.0,0.0,0.0,1.677051841275172,nan,0.468010308717,0.1452686001280861,0.23393923912956993,-0.08867063900148384,0,2,2,
44091,6,3,3,3,0,0,neutral,neutral,0.0,0.0,0.0,2.6388235629625503,nan,0.468010308717,0.20139561279840149,0.1611376848724322,0.04025792792596927,0,2,3,
44091,7,1,1,1,0,0,neutral,neutral,0.024349292617352067,0.024349292617352067,0.024349292617352067,3.7805739685832243,nan,0.468010308717,0.07621092768057515,0.1028044267486107,-0.026593499068035556,0,2,1,
44091,8,2,2,2,0,0,neutral,neutral,0.0,0.0,0.0,1.7975998334159988,nan,0.468010308717,0.12518716115541673,0.12995779855853104,-0.004770637403114314,0,1,2,
44091,9,2,2,2,0,0,neutral,neutral,0.0,0.0,0.0,1.3636511377612248,nan,0.468010308717,0.1158472251220972,0.07528709937272078,0.040560125749376424,0,1,2,
44091,10,1,1,1,0,0,neutral,neutral,0.0,0.0,0.0,2.3142532796705098,nan,0.468010308717,0.1178343667149101,0.03148889529426927,0.08634547142064083,0,1,1,
44091,11,2,2,2,0,0,neutral,neutral,0.0,0.0,0.0,1.4358661240511228,nan,0.468010308717,0.11448787480619763,0.15107747704959143,-0.036589602243393804,0,2,2,
44091,12,2,2,2,0,0,neutral,neutral,0.0,0.0,0.0,1.8262542945095561,nan,0.468010308717,0.16274833703818262,0.08900148697354332,0.0737468500646393,0,2,2,
44091,13,3,3,3,0,0,neutral,neutral,0.0,0.0,0.0,3.362467473892734,nan,0.468010308717,0.16372951097074873,0.047400311467037916,0.11632919950371082,0,2,3,
44091,14,1,1,1,0,0,neutral,neutral,0.06064747433807319,0.06064747433807319,0.06064747433807319,2.058066488851418,nan,0.468010308717,0.22249824432603676,0.3033437168023513,-0.08084547247631452,0,2,1,
44091,15,1,1,1,0,0,neutral,neutral,0.06064747433807319,0.06064747433807319,0.06064747433807319,4.452071727215908,nan,0.468010308717,0.2080422956653869,0.22240710075577794,-0.014364805090391036,0,2,1,
44091,16,3,3,3,0,0,neutral,neutral,0.0,0.0,0.0,3.2062616833535627,nan,0.468010308717,0.13278304612084782,0.0809730190999465,0.05181002702090132,0,2,3,
