contrast,estimate,ci_2_5,ci_97_5,probability_positive,bootstrap_samples
context_support_only,0.5716200901125025,0.5561889501498922,0.5868808397884191,,5000
action_support_only,0.5584835858075762,0.5427713994748989,0.5743296639339014,,5000
predicted_loss_only,0.4683480484956561,0.4505257241875121,0.48609766523047054,,5000
context_plus_loss,0.45454790300963277,0.4376308145681643,0.4710098514922713,,5000
context_plus_action_support,0.5687584476041231,0.5531032371939577,0.5845700354075841,,5000
context_loss_action_support,0.4517639885000363,0.4350079287283865,0.46814554225201876,,5000
context_loss_action_support_minus_context_support_only,-0.11985610161246618,-0.13816232848750062,-0.10217824595312354,0.0,5000
context_loss_action_support_minus_action_support_only,-0.10671959730753988,-0.12738714733283102,-0.08617496501649417,0.0,5000
context_loss_action_support_minus_predicted_loss_only,-0.016584059995619793,-0.02661051114073747,-0.006016430612168184,0.0014,5000
context_loss_action_support_minus_context_plus_loss,-0.0027839145095964746,-0.004027370532677761,-0.0015649817882590095,0.0,5000
context_loss_action_support_minus_context_plus_action_support,-0.11699445910408679,-0.13672043424199498,-0.09777139474979261,0.0,5000
