model,feature,standardized_training_coefficient
context_support_only,context_support_distance,0.6133423962716094
context_support_only,intercept,-0.06316901366558035
action_support_only,action_support_distance,0.6163641876523759
action_support_only,intercept,-0.06297580842916795
predicted_loss_only,predicted_action_loss,-0.3206015455644611
predicted_loss_only,intercept,-0.026984185654103553
context_plus_loss,context_support_distance,0.5885323879205873
context_plus_loss,predicted_action_loss,-0.2704212056986142
context_plus_loss,intercept,-0.08455349710302246
context_plus_action_support,context_support_distance,0.3092064897214526
context_plus_action_support,action_support_distance,0.3069918936749896
context_plus_action_support,intercept,-0.06276154781811141
context_loss_action_support,context_support_distance,0.8520129154259503
context_loss_action_support,predicted_action_loss,-0.27334664229952704
context_loss_action_support,action_support_distance,-0.26648239503724785
context_loss_action_support,intercept,-0.08502628434801557
