generation_seed,test_index,primary_action,baseline_action,unconditional_action,hierarchical_action,true_responsive_action,baseline_expansion,baseline_outcome,state_harmful_probability,support_distance_baseline_action,unconditional_veto,hierarchical_veto,hierarchical_support_condition,current_mismatch_indicator,anchor_age,trigger_score,safety_score_baseline_action,downside_score_baseline_action,baseline_regret,unconditional_regret,hierarchical_regret
44031,0,1,1,1,1,1,0,none,0.012276563504462958,2.976978551201887,0,0,1,0.007557477884317349,39.0,15.867083536520981,0.8079771825396826,0.01626609762327744,0.047042376921089674,0.047042376921089674,0.047042376921089674
44031,1,3,3,3,3,1,0,none,0.9439774281810501,2.403635064725788,0,0,1,0.6100800033445343,2.0,4.783886377017327,0.6788839285714283,0.0,0.0,0.0,0.0
44031,2,3,3,3,3,1,0,none,0.5923613097117761,1.80298308182171,0,0,0,0.054303427623651736,12.0,4.783886377017327,0.8834136904761906,0.0,0.0,0.0,0.0
44031,3,1,1,1,1,1,0,none,0.9983547722496268,3.1773607929870407,0,0,1,2.096823514759016,32.0,4.783886377017327,0.8156041666666666,0.0031776288415093696,0.0,0.0,0.0
44031,4,3,3,3,3,3,0,none,0.9662263685101098,2.3917337812364576,0,0,1,0.8547649783217632,6.0,5.164998282601772,0.9266130952380955,0.0,0.0,0.0,0.0
44031,5,3,3,3,3,2,0,none,0.9996468212408094,2.8241312236144287,0,0,1,2.3309252917663814,16.0,5.164998282601772,0.7024285714285711,0.0,0.0,0.0,0.0
44031,6,3,3,3,3,1,0,none,0.5569246789764755,2.170699936195125,0,0,1,0.406528794257458,36.0,5.164998282601772,0.7415535714285714,0.0,0.0,0.0,0.0
44031,7,1,1,1,1,2,0,none,0.1691970089357033,2.934441338577331,0,0,1,0.17924285955812297,14.0,12.763544967627332,0.7356617063492066,0.01645230073292391,0.007566702279308113,0.007566702279308113,0.007566702279308113
44031,8,1,1,1,1,1,0,none,0.12278367790907815,2.395210115682725,0,0,1,0.22211286566920344,24.0,12.763544967627332,0.8322509920634924,0.020759786168793547,0.04085537509977674,0.04085537509977674,0.04085537509977674
44031,9,2,2,2,2,2,0,none,0.9915837196249144,2.3838567680139837,0,0,1,1.5227977455823403,5.0,8.481146755953668,0.8636517857142852,0.0005178562682892768,0.0,0.0,0.0
44031,10,3,3,3,3,1,0,none,0.4193389939956088,2.557093225631177,0,0,1,0.3554646213379366,25.0,8.481146755953668,0.5956354166666668,0.0,0.0,0.0,0.0
44031,11,2,2,2,2,2,0,none,0.2874923007035033,1.7805576779560002,0,0,0,0.21824896008188477,10.0,11.583959134407792,0.8700833333333335,0.0,0.0,0.0,0.0
44031,12,2,2,2,2,2,0,none,0.6439138752608221,2.3390715467146994,0,0,1,0.8019017504593806,20.0,11.583959134407792,0.7348749999999998,1.7678297734044588e-05,0.0,0.0,0.0
44031,13,2,1,1,1,1,1,beneficial,0.1622717762425694,2.2928868684373565,0,0,1,0.45968151911159016,40.0,11.583959134407792,0.9249384920634922,0.008589849924682796,0.0,0.0,0.0
44031,14,3,3,3,3,3,0,none,0.7486631644793369,2.557417070154907,0,0,1,0.4339173985126608,7.0,7.776869571928644,0.8437648809523811,0.0,0.0,0.0,0.0
44031,15,3,3,3,3,3,0,none,0.9688448808698227,1.993118477628122,0,0,0,1.261470257913859,17.0,7.776869571928644,0.9934375,0.0,0.0,0.0,0.0
44031,16,3,3,3,3,1,0,none,0.1890833864087392,2.173493393351571,0,0,1,0.001231904548744003,27.0,7.776869571928644,0.7639062499999999,0.0,0.0,0.0,0.0
44031,17,2,2,2,2,2,0,none,0.12229569482553565,2.3308573379162767,0,0,1,0.15478232071590348,47.0,7.776869571928644,0.8213303571428574,0.0,0.0,0.0,0.0
44031,18,2,2,2,2,2,0,none,0.9512221574168348,2.6189629302871786,0,0,1,1.0965676376462192,4.0,9.779638565083934,0.8589970238095238,0.0034654713900144547,0.0,0.0,0.0
44031,19,2,2,2,2,2,0,none,0.7554008393240463,2.563755092265995,0,0,1,0.7160832198708007,14.0,9.779638565083934,0.8456785714285715,0.003915678705641456,0.0,0.0,0.0
44031,20,1,1,1,1,1,0,none,0.5029611069156669,2.643141729756464,0,0,1,0.696324626408837,34.0,9.779638565083934,0.9065128968253972,0.01004032459998238,0.006930648401683254,0.006930648401683254,0.006930648401683254
44031,21,2,2,2,2,2,0,none,0.999964219736905,3.5278819977784712,0,0,1,2.9238964899897875,8.0,5.8084761013265025,0.8527886904761902,0.00028501662602586366,0.0,0.0,0.0
44031,22,2,2,2,2,2,0,none,0.4522794460191581,1.6304669144694794,0,0,0,0.06684140308736354,18.0,5.8084761013265025,0.5764791666666665,0.0,0.0,0.0,0.0
44031,23,3,1,1,1,1,1,beneficial,0.3475236413485901,2.1819184201392448,0,0,1,0.24243097630734883,38.0,5.8084761013265025,0.7760624999999999,0.00046680512726985095,0.0,0.0,0.0
44031,24,1,1,1,1,1,0,none,0.4190962909224715,2.258308461610981,0,0,1,0.06432111920289982,19.0,6.065649926874513,0.8383898809523808,0.0021873803164524537,0.0,0.0,0.0
44031,25,3,3,3,3,3,0,none,0.9182053757764637,1.8920204746153655,0,0,0,0.5528777648519895,3.0,5.324709668908,0.9274047619047622,0.0,0.0,0.0,0.0
44031,26,3,3,3,3,3,0,none,0.7640463528404666,1.5766980237520931,0,0,0,0.3453374779259618,13.0,5.324709668908,0.9676934523809524,0.0,0.0,0.0,0.0
44031,27,3,3,3,3,1,0,none,0.26666899745495226,2.2080342823561048,0,0,1,0.016739713745882706,33.0,5.324709668908,0.7719374999999998,0.0,0.0,0.0,0.0
44031,28,2,2,2,2,2,0,none,0.046747337698923475,2.314583462849207,0,0,1,0.09640566040917425,11.0,17.264514668744685,0.6136309523809522,0.0,0.0,0.0,0.0
44031,29,2,2,2,2,2,0,none,0.6821330544118172,2.4628495600880704,0,0,1,1.3372876601253636,21.0,17.264514668744685,0.7958645833333331,0.0,0.0,0.0,0.0
44031,30,3,3,3,3,3,0,none,0.36161957063916095,3.4654646081162994,0,0,1,1.1041596676704568,31.0,17.264514668744685,0.5597023809523808,0.0,0.0,0.0,0.0
44031,31,3,3,3,3,3,0,none,0.006229774286796297,2.636996964466232,0,0,1,0.10722431842761071,51.0,17.264514668744685,0.3558363095238095,0.0,0.0,0.0,0.0
44031,32,3,3,3,3,3,0,none,0.5723911414539045,1.289859184705087,0,0,0,0.2966733897956209,13.0,7.811138833663312,0.9930208333333332,0.0,0.0,0.0,0.0
44031,33,2,2,2,2,2,0,none,0.7244493716139995,1.9410667252113254,0,0,0,0.6423916688551128,23.0,7.811138833663312,0.6826458333333332,2.12139572808534e-05,0.0,0.0,0.0
44031,34,3,2,2,2,2,1,beneficial,0.2378707274513602,1.9443092494793128,0,0,0,0.17878894182186475,33.0,7.811138833663312,0.6967574404761904,8.48558291234136e-06,0.0,0.0,0.0
44031,35,2,2,2,2,2,0,none,0.7252049143200955,2.9143167632305773,0,0,1,1.0965665858960296,53.0,7.811138833663312,0.870955357142857,0.0022232300673664784,0.0,0.0,0.0
44031,36,3,3,3,3,3,0,none,0.8866464555260761,2.7422329786274853,0,0,1,0.5853616484784068,14.0,4.969481799948674,0.43008482142857124,0.0,0.0,0.0,0.0
44031,37,3,3,3,3,2,0,none,0.7015885973011654,1.8713679501355167,0,0,0,0.3896915260294998,24.0,4.969481799948674,0.8595535714285718,0.0,0.0,0.0,0.0
44031,38,3,1,1,1,3,1,harmful,0.33704984656590964,2.336120885215471,0,0,1,0.09904994058449842,34.0,4.969481799948674,0.7020833333333334,0.00040562175631505756,0.07323310204510926,0.07323310204510926,0.07323310204510926
44031,39,3,2,2,2,2,1,beneficial,0.13835945800890273,2.0486207635281213,0,0,1,0.06869742111987757,54.0,4.969481799948674,0.8715178571428571,0.00265974397453125,0.0,0.0,0.0
44031,40,3,3,3,3,3,0,none,0.9340903361093064,1.822036160500933,0,0,0,0.6473552865114514,9.0,4.560355657254428,0.9257142857142859,0.0,0.0,0.0,0.0
44031,41,1,1,1,1,1,0,none,0.4713685266765283,2.245101581178615,0,0,1,0.0006321828969838392,19.0,4.560355657254428,0.7704880952380954,0.010499305608131622,0.0,0.0,0.0
44031,42,2,1,1,1,1,1,beneficial,0.4656720470246802,2.3602523731848875,0,0,1,0.2960889628364405,39.0,4.560355657254428,0.6115669642857146,0.008553718373686996,0.0,0.0,0.0
44031,43,3,3,3,3,3,0,none,0.8624451291989956,1.7527076195065896,0,0,0,0.48339738853582687,8.0,5.602146552174002,0.9513214285714285,0.0,0.0,0.0,0.0
44031,44,3,3,3,3,3,0,none,0.7605918128028966,1.8604717185115611,0,0,0,0.4383510551207277,18.0,5.602146552174002,0.8585297619047619,0.0,0.0,0.0,0.0
44031,45,3,1,1,1,1,1,beneficial,0.4049982166544793,2.374369729649309,0,0,1,0.29606457385768226,38.0,5.602146552174002,0.6142529761904764,0.014215190437595797,0.0,0.0,0.0
