policy,accuracy,mean_loss,mean_regret,median_regret,max_regret,zero_regret_fraction,regret_gt_0_005_fraction,under_count,over_count,exact_count,action_entropy,dominant_action_fraction,deviation_from_direct,safe_action_recall,safe_action_precision,responsive_action_retention,expansion_contexts,beneficial_expansions,harmful_expansions,neutral_expansions,generation_seed,veto_count,harmful_vetoed,beneficial_vetoed,harmful_veto_recall,beneficial_preservation
support_baseline,0.3488372093023256,0.11827344214275455,0.0059328580667928725,0.0,0.10225419189216753,0.8255813953488372,0.13953488372093023,13,43,30,0.9984153967727544,0.36046511627906974,0.18604651162790697,0.8934108527131783,0.9476744186046512,0.8488372093023255,14,12,2,0,44031,0,0,0,0.0,1.0
state_guard_0.50,0.32558139534883723,0.11827344214275455,0.0059328580667928725,0.0,0.10225419189216753,0.8255813953488372,0.13953488372093023,13,45,28,0.9979980850864208,0.3488372093023256,0.20930232558139536,0.8817829457364341,0.9476744186046512,0.8255813953488372,12,10,2,0,44031,2,0,2,0.0,0.8333333333333334
hierarchical_guard,0.32558139534883723,0.11827344214275455,0.0059328580667928725,0.0,0.10225419189216753,0.8255813953488372,0.13953488372093023,13,45,28,0.9979980850864208,0.3488372093023256,0.20930232558139536,0.8817829457364341,0.9476744186046512,0.8255813953488372,12,10,2,0,44031,2,0,2,0.0,0.8333333333333334
support_baseline,0.2413793103448276,0.11795174038938766,0.004520390908636723,0.0,0.060012902701436,0.8390804597701149,0.13793103448275862,10,56,21,0.8855106979574587,0.5747126436781609,0.21839080459770116,0.9291187739463601,0.9482758620689655,0.8850574712643678,13,10,2,1,44032,0,0,0,0.0,1.0
state_guard_0.50,0.2413793103448276,0.11795174038938766,0.004520390908636723,0.0,0.060012902701436,0.8390804597701149,0.13793103448275862,10,56,21,0.9368023480352208,0.4827586206896552,0.2988505747126437,0.8850574712643678,0.9482758620689655,0.8045977011494253,5,3,2,0,44032,8,0,7,0.0,0.3
hierarchical_guard,0.2413793103448276,0.11795174038938766,0.004520390908636723,0.0,0.060012902701436,0.8390804597701149,0.13793103448275862,10,56,21,0.909636141437492,0.5402298850574713,0.2413793103448276,0.9137931034482759,0.9482758620689655,0.8620689655172413,10,8,2,0,44032,3,0,2,0.0,0.8
support_baseline,0.25842696629213485,0.12129866038678716,0.008316991265202552,0.0,0.1003918575723334,0.7865168539325843,0.16853932584269662,16,50,23,0.897317822243739,0.5393258426966292,0.10112359550561797,0.9550561797752809,0.9176029962546817,0.9325842696629213,22,17,4,1,44033,0,0,0,0.0,1.0
state_guard_0.50,0.2247191011235955,0.12037303852700657,0.007391369405421968,0.0,0.1003918575723334,0.8089887640449438,0.14606741573033707,14,55,20,0.9423275802738215,0.5056179775280899,0.20224719101123595,0.9063670411985019,0.9363295880149812,0.8426966292134831,11,9,2,0,44033,11,2,8,0.5,0.5294117647058824
hierarchical_guard,0.23595505617977527,0.12081286948327534,0.007831200361690731,0.0,0.1003918575723334,0.797752808988764,0.15730337078651685,15,53,21,0.9126229243488152,0.5393258426966292,0.14606741573033707,0.9382022471910112,0.9250936329588015,0.898876404494382,18,14,3,1,44033,4,1,3,0.25,0.8235294117647058
support_baseline,0.4945054945054945,0.12383148739652856,0.012526077119070384,0.0,0.1006569940986212,0.7252747252747253,0.23076923076923078,21,25,45,0.7600198436342855,0.6263736263736264,0.03296703296703297,0.9578754578754579,0.9175824175824175,0.967032967032967,11,8,3,0,44034,0,0,0,0.0,1.0
state_guard_0.50,0.4725274725274725,0.12349275962344228,0.01218734934598409,0.0,0.1006569940986212,0.7362637362637363,0.21978021978021978,20,28,43,0.8481459190246541,0.5934065934065934,0.12087912087912088,0.9194139194139194,0.9267399267399268,0.8901098901098901,3,1,2,0,44034,8,1,7,0.3333333333333333,0.125
hierarchical_guard,0.4835164835164835,0.12383148739652856,0.012526077119070384,0.0,0.1006569940986212,0.7252747252747253,0.23076923076923078,21,26,44,0.7668653907695725,0.6153846153846154,0.04395604395604396,0.9523809523809523,0.9175824175824175,0.9560439560439561,10,7,3,0,44034,1,0,1,0.0,0.875
support_baseline,0.5274725274725275,0.12363282790277222,0.011163015278808211,0.0,0.10183903656891963,0.7582417582417582,0.2087912087912088,19,24,48,0.774456804665277,0.6263736263736264,0.12087912087912088,0.945054945054945,0.945054945054945,0.9340659340659341,4,2,0,2,44035,0,0,0,0.0,1.0
state_guard_0.50,0.5164835164835165,0.12363282790277222,0.011163015278808211,0.0,0.10183903656891963,0.7582417582417582,0.2087912087912088,19,25,47,0.7946627780983965,0.6153846153846154,0.14285714285714285,0.9340659340659341,0.945054945054945,0.9120879120879121,2,0,0,2,44035,2,0,2,0.0,0.0
hierarchical_guard,0.5274725274725275,0.12363282790277222,0.011163015278808211,0.0,0.10183903656891963,0.7582417582417582,0.2087912087912088,19,24,48,0.7870893657560953,0.6263736263736264,0.13186813186813187,0.9395604395604396,0.945054945054945,0.9230769230769231,3,1,0,2,44035,1,0,1,0.0,0.5
support_baseline,0.5760869565217391,0.13116884565203402,0.015921210817219988,0.0,0.10257440757361003,0.6956521739130435,0.2826086956521739,28,11,53,0.44024393918940175,0.8586956521739131,0.09782608695652174,0.9782608695652174,0.967391304347826,0.9565217391304348,1,0,1,0,44036,0,0,0,0.0,1.0
state_guard_0.50,0.5760869565217391,0.13099636955309266,0.015748734718278617,0.0,0.10257440757361003,0.6956521739130435,0.2826086956521739,28,11,53,0.4710510974636532,0.8478260869565217,0.10869565217391304,0.9782608695652174,0.9728260869565217,0.9565217391304348,0,0,0,0,44036,1,1,0,1.0,1.0
hierarchical_guard,0.5760869565217391,0.13099636955309266,0.015748734718278617,0.0,0.10257440757361003,0.6956521739130435,0.2826086956521739,28,11,53,0.4710510974636532,0.8478260869565217,0.10869565217391304,0.9782608695652174,0.9728260869565217,0.9565217391304348,0,0,0,0,44036,1,1,0,1.0,1.0
