record_type,model,features,mean_auc,min_auc,max_auc,mean_balanced_accuracy,min_balanced_accuracy,mean_harmful_recall,min_harmful_recall,mean_specificity,held_out_block,training_rows,training_harmful,test_rows,test_harmful,balanced_accuracy,harmful_recall,harmful_precision,beneficial_specificity,roc_auc,tp,fp,fn,tn,block,signal,beneficial_mean,harmful_mean,difference_harmful_minus_beneficial,rank_auc_harmful_high
model_summary,severe_proxy_only,severe_underestimation_probability,0.8209721349256232,0.7635658914728681,0.8783783783783783,0.7348627697464907,0.6589147286821706,0.8333333333333333,0.6666666666666666,0.6363922061596481,,,,,,,,,,,,,,,,,,,,
model_summary,error_std_plus_signed_error_proxy,local_error_std|predicted_underestimation_magnitude,0.8183008589985334,0.7567567567567568,0.8798449612403101,0.7511785040854808,0.6418918918918919,0.75,0.5,0.7523570081709616,,,,,,,,,,,,,,,,,,,,
model_summary,error_std_only,local_error_std,0.8057825267127593,0.7162162162162162,0.8953488372093024,0.7395505971087366,0.6418918918918919,0.75,0.5,0.7291011942174732,,,,,,,,,,,,,,,,,,,,
model_summary,error_std_plus_severe_proxy,local_error_std|severe_underestimation_probability,0.7708988057825268,0.7162162162162162,0.8255813953488372,0.7036978839304421,0.6418918918918919,0.6666666666666667,0.5,0.7407291011942174,,,,,,,,,,,,,,,,,,,,
model_summary,two_frozen_proxies,severe_underestimation_probability|predicted_underestimation_magnitude,0.7707940498638173,0.7702702702702703,0.7713178294573643,0.630133040016761,0.6013513513513513,0.5833333333333333,0.5,0.6769327467001887,,,,,,,,,,,,,,,,,,,,
model_summary,error_std_plus_two_proxies,local_error_std|severe_underestimation_probability|predicted_underestimation_magnitude,0.7669704588309239,0.7432432432432432,0.7906976744186046,0.6620312172637755,0.6418918918918919,0.5833333333333333,0.5,0.7407291011942174,,,,,,,,,,,,,,,,,,,,
model_summary,signed_error_proxy_only,predicted_underestimation_magnitude,0.6625811858369998,0.6081081081081081,0.7170542635658914,0.677639849151477,0.5878378378378378,0.75,0.5,0.605279698302954,,,,,,,,,,,,,,,,,,,,
held_out_fold,error_std_only,local_error_std,,,,,,,,,block_071_090,49,6,39,2,0.6418918918918919,0.5,0.1111111111111111,0.7837837837837838,0.7162162162162162,1,8,1,29,,,,,,
held_out_fold,error_std_only,local_error_std,,,,,,,,,block_091_110,39,2,49,6,0.8372093023255813,1.0,0.3,0.6744186046511628,0.8953488372093024,6,14,0,29,,,,,,
held_out_fold,severe_proxy_only,severe_underestimation_probability,,,,,,,,,block_071_090,49,6,39,2,0.8108108108108107,1.0,0.125,0.6216216216216216,0.8783783783783783,2,14,0,23,,,,,,
held_out_fold,severe_proxy_only,severe_underestimation_probability,,,,,,,,,block_091_110,39,2,49,6,0.6589147286821706,0.6666666666666666,0.21052631578947367,0.6511627906976745,0.7635658914728681,4,15,2,28,,,,,,
held_out_fold,signed_error_proxy_only,predicted_underestimation_magnitude,,,,,,,,,block_071_090,49,6,39,2,0.5878378378378378,0.5,0.07692307692307693,0.6756756756756757,0.6081081081081081,1,12,1,25,,,,,,
held_out_fold,signed_error_proxy_only,predicted_underestimation_magnitude,,,,,,,,,block_091_110,39,2,49,6,0.7674418604651163,1.0,0.23076923076923078,0.5348837209302325,0.7170542635658914,6,20,0,23,,,,,,
