model,feature,mean_coefficient,mean_absolute_coefficient,sign_stability
error_std_only,local_error_std,1.200566232592736,1.200566232592736,1
error_std_plus_severe_proxy,local_error_std,1.0587319826572945,1.0587319826572945,1
error_std_plus_severe_proxy,severe_underestimation_probability,0.7377647260502659,0.7377647260502659,1
error_std_plus_signed_error_proxy,local_error_std,1.294045598854877,1.294045598854877,1
error_std_plus_signed_error_proxy,predicted_underestimation_magnitude,0.49198281034630154,0.49198281034630154,1
error_std_plus_two_proxies,local_error_std,0.9740438140756956,0.9740438140756956,1
error_std_plus_two_proxies,predicted_underestimation_magnitude,0.14418044626329074,0.3714797851894933,0.5
error_std_plus_two_proxies,severe_underestimation_probability,0.646262672071935,0.9991971305242061,0.5
severe_proxy_only,severe_underestimation_probability,1.3158652410641514,1.3158652410641514,1
signed_error_proxy_only,predicted_underestimation_magnitude,0.7096006757117059,0.7096006757117059,1
two_frozen_proxies,predicted_underestimation_magnitude,-0.01346333797696056,0.4386672457349645,0.5
two_frozen_proxies,severe_underestimation_probability,1.3037571131073016,1.3037571131073016,1
