model,held_out_block,generation_seed,test_index,support_baseline_action,true_class,harmful_target,predicted_probability,predicted_class,local_error_std,severe_underestimation_probability,predicted_signed_calibration_error,predicted_underestimation_magnitude
error_std_only,block_071_090,44077,46,1,beneficial,0,0.17677997457667077,0,0.04678508836786137,0.6876152032015671,0.0030338234994549546,-0.0030338234994549546
error_std_only,block_071_090,44077,57,1,beneficial,0,0.2006822703043626,0,0.04887203564017078,0.7174834483795925,-0.006069720149742885,0.006069720149742885
error_std_only,block_071_090,44078,0,1,beneficial,0,0.11033935275059976,0,0.03945440261435279,0.31736073856046654,0.09631297320920075,-0.09631297320920075
error_std_only,block_071_090,44078,7,1,beneficial,0,0.29099709850883665,0,0.05543524898090178,0.604516414318168,0.0705304536726083,-0.0705304536726083
error_std_only,block_071_090,44078,11,2,beneficial,0,0.23584324867047474,0,0.05162864606896163,0.19484614252054253,0.12154478408242417,-0.12154478408242417
error_std_only,block_071_090,44078,20,1,beneficial,0,0.09070339706895078,0,0.0365460001615142,0.1955304635272953,0.11825465696629497,-0.11825465696629497
error_std_only,block_071_090,44078,31,1,beneficial,0,0.0683012349078837,0,0.03243298342916551,0.26489651737271336,0.08349767371639123,-0.08349767371639123
error_std_only,block_071_090,44078,32,2,beneficial,0,0.517924153918185,1,0.06828518800437472,0.5024373596212344,0.11095209992706594,-0.11095209992706594
error_std_only,block_071_090,44078,46,1,beneficial,0,0.33457140507062827,0,0.05814559213552686,0.3645755569335822,0.09393806002245537,-0.09393806002245537
error_std_only,block_071_090,44078,47,1,beneficial,0,0.4619137479555353,0,0.06528903869236934,0.26486791193476583,0.13212873062693783,-0.13212873062693783
error_std_only,block_071_090,44078,49,2,beneficial,0,0.22269810057757003,0,0.05063504581189158,0.20981977603091523,0.10978114554572242,-0.10978114554572242
error_std_only,block_071_090,44078,53,1,beneficial,0,0.09726163138375304,0,0.037574882439739124,0.3151254586389138,0.07669752218980702,-0.07669752218980702
error_std_only,block_071_090,44078,61,1,beneficial,0,0.17120318392201583,0,0.04626687918878823,0.2666367196797023,0.10335085680841041,-0.10335085680841041
error_std_only,block_071_090,44078,62,1,harmful,1,0.7590295453268244,1,0.08264897679823614,0.6042552063282551,0.08521756771999521,-0.08521756771999521
error_std_only,block_071_090,44080,14,2,beneficial,0,0.015182899018153565,0,0.011611793591302636,0.2897423462835416,0.07339633128153494,-0.07339633128153494
error_std_only,block_071_090,44080,43,2,beneficial,0,0.39403882539873597,0,0.06158036466575292,0.48782480077511337,0.05610099547630171,-0.05610099547630171
error_std_only,block_071_090,44080,62,2,beneficial,0,0.014903388742025705,0,0.011359877022961882,0.2670487378561876,0.0664613972017295,-0.0664613972017295
error_std_only,block_071_090,44080,65,2,beneficial,0,0.029368485587879422,0,0.02061569674096261,0.30444475159916323,0.06112197686174991,-0.06112197686174991
error_std_only,block_071_090,44081,2,1,beneficial,0,0.036540382252091046,0,0.02363246586085142,0.38792788362882274,0.033899367061574134,-0.033899367061574134
error_std_only,block_071_090,44081,12,1,beneficial,0,0.45668755002695544,0,0.0650080172264677,0.5937535560079491,0.020771825736315322,-0.020771825736315322
error_std_only,block_071_090,44081,29,1,beneficial,0,0.05734670040802422,0,0.029942492843118194,0.3996691637114845,0.038841749854101076,-0.038841749854101076
error_std_only,block_071_090,44081,40,2,beneficial,0,0.452545904618777,0,0.06478495258337678,0.57703471460855,0.03998606495776774,-0.03998606495776774
error_std_only,block_071_090,44081,44,1,beneficial,0,0.14512477924328798,0,0.043646375637628715,0.44924825111301603,0.03222517136717554,-0.03222517136717554
error_std_only,block_071_090,44081,59,1,beneficial,0,0.15613303497529807,0,0.044795799918410005,0.5058621646195217,0.027930843115610268,-0.027930843115610268
error_std_only,block_071_090,44082,26,1,harmful,1,0.27222116685838227,0,0.054195542075899834,0.6881861957353187,-0.00017900009161823938,0.00017900009161823938
error_std_only,block_071_090,44084,14,2,beneficial,0,0.4146602037900318,0,0.06272388884946746,0.5608831589176486,0.0588893041978841,-0.0588893041978841
error_std_only,block_071_090,44084,15,1,beneficial,0,0.20591035067729482,0,0.04930309569472391,0.39797498746446197,0.05918305551998233,-0.05918305551998233
error_std_only,block_071_090,44084,18,1,beneficial,0,0.3991095136725989,0,0.06186332505124608,0.5520007532024601,0.04829829090228356,-0.04829829090228356
error_std_only,block_071_090,44084,24,2,beneficial,0,0.7868717097276655,1,0.0847696094554994,0.3081085152709472,0.11375936892638998,-0.11375936892638998
error_std_only,block_071_090,44084,26,2,beneficial,0,0.1460457379624906,0,0.04374524408970177,0.6461372510821879,0.03546257334881145,-0.03546257334881145
