record_type,model,features,feature_count,events,harmful_events,beneficial_events,balanced_accuracy,harmful_recall,harmful_precision,beneficial_specificity,roc_auc,mean_fold_balanced_accuracy,mean_fold_roc_auc,metric,beneficial_count,harmful_count,beneficial_mean,harmful_mean,difference_harmful_minus_beneficial,standardized_difference
model_summary,context_loss_excess,context_support_distance|predicted_action_loss|epistemic_excess,3,65,15,50,0.6666666666666666,0.7333333333333333,0.3548387096774194,0.6,0.6653333333333333,0.708562271062271,0.7113171550671551,,,,,,,
model_summary,predicted_loss_only,predicted_action_loss,1,65,15,50,0.6633333333333333,0.6666666666666666,0.37037037037037035,0.66,0.708,0.7026862026862026,0.8113247863247863,,,,,,,
model_summary,loss_plus_excess,predicted_action_loss|epistemic_excess,2,65,15,50,0.6333333333333333,0.6666666666666666,0.3333333333333333,0.6,0.6773333333333333,0.6762820512820512,0.7108974358974359,,,,,,,
model_summary,epistemic_excess_only,epistemic_excess,1,65,15,50,0.53,0.6,0.25,0.46,0.464,0.5558455433455434,0.5051205738705739,,,,,,,
model_summary,context_plus_excess,context_support_distance|epistemic_excess,2,65,15,50,0.48333333333333334,0.4666666666666667,0.21875,0.5,0.4106666666666667,0.4925518925518925,0.43540140415140416,,,,,,,
model_summary,context_plus_action,context_support_distance|action_support_distance,2,65,15,50,0.48333333333333334,0.4666666666666667,0.21875,0.5,0.4066666666666667,0.4925518925518925,0.44432997557997556,,,,,,,
model_summary,context_support_only,context_support_distance,1,65,15,50,0.44,0.4,0.1875,0.48,0.36,0.4753052503052503,0.39271214896214895,,,,,,,
model_summary,action_support_only,action_support_distance,1,65,15,50,0.42666666666666664,0.3333333333333333,0.1724137931034483,0.52,0.3426666666666667,0.46735347985347986,0.5280982905982906,,,,,,,
diagnostic,,,,,,,,,,,,,,context_support_distance,50,15,1.460864906691973,1.4774238696925173,0.01655896300054427,0.05749515441041806
diagnostic,,,,,,,,,,,,,,action_support_distance,50,15,1.9321284542672041,1.919207481176695,-0.012920973090509102,-0.04314143484626011
diagnostic,,,,,,,,,,,,,,epistemic_excess,50,15,0.4712635475752312,0.4417836114841779,-0.029479936091053316,-0.1203544727790277
diagnostic,,,,,,,,,,,,,,predicted_action_loss,50,15,0.11591506880789097,0.14463963756270967,0.0287245687548187,0.6833465818509746
diagnostic,,,,,,,,,,,,,,predicted_relative_loss,50,15,9.877937396716163e-06,0.0,-9.877937396716163e-06,-0.16035674514745463
