model,feature,folds,mean_coefficient,mean_absolute_coefficient,positive_fraction,negative_fraction,dominant_sign_fraction
context_support_only,context_support_distance,9,0.05926517385024433,0.07937352055573679,0.7777777777777778,0.2222222222222222,0.7777777777777778
action_support_only,action_support_distance,9,-0.041270688892994976,0.06594044064785819,0.2222222222222222,0.7777777777777778,0.7777777777777778
epistemic_excess_only,epistemic_excess,9,-0.1260834468913062,0.1260834468913062,0.0,1.0,1.0
predicted_loss_only,predicted_action_loss,9,0.8094550181331394,0.8094550181331394,1.0,0.0,1.0
context_plus_action,context_support_distance,9,0.14393288367696333,0.14393288367696333,1.0,0.0,1.0
context_plus_action,action_support_distance,9,-0.12641363854025783,0.1276475888601154,0.1111111111111111,0.8888888888888888,0.8888888888888888
context_plus_excess,context_support_distance,9,0.027220699211044194,0.07168929002789211,0.6666666666666666,0.3333333333333333,0.6666666666666666
context_plus_excess,epistemic_excess,9,-0.1173153141215358,0.11804231078218719,0.1111111111111111,0.8888888888888888,0.8888888888888888
loss_plus_excess,predicted_action_loss,9,0.9035892112031042,0.9035892112031042,1.0,0.0,1.0
loss_plus_excess,epistemic_excess,9,-0.3398785790495672,0.3398785790495672,0.0,1.0,1.0
context_loss_excess,context_support_distance,9,0.28541101052157497,0.28541101052157497,1.0,0.0,1.0
context_loss_excess,predicted_action_loss,9,1.0032282649867423,1.0032282649867423,1.0,0.0,1.0
context_loss_excess,epistemic_excess,9,-0.29254104098943734,0.29254104098943734,0.0,1.0,1.0
