record_type,model,features,feature_count,rows,severe_rows,nonsevere_rows,balanced_accuracy,severe_recall,severe_precision,nonsevere_specificity,roc_auc,mean_fold_balanced_accuracy,mean_fold_roc_auc,metric,nonsevere_mean,severe_mean,difference_severe_minus_nonsevere,standardized_difference
model_summary,loss_plus_local_calibration,predicted_action_loss|local_mean_error|local_error_std|local_underestimate_fraction|local_severe_underestimate_fraction,5,17997,1640,16357,0.6936662083958982,0.776829268292683,0.16664486592544148,0.6105031484991136,0.7596544777577139,0.6036355827641957,0.7369194537358796,,,,,
model_summary,local_mean_error_only,local_mean_error,1,17997,1640,16357,0.689317544364537,0.7829268292682927,0.1625933898948968,0.5957082594607813,0.7536982749236919,0.5880759126887103,0.7275398436186533,,,,,
model_summary,local_calibration_compact,local_mean_error|local_error_std|local_underestimate_fraction|local_severe_underestimate_fraction,4,17997,1640,16357,0.684516661025264,0.7609756097560976,0.16294555424990206,0.6080577122944305,0.7561622010118737,0.592399429436914,0.7300417385764897,,,,,
model_summary,local_underestimate_fraction_only,local_underestimate_fraction,1,17997,1640,16357,0.659308314333984,0.5439024390243903,0.19488748088267424,0.7747141896435776,0.7150930570487463,0.595125322371358,0.7033008415313778,,,,,
model_summary,local_severe_fraction_only,local_severe_underestimate_fraction,1,17997,1640,16357,0.6225305008521749,0.43109756097560975,0.18853333333333333,0.8139634407287399,0.6314340321216992,0.579092242047604,0.6527637944873445,,,,,
model_summary,predicted_loss_only,predicted_action_loss,1,17997,1640,16357,0.5961660145503455,0.675,0.12297267273939125,0.5173320291006909,0.6335452711377392,0.5149393212272262,0.5708271668838047,,,,,
model_summary,local_error_std_only,local_error_std,1,17997,1640,16357,0.46996378070401723,0.5024390243902439,0.08219451371571072,0.43748853701779056,0.4341178797173434,0.453746116835535,0.4220894384986918,,,,,
diagnostic,,,,,,,,,,,,,,predicted_action_loss,0.2594043510974406,0.1894477727565122,-0.06995657834092839,-0.5125638963725287
diagnostic,,,,,,,,,,,,,,local_mean_error,0.11767556799737584,0.01345928683209662,-0.10421628116527923,-0.7865773100287293
diagnostic,,,,,,,,,,,,,,local_median_error,0.12346785490433394,0.01478386745192151,-0.10868398745241244,-0.8015721535951206
diagnostic,,,,,,,,,,,,,,local_error_std,0.07092864959335299,0.07057398993555358,-0.00035465965779940545,-0.009976625515394515
diagnostic,,,,,,,,,,,,,,local_underestimate_fraction,0.19867422422903255,0.4215156794425087,0.22284145521347612,0.942243638019491
diagnostic,,,,,,,,,,,,,,local_severe_underestimate_fraction,0.10624546939274579,0.23344947735191637,0.12720400795917058,0.7352817580584249
diagnostic,,,,,,,,,,,,,,local_neighbor_distance,3.5591055611812012,2.933852966589857,-0.6252525945913443,-0.17617433455014703
diagnostic,,,,,,,,,,,,,,local_min_error,0.0016840393012828249,-0.09741578312617989,-0.09909982242746272,-0.6675324774618178
