policy,accuracy,mean_loss,mean_regret,median_regret,max_regret,zero_regret_fraction,regret_gt_0_005_fraction,under_count,over_count,exact_count,action_entropy,dominant_action_fraction,deviation_from_direct,epsilon,mean_selected_lambda,minimum_set_recovery,responsive_oracle_accuracy,mean_true_class_size,mean_predicted_class_size,mean_responsive_oracle_lambda
direct_loss,0.36,0.1564245632278099,0.014316894906611047,0.0,0.10302316959890084,0.7066666666666667,0.29333333333333333,22,26,27,0.8710491700166212,0.5333333333333333,0.0,,,,,,,
fixed_lambda_0.10,0.29333333333333333,0.1553567144657234,0.013249046144524558,0.0,0.10302316959890084,0.7466666666666667,0.25333333333333335,19,34,22,0.9717196241216741,0.4533333333333333,0.18666666666666668,,,,,,,
fixed_lambda_0.25,0.22666666666666666,0.15203043393591575,0.009922765614716908,0.0,0.10302316959890084,0.8133333333333334,0.18666666666666668,14,44,17,0.9083038467385365,0.52,0.44,,,,,,,
fixed_lambda_1.00,0.10666666666666667,0.14356777361468506,0.0014601052934862294,0.0,0.057717810433482175,0.9333333333333333,0.06666666666666667,3,64,8,0.18952588293294262,0.9466666666666667,0.8266666666666667,,,,,,,
lexicographic_epsilon_0.0000,0.18666666666666668,0.14525536599514763,0.0031476976739487957,0.0,0.09518820021482474,0.9066666666666666,0.09333333333333334,5,56,14,0.6948937882358661,0.7333333333333333,0.6133333333333333,0.0,0.6573333333333333,0.96,0.24,3.3733333333333335,1.5733333333333333,0.16733333333333333
lexicographic_epsilon_0.0001,0.18666666666666668,0.14525536599514763,0.0031476976739487957,0.0,0.09518820021482474,0.9066666666666666,0.09333333333333334,5,56,14,0.731429093175945,0.7066666666666667,0.5866666666666667,0.0001,0.6153333333333333,0.96,0.29333333333333333,3.3733333333333335,1.6933333333333334,0.16733333333333333
lexicographic_epsilon_0.0005,0.2,0.14525536599514763,0.0031476976739487957,0.0,0.09518820021482474,0.9066666666666666,0.09333333333333334,5,55,15,0.7835807040488098,0.6666666666666666,0.56,0.0005,0.5573333333333333,0.96,0.37333333333333335,3.3733333333333335,1.9866666666666666,0.16733333333333333
lexicographic_epsilon_0.0010,0.18666666666666668,0.14570177775408394,0.0035941094328850883,0.0,0.09518820021482474,0.8933333333333333,0.10666666666666667,6,55,14,0.822882095435485,0.6266666666666667,0.52,0.001,0.5266666666666666,0.9466666666666667,0.4266666666666667,3.3733333333333335,2.1333333333333333,0.16733333333333333
lexicographic_epsilon_0.0025,0.30666666666666664,0.14704831276505465,0.0049406444438557994,0.0,0.09518820021482474,0.8666666666666667,0.13333333333333333,8,44,23,0.9581292262352823,0.48,0.36,0.0025,0.37466666666666665,0.92,0.5066666666666667,3.3733333333333335,2.5733333333333333,0.16733333333333333
lexicographic_epsilon_0.0050,0.30666666666666664,0.14911566624528613,0.007007997924087279,0.0,0.09518820021482474,0.8266666666666667,0.17333333333333334,11,41,23,0.9910246100754426,0.4,0.28,0.005,0.30666666666666664,0.88,0.5733333333333334,3.3733333333333335,2.8,0.16733333333333333
lexicographic_epsilon_0.0100,0.32,0.1508142764433823,0.00870660812218345,0.0,0.09518820021482474,0.7866666666666666,0.21333333333333335,14,37,24,0.9995144095399636,0.3466666666666667,0.2,0.01,0.248,0.84,0.5733333333333334,3.3733333333333335,3.0,0.16733333333333333
oracle_equivalence,0.49333333333333335,0.14347946897298913,0.0013718006517902954,0.0,0.057717810433482175,0.9466666666666667,0.05333333333333334,3,35,37,0.9980560796958196,0.36,0.25333333333333335,0.0,0.16733333333333333,1.0,1.0,3.3733333333333335,,0.16733333333333333
fixed_k3,0.13333333333333333,0.14240755344289624,0.0002998851216973993,0.0,0.008996625274786896,0.96,0.04,0,65,10,0.0,1.0,0.88,,,,,,,
action_oracle,1.0,0.14210766832119884,0.0,0.0,0.0,1.0,0.0,0,0,75,0.8830374409547586,0.5333333333333333,0.64,,,,,,,
