test_index,best_persistence,predicted_under_risk,predicted_safe_set,true_minimum_set,baseline_lambda,responsive_model_lambda,responsive_oracle_lambda,responsive_model_action,responsive_model_regret,responsive_model_in_true_set,responsive_oracle_match,responsive_score_0.00,responsive_score_0.10,responsive_score_0.25,responsive_score_1.00
0,1,0.02280515121673653,0.00|0.10|0.25|1.00,0.00|0.10|0.25|1.00,0.0,0.0,0.0,2,0.0,1,1,0.9813333333333333,0.049903274836334714,0.0,0.03553793032364462
1,1,0.011179931936987006,0.25|1.00,0.00|0.10|0.25|1.00,0.25,0.25,0.0,2,0.0,1,0,0.9653350340136057,0.0788851946583867,0.1748623029911286,0.010499999999999999
2,1,0.011272623240007376,0.00|0.10|0.25|1.00,0.00|0.10|0.25|1.00,0.0,0.0,0.0,2,0.0,1,1,0.9935714285714285,0.005457357780017879,0.0,0.01570918367346939
3,1,0.024593994812742055,0.25|1.00,0.00|0.10|0.25|1.00,0.25,0.25,0.0,3,0.0,1,0,0.955191713048856,0.030057513978793464,0.37602575517718506,0.03279195011337868
4,1,0.02638256442498864,1.00,0.00|0.10|0.25|1.00,1.0,1.0,0.0,1,0.0,1,0,0.30009142444856723,0.4641355785013434,0.35481910971841363,0.7664841269841276
5,2,0.027565087328314322,1.00,1.00,1.0,1.0,1.0,3,0.0,1,1,0.273336889301175,0.12913151477508686,0.04088980735936667,0.7500271276342708
6,2,0.03441937398111071,1.00,0.10|0.25|1.00,1.0,1.0,0.1,3,0.0,1,0,0.6844445475159758,0.038407164696709455,0.14648476454025272,0.07752246959389814
7,2,0.03425887702294003,0.25|1.00,0.10|0.25|1.00,0.25,0.25,0.1,3,0.0,1,0,0.614406771799629,0.2736902849198087,0.4029343663552843,0.07389450628736342
8,1,0.0460522615338116,1.00,0.00|0.10|0.25|1.00,1.0,1.0,0.0,3,0.0,1,0,0.4685691609977322,0.13442119621172874,0.04842557673378811,0.3766385796742939
9,1,0.042567450027431425,0.10|0.25|1.00,0.00|0.10|0.25|1.00,0.1,0.1,0.0,3,0.0,1,0,0.8848027210884353,0.4663593771744024,0.033432137657385834,0.030095238095238095
10,1,0.030993522774128465,0.00|0.10|0.25|1.00,0.00|0.10|0.25|1.00,0.0,0.0,0.0,3,0.0,1,1,0.9906632653061226,0.03797642682806094,0.028073583052748284,0.009202380952380951
11,1,0.037248184346602375,0.25|1.00,0.00|0.10|0.25|1.00,0.25,0.25,0.0,3,0.0,1,0,0.802837920016491,0.03009192536787682,0.3827955691126521,0.044312358276643996
12,1,0.03664991528924929,0.10|0.25|1.00,0.00|0.10|0.25|1.00,0.1,0.1,0.0,2,0.0,1,0,0.6809830962688102,0.11300333676639339,0.009488295831152974,0.07459575345289629
13,1,0.018872985450852996,0.00|0.10|0.25|1.00,0.00|0.10|0.25|1.00,0.0,0.0,0.0,1,0.0,1,1,0.9037427334570194,0.09366901983217987,0.0,0.005238095238095238
14,1,0.02476059077747911,0.00|0.10|0.25|1.00,0.00|0.10|0.25|1.00,0.0,0.0,0.0,2,0.0,1,1,0.982,0.038314880831081595,0.008288680544520366,0.0035952380952380954
15,1,0.03670569933458623,1.00,0.00|0.10|0.25|1.00,1.0,1.0,0.0,3,0.0,1,0,0.5732527313955882,0.06153638286397093,0.6240785875764779,0.060263038548752826
16,1,0.03144023959720714,1.00,0.00|0.10|0.25|1.00,1.0,1.0,0.0,3,0.0,1,0,0.34898639455782315,0.0886506289853675,0.023014123763766107,0.711617160617161
17,1,0.04538115275370475,1.00,0.00|0.10|0.25|1.00,1.0,1.0,0.0,3,0.0,1,0,0.9328622448979591,0.04093135968365248,0.021858085742496994,0.10082519068233353
18,2,0.027912106784189476,1.00,0.00|0.10|0.25|1.00,1.0,1.0,0.0,3,0.0,1,0,0.6921853741496593,0.5100056892278959,0.026720065602456638,0.2692335600907029
19,2,0.01849410688953061,0.10|0.25|1.00,0.25|1.00,0.1,0.1,0.25,1,0.09518820021482474,0,0,0.8673889919604209,0.06230600348419379,0.0,0.008214285714285714
20,2,0.040866210078494974,0.10|0.25|1.00,0.00|0.10|0.25|1.00,0.1,1.0,0.0,3,0.0,1,0,0.9416955782312924,0.04362094736218026,0.035589790782576416,0.09269609358895073
21,2,0.04299907391748921,1.00,0.00|0.10|0.25|1.00,1.0,1.0,0.0,3,0.0,1,0,0.9723741496598637,0.02867923007409807,0.009488295831152974,0.045623943516800665
22,2,0.03670897179644808,1.00,0.00|0.10|0.25|1.00,1.0,1.0,0.0,3,0.0,1,0,0.9637006802721088,0.03148023808692875,0.016284371184371187,0.08907570603999172
23,2,0.029217456164213465,0.25,0.00|0.10|0.25|1.00,0.25,0.25,0.0,3,0.0,1,0,0.9382295918367349,0.0232160977379175,0.3618566838405444,0.036175170068027215
24,1,0.04592788430002088,0.25|1.00,0.00|0.10|0.25|1.00,0.25,1.0,0.0,3,0.0,1,0,0.9077789115646256,0.25120807624142283,0.0361978725198949,0.08407534528963097
25,1,0.022694503764401536,0.00|0.10|0.25|1.00,0.00|0.10|0.25|1.00,0.0,0.0,0.0,2,0.0,1,1,0.999047619047619,0.039238479666811044,0.0,0.0026190476190476194
26,1,0.023856148773027813,0.00|0.10|0.25|1.00,0.00|0.10|0.25|1.00,0.0,0.0,0.0,2,0.0,1,1,0.9912857142857142,0.054201427454138106,0.0,0.007877551020408163
27,1,0.035066168873382424,0.25|1.00,0.00|0.10|0.25|1.00,0.25,0.25,0.0,3,0.0,1,0,0.8363495670995666,0.00824767758909464,0.3485767714481049,0.04433560090702948
28,1,0.04750235102302107,1.00,0.00|0.10|0.25|1.00,1.0,1.0,0.0,3,0.0,1,0,0.3093554421768709,0.5101688695301733,0.032016756799576995,0.4947544320758608
29,1,0.023237868677336185,0.00|0.10|0.25|1.00,0.00|0.10|0.25|1.00,0.0,0.0,0.0,2,0.0,1,1,0.9844999999999999,0.038313472224160566,0.0013824884792626728,0.002642857142857143
30,1,0.023780873381575078,1.00,0.00|0.10|0.25|1.00,1.0,1.0,0.0,3,0.0,1,0,0.6385664296021439,0.004072780812412149,0.029805223464543222,0.2891379176379176
31,1,0.019701317976916273,0.00|0.10|0.25|1.00,0.00|0.10|0.25|1.00,0.0,0.0,0.0,2,0.0,1,1,0.9857312925170069,0.0013127413127413127,0.06867519864654266,0.030719387755102044
32,3,0.041186146798371175,0.25|1.00,0.25|1.00,0.25,1.0,0.25,3,0.0,1,0,0.914780612244898,0.08715903887885781,0.08468063669922746,0.09505890538033392
33,3,0.0332631374973132,1.00,1.00,1.0,1.0,1.0,3,0.0,1,1,0.29860832817975674,0.03790504292840284,0.07740437108468065,0.7506677409891698
34,2,0.042777572975419474,1.00,1.00,1.0,1.0,1.0,3,0.0,1,1,0.1293839414553701,0.5824893921457744,0.15050306519918596,0.8667874863232006
35,2,0.03567679074560212,0.10|0.25|1.00,0.00|0.10|0.25|1.00,0.1,1.0,0.0,3,0.0,1,0,0.9396938775510203,0.008285701764964438,0.017653418803418804,0.0808928056070913
36,2,0.0361148293602659,1.00,0.00|0.10|0.25|1.00,1.0,1.0,0.0,3,0.0,1,0,0.9222806122448978,0.1649399546436578,0.07406842907304916,0.08638352916924344
37,2,0.03646748878062584,0.25|1.00,0.00|0.10|0.25|1.00,0.25,0.25,0.0,3,0.0,1,0,0.9311955782312925,0.04229556465430907,0.1965610432686507,0.051945578231292526
38,2,0.02468004002788759,0.00|0.10|0.25|1.00,0.00|0.10|0.25|1.00,0.0,0.0,0.0,3,0.0,1,1,0.9769455782312925,0.02053564213357331,0.004047095761381475,0.027200061842918986
39,2,0.03118213995305355,0.00|0.10|0.25|1.00,0.00|0.10|0.25|1.00,0.0,0.0,0.0,2,0.0,1,1,0.9633299319727893,0.05988283271737568,0.01348393925406479,0.059972170686456404
40,2,0.034663160168209146,0.25,0.00|0.10|0.25|1.00,0.25,0.25,0.0,3,0.0,1,0,0.9169472789115647,0.025935040616688762,0.1898314594573843,0.06895691609977325
41,3,0.020797499966750708,1.00,0.00|0.10|0.25|1.00,1.0,1.0,0.0,1,0.007375586548430901,1,0,0.45662033601319324,0.2441530635161262,0.12164243493225915,0.6566116978259839
42,3,0.026822066442761982,1.00,0.00|0.10|0.25|1.00,1.0,1.0,0.0,1,0.03091974117703608,1,0,0.41051376004947426,0.5810321127446515,0.17035991452133004,0.6532007516293237
43,2,0.03951930612254934,1.00,1.00,1.0,1.0,1.0,3,0.006871910725323005,1,1,0.09909920634920637,0.7120371558344581,0.19767377677905118,0.6956111309325597
44,1,0.024436690988507717,1.00,0.00|0.10|0.25,1.0,1.0,0.0,3,0.006622848127195047,0,0,0.32833235415378287,0.3576798944338924,0.19849035980288385,0.7465759835402695
45,1,0.021222086183046187,1.00,0.00|0.10|0.25|1.00,1.0,1.0,0.0,3,0.0,1,0,0.6339234693877547,0.6771194123676757,0.03776630109203196,0.3669886621315194
46,1,0.01365850721967068,1.00,0.00|0.10|0.25|1.00,1.0,1.0,0.0,3,0.0,1,0,0.6828996598639452,0.3698024802628285,0.20571712101261186,0.22987069676355384
47,1,0.01259623508265569,0.00|0.10|0.25|1.00,0.00|0.10|0.25|1.00,0.0,0.0,0.0,2,0.0,1,1,1.0,0.005453531249405634,0.0,0.002142857142857143
48,1,0.009318752027240971,1.00,0.00|0.10|0.25|1.00,1.0,1.0,0.0,3,0.0,1,0,0.8874120284477426,0.005446407186038523,0.45570713117123873,0.04482766439909298
49,1,0.028818895238164565,1.00,0.00|0.10|0.25|1.00,1.0,1.0,0.0,3,0.0,1,0,0.6379417130488558,0.023054636524478953,0.018844051303371065,0.20455786277214846
50,1,0.023520217346594405,1.00,0.00|0.10|0.25|1.00,1.0,1.0,0.0,3,0.0,1,0,0.9951802721088435,0.0,0.0,0.020766800659657806
51,1,0.02958356952205886,1.00,0.00|0.10|0.25|1.00,1.0,1.0,0.0,3,0.0,1,0,0.455924654710369,0.0013824884792626728,0.4464587855104253,0.09806230674087814
52,1,0.03759264192945932,1.00,0.00|0.10|0.25|1.00,1.0,1.0,0.0,3,0.0,1,0,0.33720634920634923,0.29902492052377355,0.04160043411277111,0.7197252628324063
