secondary_threshold,test_index,best_persistence,predicted_under_risk,primary_safe_set,primary_safe_set_size,selected_lambda,selected_action,selected_regret,true_minimum_set,responsive_oracle_lambda,selected_in_true_minimum_set,responsive_oracle_match,safety_score_0.00,safety_score_0.10,safety_score_0.25,safety_score_1.00
0.5,0,1,0.02280515121673653,0.00|0.10|0.25|1.00,4,0.0,2,0.0,0.00|0.10|0.25|1.00,0.0,1,1,0.9988095238095239,0.9990476190476191,0.9952380952380951,1.0
0.5,1,1,0.011179931936987006,0.25|1.00,2,0.25,2,0.0,0.00|0.10|0.25|1.00,0.0,1,0,0.9029047619047619,0.9058707482993196,0.9985714285714286,0.9347891156462588
0.5,2,1,0.011272623240007376,0.00|0.10|0.25|1.00,4,0.0,2,0.0,0.00|0.10|0.25|1.00,0.0,1,1,1.0,1.0,1.0,1.0
0.5,3,1,0.024593994812742055,0.25|1.00,2,0.25,3,0.0,0.00|0.10|0.25|1.00,0.0,1,0,0.9424285714285713,0.9446802721088435,0.9966666666666666,0.9839285714285717
0.5,4,1,0.02638256442498864,1.00,1,1.0,1,0.0,0.00|0.10|0.25|1.00,0.0,1,0,0.22482653061224483,0.2812267573696143,0.24433333333333337,0.8906700680272112
0.5,5,2,0.027565087328314322,1.00,1,1.0,3,0.0,1.00,1.0,1,1,0.30361564625850335,0.2784659863945577,0.27257142857142863,0.9983809523809524
0.5,6,2,0.03441937398111071,1.00,1,1.0,3,0.0,0.10|0.25|1.00,0.1,1,0,0.8903333333333333,0.909108843537415,0.980404761904762,0.9347891156462588
0.5,7,2,0.03425887702294003,0.25|1.00,2,0.25,3,0.0,0.10|0.25|1.00,0.1,1,0,0.8568333333333333,0.8868231292517005,0.9948809523809523,0.9210986394557827
0.5,8,1,0.0460522615338116,1.00,1,1.0,3,0.0,0.00|0.10|0.25|1.00,0.0,1,0,0.7896428571428573,0.9037142857142856,0.9454761904761904,0.9448809523809524
0.5,9,1,0.042567450027431425,0.10|0.25|1.00,3,0.1,3,0.0,0.00|0.10|0.25|1.00,0.0,1,0,0.7878571428571428,0.9974285714285714,0.9969047619047618,0.9448809523809524
0.5,10,1,0.030993522774128465,0.00|0.10|0.25|1.00,4,0.0,3,0.0,0.00|0.10|0.25|1.00,0.0,1,1,0.9979761904761906,1.0,1.0,0.9448809523809524
0.5,11,1,0.037248184346602375,0.25|1.00,2,0.25,3,0.0,0.00|0.10|0.25|1.00,0.0,1,0,0.9672142857142855,0.9806428571428573,0.9959523809523809,0.9448809523809524
0.5,12,1,0.03664991528924929,0.10|0.25|1.00,3,0.1,2,0.0,0.00|0.10|0.25|1.00,0.0,1,0,0.9854761904761904,0.9985714285714286,0.9942857142857143,1.0
0.5,13,1,0.018872985450852996,0.00|0.10|0.25|1.00,4,0.0,1,0.0,0.00|0.10|0.25|1.00,0.0,1,1,0.9990476190476191,1.0,1.0,1.0
0.5,14,1,0.02476059077747911,0.00|0.10|0.25|1.00,4,0.0,2,0.0,0.00|0.10|0.25|1.00,0.0,1,1,0.9978571428571429,0.9990476190476191,1.0,1.0
0.5,15,1,0.03670569933458623,1.00,1,1.0,3,0.0,0.00|0.10|0.25|1.00,0.0,1,0,0.7500680272108838,0.8143469387755101,0.9732380952380953,0.9347891156462588
0.5,16,1,0.03144023959720714,1.00,1,1.0,3,0.0,0.00|0.10|0.25|1.00,0.0,1,0,0.5293775510204082,0.5330952380952381,0.4887142857142855,0.9432619047619047
0.5,17,1,0.04538115275370475,1.00,1,1.0,3,0.0,0.00|0.10|0.25|1.00,0.0,1,0,0.9489761904761903,0.9601428571428573,0.9586190476190477,0.9448809523809524
0.5,18,2,0.027912106784189476,1.00,1,1.0,3,0.0,0.00|0.10|0.25|1.00,0.0,1,0,0.5909999999999999,0.9252301587301588,0.8881428571428572,1.0
0.5,19,2,0.01849410688953061,0.10|0.25|1.00,3,0.1,1,0.09518820021482474,0.25|1.00,0.25,0,0,0.9983333333333334,1.0,1.0,1.0
0.5,20,2,0.040866210078494974,0.10|0.25|1.00,3,0.1,3,0.0,0.00|0.10|0.25|1.00,0.0,1,0,0.9895238095238096,0.9926190476190476,0.9954761904761905,1.0
0.5,21,2,0.04299907391748921,1.00,1,1.0,3,0.0,0.00|0.10|0.25|1.00,0.0,1,0,0.9542142857142856,0.9639523809523812,0.9593333333333335,0.9448809523809524
0.5,22,2,0.03670897179644808,1.00,1,1.0,3,0.0,0.00|0.10|0.25|1.00,0.0,1,0,0.9475476190476189,0.9639523809523812,0.9593333333333335,0.9448809523809524
0.5,23,2,0.029217456164213465,0.25,1,0.25,3,0.0,0.00|0.10|0.25|1.00,0.0,1,0,0.8914761904761904,0.8882517006802719,0.9953571428571428,0.7521938775510196
0.5,24,1,0.04592788430002088,0.25|1.00,2,0.25,3,0.0,0.00|0.10|0.25|1.00,0.0,1,0,0.9273809523809523,0.9952857142857143,0.9904761904761905,1.0
0.5,25,1,0.022694503764401536,0.00|0.10|0.25|1.00,4,0.0,2,0.0,0.00|0.10|0.25|1.00,0.0,1,1,0.9995238095238096,1.0,1.0,1.0
0.5,26,1,0.023856148773027813,0.00|0.10|0.25|1.00,4,0.0,2,0.0,0.00|0.10|0.25|1.00,0.0,1,1,0.9992857142857143,1.0,1.0,1.0
0.5,27,1,0.035066168873382424,0.25|1.00,2,0.25,3,0.0,0.00|0.10|0.25|1.00,0.0,1,0,0.9672142857142855,0.9806428571428573,0.9959523809523809,1.0
0.5,28,1,0.04750235102302107,1.00,1,1.0,3,0.0,0.00|0.10|0.25|1.00,0.0,1,0,0.4312176870748298,0.6825294784580499,0.7570476190476189,1.0
0.5,29,1,0.023237868677336185,0.00|0.10|0.25|1.00,4,0.0,2,0.0,0.00|0.10|0.25|1.00,0.0,1,1,1.0,1.0,1.0,1.0
0.5,30,1,0.023780873381575078,1.00,1,1.0,3,0.0,0.00|0.10|0.25|1.00,0.0,1,0,0.78921768707483,0.7815238095238096,0.9261904761904762,1.0
0.5,31,1,0.019701317976916273,0.00|0.10|0.25|1.00,4,0.0,2,0.0,0.00|0.10|0.25|1.00,0.0,1,1,1.0,1.0,0.9992857142857143,0.996904761904762
0.5,32,3,0.041186146798371175,0.25|1.00,2,0.25,3,0.0,0.25|1.00,0.25,1,1,0.9785714285714285,0.9819047619047618,0.9989285714285714,0.9983333333333334
