threshold,events,flagged_events,flagged_fraction,severe_total,severe_flagged,severe_unflagged,nonsevere_total,nonsevere_flagged,nonsevere_unflagged,severe_recall,nonsevere_specificity,severe_precision,balanced_accuracy,risk_lift,harmful_total,harmful_flagged,harmful_recall,beneficial_total,beneficial_flagged,beneficial_preservation,evaluated_seeds,seeds_with_severe_events,seeds_with_harmful_events,mean_seed_severe_recall,min_seed_severe_recall,mean_seed_specificity,min_seed_specificity,mean_seed_harmful_recall,mean_seed_beneficial_preservation,seeds_flagging_any_event,seeds_flagging_all_events
0.1,65,51,0.7846153846153846,15,15,0,50,36,14,1.0,0.28,0.29411764705882354,0.64,1.2745098039215685,15,15,1.0,50,36,0.28,9,6,7,1.0,1.0,0.29246432579765913,0.0,1.0,0.34064577397910734,9,1
0.105,65,51,0.7846153846153846,15,15,0,50,36,14,1.0,0.28,0.29411764705882354,0.64,1.2745098039215685,15,15,1.0,50,36,0.28,9,6,7,1.0,1.0,0.29246432579765913,0.0,1.0,0.34064577397910734,9,1
0.11,65,48,0.7384615384615385,15,14,1,50,34,16,0.9333333333333333,0.32,0.2916666666666667,0.6266666666666667,1.2638888888888888,15,14,0.9333333333333333,50,34,0.32,9,6,7,0.9583333333333334,0.75,0.3149110149110149,0.0,0.9642857142857143,0.36153846153846153,9,1
0.115,65,45,0.6923076923076923,15,13,2,50,32,18,0.8666666666666667,0.36,0.28888888888888886,0.6133333333333333,1.2518518518518518,15,13,0.8666666666666667,50,32,0.36,9,6,7,0.9166666666666666,0.5,0.3373577040243707,0.0,0.9285714285714286,0.3824311490978158,9,1
0.12,65,42,0.6461538461538462,15,13,2,50,29,21,0.8666666666666667,0.42,0.30952380952380953,0.6433333333333333,1.3412698412698412,15,13,0.8666666666666667,50,29,0.42,9,6,7,0.9166666666666666,0.5,0.4830367163700497,0.2,0.9285714285714286,0.5281101614434948,8,0
0.125,65,37,0.5692307692307692,15,12,3,50,25,25,0.8,0.5,0.32432432432432434,0.65,1.4054054054054055,15,13,0.8666666666666667,50,24,0.52,9,6,7,0.8611111111111112,0.5,0.5471059804393138,0.2,0.9285714285714286,0.5952041785375118,8,0
0.13,65,34,0.5230769230769231,15,12,3,50,22,28,0.8,0.56,0.35294117647058826,0.68,1.5294117647058825,15,13,0.8666666666666667,50,21,0.58,9,6,7,0.8611111111111112,0.5,0.5895302228635562,0.3333333333333333,0.9285714285714286,0.6345204178537512,8,0
0.135,65,32,0.49230769230769234,15,12,3,50,20,30,0.8,0.6,0.375,0.7,1.625,15,13,0.8666666666666667,50,19,0.62,9,6,7,0.8611111111111112,0.5,0.6218534551867885,0.3333333333333333,0.9285714285714286,0.665289648622982,8,0
0.14,65,31,0.47692307692307695,15,11,4,50,20,30,0.7333333333333333,0.6,0.3548387096774194,0.6666666666666666,1.5376344086021505,15,13,0.8666666666666667,50,18,0.64,9,6,7,0.8277777777777777,0.5,0.6218534551867885,0.3333333333333333,0.9285714285714286,0.6791785375118709,8,0
0.145,65,30,0.46153846153846156,15,11,4,50,19,31,0.7333333333333333,0.62,0.36666666666666664,0.6766666666666666,1.5888888888888888,15,13,0.8666666666666667,50,17,0.66,9,6,7,0.8277777777777777,0.5,0.6377264710598044,0.3333333333333333,0.9285714285714286,0.6930674264007597,8,0
0.15,65,30,0.46153846153846156,15,11,4,50,19,31,0.7333333333333333,0.62,0.36666666666666664,0.6766666666666666,1.5888888888888888,15,13,0.8666666666666667,50,17,0.66,9,6,7,0.8277777777777777,0.5,0.6377264710598044,0.3333333333333333,0.9285714285714286,0.6930674264007597,8,0
0.155,65,28,0.4307692307692308,15,11,4,50,17,33,0.7333333333333333,0.66,0.39285714285714285,0.6966666666666667,1.7023809523809523,15,13,0.8666666666666667,50,15,0.7,9,6,7,0.8277777777777777,0.5,0.6579284912618246,0.3333333333333333,0.9285714285714286,0.7101614434947768,8,0
0.16,65,26,0.4,15,9,6,50,17,33,0.6,0.66,0.34615384615384615,0.63,1.4999999999999998,15,11,0.7333333333333333,50,15,0.7,9,6,7,0.7611111111111111,0.4,0.6579284912618246,0.3333333333333333,0.8571428571428571,0.7101614434947768,8,0
0.165,65,24,0.36923076923076925,15,7,8,50,17,33,0.4666666666666667,0.66,0.2916666666666667,0.5633333333333334,1.2638888888888888,15,9,0.6,50,15,0.7,9,6,7,0.6638888888888889,0.25,0.6579284912618246,0.3333333333333333,0.6785714285714286,0.7101614434947768,8,0
0.17,65,20,0.3076923076923077,15,6,9,50,14,36,0.4,0.72,0.3,0.56,1.2999999999999998,15,8,0.5333333333333333,50,12,0.76,9,6,7,0.6305555555555555,0.2,0.7202741702741703,0.3333333333333333,0.6428571428571429,0.7873219373219373,8,0
0.175,65,19,0.2923076923076923,15,6,9,50,13,37,0.4,0.74,0.3157894736842105,0.5700000000000001,1.3684210526315788,15,8,0.5333333333333333,50,11,0.78,9,6,7,0.6305555555555555,0.2,0.7361471861471861,0.3333333333333333,0.6428571428571429,0.8012108262108262,8,0
0.18,65,17,0.26153846153846155,15,5,10,50,12,38,0.3333333333333333,0.76,0.29411764705882354,0.5466666666666666,1.2745098039215685,15,7,0.4666666666666667,50,10,0.8,9,6,7,0.4638888888888889,0.0,0.7484928651595318,0.3333333333333333,0.5714285714285714,0.8135565052231719,8,0
0.185,65,16,0.24615384615384617,15,4,11,50,12,38,0.26666666666666666,0.76,0.25,0.5133333333333333,1.0833333333333333,15,6,0.4,50,10,0.8,9,6,7,0.4305555555555556,0.0,0.7484928651595318,0.3333333333333333,0.5357142857142857,0.8135565052231719,8,0
0.19,65,13,0.2,15,3,12,50,10,40,0.2,0.8,0.23076923076923078,0.5,1.0,15,5,0.3333333333333333,50,8,0.84,9,6,7,0.375,0.0,0.7808160974827641,0.3333333333333333,0.4642857142857143,0.8306505223171889,8,0
0.195,65,10,0.15384615384615385,15,1,14,50,9,41,0.06666666666666667,0.82,0.1,0.4433333333333333,0.43333333333333335,15,3,0.2,50,7,0.86,9,6,7,0.16666666666666666,0.0,0.7909171075837742,0.3333333333333333,0.35714285714285715,0.8391975308641976,5,0
0.2,65,8,0.12307692307692308,15,1,14,50,7,43,0.06666666666666667,0.86,0.125,0.4633333333333333,0.5416666666666666,15,2,0.13333333333333333,50,6,0.88,9,6,7,0.16666666666666666,0.0,0.8310405643738977,0.3333333333333333,0.2857142857142857,0.8515432098765432,4,0
0.205,65,7,0.1076923076923077,15,1,14,50,6,44,0.06666666666666667,0.88,0.14285714285714285,0.47333333333333333,0.619047619047619,15,2,0.13333333333333333,50,5,0.9,9,6,7,0.16666666666666666,0.0,0.8469135802469135,0.3333333333333333,0.2857142857142857,0.8654320987654321,3,0
0.21,65,6,0.09230769230769231,15,1,14,50,5,45,0.06666666666666667,0.9,0.16666666666666666,0.48333333333333334,0.7222222222222221,15,1,0.06666666666666667,50,5,0.9,9,6,7,0.16666666666666666,0.0,0.8839506172839506,0.4,0.14285714285714285,0.8654320987654321,3,0
0.215,65,3,0.046153846153846156,15,1,14,50,2,48,0.06666666666666667,0.96,0.3333333333333333,0.5133333333333333,1.4444444444444442,15,1,0.06666666666666667,50,2,0.96,9,6,7,0.16666666666666666,0.0,0.9407407407407408,0.6666666666666666,0.14285714285714285,0.9222222222222223,3,0
0.22,65,1,0.015384615384615385,15,0,15,50,1,49,0.0,0.98,0.0,0.49,0.0,15,0,0.0,50,1,0.98,9,6,7,0.0,0.0,0.9777777777777777,0.8,0.0,0.9777777777777777,1,0
