threshold,events,flagged_events,flagged_fraction,severe_total,severe_flagged,severe_unflagged,nonsevere_total,nonsevere_flagged,nonsevere_unflagged,severe_recall,nonsevere_specificity,severe_precision,balanced_accuracy,risk_lift,harmful_total,harmful_flagged,harmful_recall,beneficial_total,beneficial_flagged,beneficial_preservation,generation_seed
0.1,10,8,0.8,1,1,0,9,7,2,1.0,0.2222222222222222,0.125,0.6111111111111112,1.25,1,1,1.0,9,7,0.2222222222222222,44001
0.105,10,8,0.8,1,1,0,9,7,2,1.0,0.2222222222222222,0.125,0.6111111111111112,1.25,1,1,1.0,9,7,0.2222222222222222,44001
0.11,10,7,0.7,1,1,0,9,6,3,1.0,0.3333333333333333,0.14285714285714285,0.6666666666666666,1.4285714285714284,1,1,1.0,9,6,0.3333333333333333,44001
0.115,10,6,0.6,1,1,0,9,5,4,1.0,0.4444444444444444,0.16666666666666666,0.7222222222222222,1.6666666666666665,1,1,1.0,9,5,0.4444444444444444,44001
0.12,10,5,0.5,1,1,0,9,4,5,1.0,0.5555555555555556,0.2,0.7777777777777778,2.0,1,1,1.0,9,4,0.5555555555555556,44001
0.125,10,5,0.5,1,1,0,9,4,5,1.0,0.5555555555555556,0.2,0.7777777777777778,2.0,1,1,1.0,9,4,0.5555555555555556,44001
0.13,10,5,0.5,1,1,0,9,4,5,1.0,0.5555555555555556,0.2,0.7777777777777778,2.0,1,1,1.0,9,4,0.5555555555555556,44001
0.135,10,5,0.5,1,1,0,9,4,5,1.0,0.5555555555555556,0.2,0.7777777777777778,2.0,1,1,1.0,9,4,0.5555555555555556,44001
0.14,10,5,0.5,1,1,0,9,4,5,1.0,0.5555555555555556,0.2,0.7777777777777778,2.0,1,1,1.0,9,4,0.5555555555555556,44001
0.145,10,5,0.5,1,1,0,9,4,5,1.0,0.5555555555555556,0.2,0.7777777777777778,2.0,1,1,1.0,9,4,0.5555555555555556,44001
0.15,10,5,0.5,1,1,0,9,4,5,1.0,0.5555555555555556,0.2,0.7777777777777778,2.0,1,1,1.0,9,4,0.5555555555555556,44001
0.155,10,5,0.5,1,1,0,9,4,5,1.0,0.5555555555555556,0.2,0.7777777777777778,2.0,1,1,1.0,9,4,0.5555555555555556,44001
0.16,10,5,0.5,1,1,0,9,4,5,1.0,0.5555555555555556,0.2,0.7777777777777778,2.0,1,1,1.0,9,4,0.5555555555555556,44001
0.165,10,5,0.5,1,1,0,9,4,5,1.0,0.5555555555555556,0.2,0.7777777777777778,2.0,1,1,1.0,9,4,0.5555555555555556,44001
0.17,10,4,0.4,1,1,0,9,3,6,1.0,0.6666666666666666,0.25,0.8333333333333333,2.5,1,1,1.0,9,3,0.6666666666666666,44001
0.175,10,4,0.4,1,1,0,9,3,6,1.0,0.6666666666666666,0.25,0.8333333333333333,2.5,1,1,1.0,9,3,0.6666666666666666,44001
