mismatch_class,condition,mismatch_strength,runs,hard_accuracy,selective_coverage,selective_accuracy,mean_classification_margin,std_classification_margin,confidence_threshold
measurement_noise,measurement_noise_0.55,0.55,50,0.5,0.24,0.4166666666666667,0.2222492520155553,0.20310805166193308,0.3
measurement_noise,measurement_noise_0.65,0.65,50,0.62,0.24,0.8333333333333334,0.21179489239159063,0.1579850087175306,0.3
measurement_noise,measurement_noise_0.75,0.75,50,0.8,0.44,0.9545454545454546,0.31704405904268285,0.20458648522296902,0.3
measurement_noise,measurement_noise_0.85,0.85,50,0.92,0.7,0.9714285714285714,0.49506192892492396,0.25498203862087376,0.3
measurement_noise,measurement_noise_1.00,1.0,50,0.94,0.9,0.9777777777777777,0.7518174169564917,0.2912146110675476,0.3
measurement_noise,measurement_noise_1.25,1.25,50,0.98,0.98,0.9795918367346939,1.1576074841800672,0.31117760257913,0.3
measurement_noise,measurement_noise_1.50,1.5,50,0.98,0.98,1.0,1.529991961124159,0.3909715607766866,0.3
process_disturbance,process_disturbance_0.5,0.5,50,0.06,0.28,0.07142857142857142,0.2223840040734133,0.22506536809025388,0.3
process_disturbance,process_disturbance_1.0,1.0,50,0.16,0.2,0.0,0.1946095173068275,0.18706083405796145,0.3
process_disturbance,process_disturbance_1.5,1.5,50,0.4,0.3,0.6,0.23608319308615286,0.25658136422199973,0.3
process_disturbance,process_disturbance_2.0,2.0,50,0.74,0.56,0.9285714285714286,0.6029146877501976,0.597488775127717,0.3
process_disturbance,process_disturbance_2.5,2.5,50,0.86,0.82,0.975609756097561,1.3402772934752218,0.9860864118194341,0.3
process_disturbance,process_disturbance_3.0,3.0,50,0.92,0.88,1.0,2.328743481105067,1.3818954995509065,0.3
process_disturbance,process_disturbance_4.0,4.0,50,1.0,0.98,1.0,4.886670706380113,2.1860764266897412,0.3
parameter_mismatch,parameter_mismatch_0.45,0.47000000000000003,50,0.82,0.42,0.9523809523809523,0.38949904677731173,0.34487996797491965,0.3
parameter_mismatch,parameter_mismatch_0.4,0.52,50,0.92,0.86,0.9767441860465116,0.739477238330142,0.4430967179314311,0.3
parameter_mismatch,parameter_mismatch_0.35,0.5700000000000001,50,0.94,0.92,1.0,1.1208592488339626,0.5045181823114876,0.3
parameter_mismatch,parameter_mismatch_0.3,0.6200000000000001,50,0.96,0.94,1.0,1.428233131390183,0.5645620498057629,0.3
parameter_mismatch,parameter_mismatch_0.2,0.72,50,1.0,1.0,1.0,2.116455601784342,0.5181022254700371,0.3
parameter_mismatch,parameter_mismatch_0.1,0.8200000000000001,50,1.0,1.0,1.0,2.617569475957837,0.4444295892178845,0.3
structural_change,structural_change_0.9,0.020000000000000018,50,0.38,0.34,0.47058823529411764,0.24013726977529784,0.19625669760015105,0.3
structural_change,structural_change_0.88,0.040000000000000036,50,0.76,0.5,0.88,0.3430228053503212,0.269103726206908,0.3
structural_change,structural_change_0.85,0.07000000000000006,50,1.0,0.92,1.0,0.8220789429477124,0.3276531004118445,0.3
structural_change,structural_change_0.82,0.10000000000000009,50,1.0,0.98,1.0,1.3338001083746405,0.3768190992907864,0.3
structural_change,structural_change_0.8,0.12,50,1.0,1.0,1.0,1.629734367890184,0.4546730869074018,0.3
structural_change,structural_change_0.75,0.17000000000000004,50,1.0,0.98,1.0,2.0485435054552577,0.7215578089111324,0.3
