policy,accuracy,mean_loss,mean_regret,median_regret,max_regret,zero_regret_fraction,regret_gt_0_005_fraction,under_count,over_count,exact_count,action_entropy,dominant_action_fraction,deviation_from_direct,seed,train_count,test_count,pareto_efficient
direct_loss,0.28,0.12976589748596123,0.00790048853356308,0.0,0.08356387856799662,0.8266666666666667,0.16,5,49,21,0.9409178873923738,0.4266666666666667,0.0,0,174,75,1
fixed_risk_0.010,0.06666666666666667,0.12921399342551568,0.007348584473117515,0.0,0.08356387856799662,0.8533333333333334,0.13333333333333333,3,67,5,0.2637850261198623,0.9333333333333333,0.52,0,174,75,0
two_stage_0.10,0.2,0.12948436257694207,0.007618953624543905,0.0,0.08356387856799662,0.84,0.14666666666666667,4,56,15,0.8780346990847604,0.5733333333333334,0.16,0,174,75,1
two_stage_0.25,0.18666666666666668,0.12921399342551568,0.007348584473117515,0.0,0.08356387856799662,0.8533333333333334,0.13333333333333333,3,58,14,0.7347621721697781,0.7066666666666667,0.29333333333333333,0,174,75,1
two_stage_1.00,0.09333333333333334,0.12816932227783637,0.006303913325438206,0.0,0.08356387856799662,0.8666666666666667,0.12,2,66,7,0.3171822976731685,0.9066666666666666,0.48,0,174,75,1
fixed_k3,0.05333333333333334,0.12723890360154166,0.005373494649143506,0.0,0.08356387856799662,0.8933333333333333,0.09333333333333334,0,71,4,0.0,1.0,0.5733333333333334,0,174,75,0
oracle,1.0,0.12186540895239815,0.0,0.0,0.0,1.0,0.0,0,0,75,0.6493244478084074,0.7333333333333333,0.72,0,174,75,0
direct_loss,0.3466666666666667,0.13910732732701916,0.008901397813452571,0.0,0.18820447819337066,0.8933333333333333,0.10666666666666667,3,46,26,0.9117727059858289,0.48,0.0,1,174,75,1
fixed_risk_0.010,0.13333333333333333,0.13723681696648646,0.007030887452919865,0.0,0.18820447819337066,0.92,0.08,0,65,10,0.2637850261198623,0.9333333333333333,0.5733333333333334,1,174,75,1
two_stage_0.10,0.24,0.13910732732701916,0.008901397813452571,0.0,0.18820447819337066,0.8933333333333333,0.10666666666666667,3,54,18,0.810761999804157,0.64,0.28,1,174,75,0
two_stage_0.25,0.18666666666666668,0.13910732732701916,0.008901397813452571,0.0,0.18820447819337066,0.8933333333333333,0.10666666666666667,3,58,14,0.6961094714265039,0.7333333333333333,0.37333333333333335,1,174,75,0
two_stage_1.00,0.13333333333333333,0.13890861082675265,0.008702681313186057,0.0,0.18820447819337066,0.8933333333333333,0.10666666666666667,0,65,10,0.3403575042445963,0.9066666666666666,0.5466666666666666,1,174,75,1
