seed,context_count,fingerprint
0,252,966b9224c29567123897351db1924f3f139202afa247d680596b50eba1d76722
1,260,7026c71736755af2adf7c687c5446b21ef9f6dbf06835007d91e9c73f02313c8
2,258,10a6fe6cad4fc67701e9d0c1466d4445d1857d72ed61f1e2e61928a4be226f2a
3,262,661e20856bfab25d6a0bbc92eb4aa0ea1d799ffc86ca3bf7c33c9777aa4c876f
4,262,0ffc6b229198d2fcac7d25e419e20cd06dd721834e336f3365c60eb459c276b5
5,261,eb0ba2083c84d1046303fca0f3fc267796cac52777b5a5582b775a1353289cda
6,261,e267ec73a16946eb07ca4ef00d51bc56f242910d41cba5e45526eb362c45c1b3
7,255,182d84dae8ddb8e32cdfcfa6b3b896f34ec4e7135fa6e6e617989e169d0d0ea3
8,252,d795ed18f2c2faf1e6ef46c739c14f313075e36a5b768ce0f1ac8491af085026
9,256,2cc9a75edadbaf59f232d926c0b8ca1fcb1ea59511d1f42882d1d88d34099ad3
