policy,accuracy,mean_loss,mean_regret,median_regret,max_regret,zero_regret_fraction,regret_gt_0_005_fraction,under_count,over_count,exact_count,action_entropy,dominant_action_fraction,deviation_from_direct,seed,dataset_fingerprint,context_count,train_count,test_count,pareto_efficient
direct_loss,0.13157894736842105,0.1629634730805955,0.022982298361996355,0.0,0.12944751776547397,0.6578947368421053,0.32894736842105265,23,43,10,0.9611376517153963,0.47368421052631576,0.0,0,966b9224c29567123897351db1924f3f139202afa247d680596b50eba1d76722,252,176,76,1
fixed_risk_0.010,0.09210526315789473,0.15202438977130223,0.012043215052703062,0.0,0.12944751776547395,0.7631578947368421,0.2236842105263158,13,56,7,0.7105819620091197,0.7236842105263158,0.2894736842105263,0,966b9224c29567123897351db1924f3f139202afa247d680596b50eba1d76722,252,176,76,1
two_stage_0.10,0.13157894736842105,0.1564434040750992,0.016462229356500057,0.0,0.12944751776547395,0.7236842105263158,0.2631578947368421,18,48,10,0.8851902917606469,0.5789473684210527,0.10526315789473684,0,966b9224c29567123897351db1924f3f139202afa247d680596b50eba1d76722,252,176,76,1
two_stage_0.25,0.11842105263157894,0.1531698740070237,0.013188699288424555,0.0,0.12944751776547395,0.7631578947368421,0.2236842105263158,15,52,9,0.8006021130122085,0.6578947368421053,0.19736842105263158,0,966b9224c29567123897351db1924f3f139202afa247d680596b50eba1d76722,252,176,76,1
two_stage_1.00,0.14473684210526316,0.14652640545169954,0.00654523073310037,0.0,0.10920030515298647,0.8289473684210527,0.15789473684210525,7,58,11,0.5874758532271102,0.7894736842105263,0.3815789473684211,0,966b9224c29567123897351db1924f3f139202afa247d680596b50eba1d76722,252,176,76,1
fixed_k3,0.13157894736842105,0.14162605622651345,0.00164488150791429,0.0,0.03769993967501528,0.9078947368421053,0.09210526315789473,0,66,10,0.0,1.0,0.5263157894736842,0,966b9224c29567123897351db1924f3f139202afa247d680596b50eba1d76722,252,176,76,0
oracle,1.0,0.13998117471859917,0.0,0.0,0.0,1.0,0.0,0,0,76,0.828899830712677,0.618421052631579,0.868421052631579,0,966b9224c29567123897351db1924f3f139202afa247d680596b50eba1d76722,252,176,76,0
direct_loss,0.3717948717948718,0.15514106029668576,0.012427592301725276,0.0,0.12100969055946653,0.7564102564102564,0.20512820512820512,13,36,29,0.9674095699275208,0.46153846153846156,0.0,1,7026c71736755af2adf7c687c5446b21ef9f6dbf06835007d91e9c73f02313c8,260,182,78,1
fixed_risk_0.010,0.15384615384615385,0.1477527777922175,0.005039309797257004,0.0,0.12100969055946653,0.8589743589743589,0.10256410256410256,5,61,12,0.7060746643249429,0.7051282051282052,0.47435897435897434,1,7026c71736755af2adf7c687c5446b21ef9f6dbf06835007d91e9c73f02313c8,260,182,78,1
two_stage_0.10,0.358974358974359,0.1511795396050075,0.008466071610047013,0.0,0.12100969055946653,0.8076923076923077,0.15384615384615385,9,41,28,0.9528885854681615,0.4358974358974359,0.1794871794871795,1,7026c71736755af2adf7c687c5446b21ef9f6dbf06835007d91e9c73f02313c8,260,182,78,1
two_stage_0.25,0.24358974358974358,0.1482943458210453,0.005580877826084824,0.0,0.12100969055946653,0.8461538461538461,0.11538461538461539,6,53,19,0.8203314856325872,0.6153846153846154,0.38461538461538464,1,7026c71736755af2adf7c687c5446b21ef9f6dbf06835007d91e9c73f02313c8,260,182,78,1
two_stage_1.00,0.038461538461538464,0.14578154054964484,0.0030680725546843733,0.0,0.12100969055946653,0.8717948717948718,0.08974358974358974,2,73,3,0.24593464060506362,0.9358974358974359,0.6666666666666666,1,7026c71736755af2adf7c687c5446b21ef9f6dbf06835007d91e9c73f02313c8,260,182,78,1
fixed_k3,0.038461538461538464,0.14411055364375827,0.0013970856487977787,0.0,0.04004388765215805,0.8974358974358975,0.0641025641025641,0,75,3,0.0,1.0,0.717948717948718,1,7026c71736755af2adf7c687c5446b21ef9f6dbf06835007d91e9c73f02313c8,260,182,78,0
oracle,1.0,0.14271346799496049,0.0,0.0,0.0,1.0,0.0,0,0,78,0.7549759264909971,0.48717948717948717,0.6282051282051282,1,7026c71736755af2adf7c687c5446b21ef9f6dbf06835007d91e9c73f02313c8,260,182,78,0
direct_loss,0.3076923076923077,0.15533648379127157,0.015549604505168534,0.0,0.1216644178619012,0.717948717948718,0.24358974358974358,16,38,24,0.9324555613185019,0.5128205128205128,0.0,2,10a6fe6cad4fc67701e9d0c1466d4445d1857d72ed61f1e2e61928a4be226f2a,258,180,78,1
fixed_risk_0.010,0.1794871794871795,0.145605213107954,0.005818333821850953,0.0,0.1216644178619012,0.8333333333333334,0.11538461538461539,6,58,14,0.756115927482354,0.6666666666666666,0.5384615384615384,2,10a6fe6cad4fc67701e9d0c1466d4445d1857d72ed61f1e2e61928a4be226f2a,258,180,78,1
two_stage_0.10,0.28205128205128205,0.15439224930466852,0.014605370018565478,0.0,0.1216644178619012,0.7307692307692307,0.23076923076923078,15,41,22,0.9705539393442079,0.44871794871794873,0.14102564102564102,2,10a6fe6cad4fc67701e9d0c1466d4445d1857d72ed61f1e2e61928a4be226f2a,258,180,78,1
two_stage_0.25,0.20512820512820512,0.14847475325900278,0.008687873972899718,0.0,0.1216644178619012,0.7948717948717948,0.15384615384615385,9,53,16,0.8652371680937969,0.5769230769230769,0.4230769230769231,2,10a6fe6cad4fc67701e9d0c1466d4445d1857d72ed61f1e2e61928a4be226f2a,258,180,78,1
