condition,true_class,magnitude,sequence_replicate,evidence_budget,estimated_p_pass,estimated_p_fail_A,estimated_p_fail_C,estimated_p_fail_S,reference_p_fail_A,reference_p_fail_C,reference_p_fail_S,marginal_mae,joint_total_variation,joint_js_divergence
measurement_noise_0.850,measurement_noise,0.85,0,5,0.0,0.0,1.0,0.0,0.22,0.8,0.06,0.15999999999999998,0.43999999999999995,0.26537374235093775
measurement_noise_0.850,measurement_noise,0.85,0,10,0.1,0.4,0.9,0.1,0.22,0.8,0.06,0.10666666666666667,0.18000000000000002,0.04399860909148551
measurement_noise_0.850,measurement_noise,0.85,0,20,0.25,0.25,0.75,0.05,0.22,0.8,0.06,0.030000000000000013,0.08000000000000003,0.014014880609257844
measurement_noise_0.850,measurement_noise,0.85,1,5,0.4,0.0,0.6,0.0,0.22,0.8,0.06,0.16000000000000003,0.23999999999999996,0.1450088294683459
measurement_noise_0.850,measurement_noise,0.85,1,10,0.3,0.1,0.7,0.0,0.22,0.8,0.06,0.09333333333333337,0.13999999999999993,0.04611989685713727
measurement_noise_0.850,measurement_noise,0.85,1,20,0.35,0.05,0.65,0.0,0.22,0.8,0.06,0.12666666666666668,0.18999999999999995,0.07357282347495239
measurement_noise_0.850,measurement_noise,0.85,2,5,0.2,0.4,0.8,0.0,0.22,0.8,0.06,0.08,0.22000000000000003,0.07052737732773129
measurement_noise_0.850,measurement_noise,0.85,2,10,0.1,0.4,0.9,0.0,0.22,0.8,0.06,0.11333333333333333,0.22000000000000006,0.0743455901134259
measurement_noise_0.850,measurement_noise,0.85,2,20,0.2,0.3,0.8,0.05,0.22,0.8,0.06,0.029999999999999995,0.15000000000000002,0.04005614545882599
measurement_noise_0.850,measurement_noise,0.85,3,5,0.0,0.4,1.0,0.2,0.22,0.8,0.06,0.17333333333333334,0.21999999999999997,0.15287472115115336
measurement_noise_0.850,measurement_noise,0.85,3,10,0.0,0.4,1.0,0.1,0.22,0.8,0.06,0.13999999999999999,0.21999999999999997,0.13101497918303703
measurement_noise_0.850,measurement_noise,0.85,3,20,0.05,0.25,0.95,0.05,0.22,0.8,0.06,0.0633333333333333,0.16999999999999998,0.0511624798125428
measurement_noise_0.850,measurement_noise,0.85,4,5,0.2,0.2,0.8,0.2,0.22,0.8,0.06,0.05333333333333334,0.19999999999999996,0.14249488908689026
measurement_noise_0.850,measurement_noise,0.85,4,10,0.1,0.2,0.9,0.1,0.22,0.8,0.06,0.05333333333333332,0.19999999999999996,0.04581923318019401
measurement_noise_0.850,measurement_noise,0.85,4,20,0.2,0.2,0.8,0.05,0.22,0.8,0.06,0.009999999999999995,0.04999999999999996,0.011884172098275006
measurement_noise_0.850,measurement_noise,0.85,5,5,0.0,0.2,1.0,0.0,0.22,0.8,0.06,0.09333333333333331,0.26,0.14573571614510644
measurement_noise_0.850,measurement_noise,0.85,5,10,0.1,0.3,0.9,0.0,0.22,0.8,0.06,0.07999999999999999,0.15999999999999995,0.05368904387452775
measurement_noise_0.850,measurement_noise,0.85,5,20,0.05,0.15,0.95,0.0,0.22,0.8,0.06,0.09333333333333331,0.24000000000000002,0.0810998873262253
measurement_noise_0.850,measurement_noise,0.85,6,5,0.0,0.4,1.0,0.2,0.22,0.8,0.06,0.17333333333333334,0.21999999999999997,0.15287472115115336
measurement_noise_0.850,measurement_noise,0.85,6,10,0.3,0.3,0.7,0.2,0.22,0.8,0.06,0.1066666666666667,0.26,0.07728262338208862
measurement_noise_0.850,measurement_noise,0.85,6,20,0.15,0.25,0.85,0.1,0.22,0.8,0.06,0.03999999999999998,0.09999999999999996,0.02364923118533685
measurement_noise_0.850,measurement_noise,0.85,7,5,0.4,0.2,0.6,0.0,0.22,0.8,0.06,0.09333333333333335,0.22000000000000003,0.06455407865536286
measurement_noise_0.850,measurement_noise,0.85,7,10,0.3,0.2,0.7,0.0,0.22,0.8,0.06,0.060000000000000026,0.12000000000000002,0.03886776815191065
measurement_noise_0.850,measurement_noise,0.85,7,20,0.15,0.25,0.85,0.05,0.22,0.8,0.06,0.029999999999999975,0.06999999999999998,0.013864065250241904
measurement_noise_0.850,measurement_noise,0.85,8,5,0.0,0.0,1.0,0.0,0.22,0.8,0.06,0.15999999999999998,0.43999999999999995,0.26537374235093775
measurement_noise_0.850,measurement_noise,0.85,8,10,0.1,0.0,0.9,0.0,0.22,0.8,0.06,0.12666666666666665,0.33999999999999997,0.1610769684338968
measurement_noise_0.850,measurement_noise,0.85,8,20,0.2,0.1,0.8,0.1,0.22,0.8,0.06,0.05333333333333334,0.12999999999999998,0.03574084382213085
measurement_noise_0.850,measurement_noise,0.85,9,5,0.2,0.2,0.8,0.0,0.22,0.8,0.06,0.02666666666666666,0.05999999999999997,0.030877411748955877
measurement_noise_0.850,measurement_noise,0.85,9,10,0.1,0.1,0.9,0.0,0.22,0.8,0.06,0.09333333333333332,0.23999999999999996,0.06597147475878157
measurement_noise_0.850,measurement_noise,0.85,9,20,0.1,0.25,0.9,0.0,0.22,0.8,0.06,0.06333333333333332,0.16,0.04880063534177144
measurement_noise_0.850,measurement_noise,0.85,10,5,0.0,0.0,1.0,0.0,0.22,0.8,0.06,0.15999999999999998,0.43999999999999995,0.26537374235093775
measurement_noise_0.850,measurement_noise,0.85,10,10,0.0,0.2,1.0,0.1,0.22,0.8,0.06,0.08666666666666666,0.23999999999999996,0.14700056906728182
measurement_noise_0.850,measurement_noise,0.85,10,20,0.1,0.25,0.9,0.1,0.22,0.8,0.06,0.056666666666666664,0.09999999999999998,0.018325394048230345
measurement_noise_0.850,measurement_noise,0.85,11,5,0.2,0.0,0.8,0.2,0.22,0.8,0.06,0.12000000000000001,0.21999999999999995,0.17215291112332634
measurement_noise_0.850,measurement_noise,0.85,11,10,0.3,0.0,0.7,0.1,0.22,0.8,0.06,0.12000000000000004,0.21999999999999995,0.13875858577212435
measurement_noise_0.850,measurement_noise,0.85,11,20,0.2,0.2,0.8,0.1,0.22,0.8,0.06,0.02,0.04000000000000001,0.0062098660848518205
