condition,true_class,seed,policy,selected_action,parameter_learning_scale,process_uncertainty_scale,allow_commitment,allow_structural_intervention,reference_p_pass,reference_p_fail_A,reference_p_fail_C,reference_p_fail_S,post_event_state_rmse,post_event_parameter_rmse,final_parameter_error,cumulative_abs_parameter_update,mean_post_event_nis,recovered,recovery_time
measurement_noise_0.850,measurement_noise,38000,baseline,normal,1.0,1.0,True,True,0.2,0.22,0.8,0.06,0.4477658406730966,0.008295871648802154,0.011830442344242798,0.9676117986638719,1.2044277419506748,True,0
measurement_noise_0.850,measurement_noise,38000,generic_uncertainty,generic_uncertainty,1.0,1.5,False,False,0.2,0.22,0.8,0.06,0.4612944439321577,0.008309613980069956,0.011257813664413141,0.9717998465430931,1.1653385649009367,True,0
measurement_noise_0.850,measurement_noise,38000,failure_aware,coverage_wait,1.0,1.1,False,False,0.2,0.22,0.8,0.06,0.450594820997129,0.008301613252884636,0.011713678758240587,0.9687094316397221,1.1957714715890015,True,0
measurement_noise_0.850,measurement_noise,38001,baseline,normal,1.0,1.0,True,True,0.2,0.22,0.8,0.06,0.3250245646039274,0.008198684666299456,0.012176383589063366,0.8193331139581036,1.021236979203755,True,0
measurement_noise_0.850,measurement_noise,38001,generic_uncertainty,generic_uncertainty,1.0,1.5,False,False,0.2,0.22,0.8,0.06,0.33261021434012833,0.00796920262911739,0.011766475789615427,0.8130387027102373,0.9782822942425438,True,0
measurement_noise_0.850,measurement_noise,38001,failure_aware,coverage_wait,1.0,1.1,False,False,0.2,0.22,0.8,0.06,0.3263643957913755,0.008138349002289838,0.012069756276832266,0.8178776400127269,1.011010073137342,True,0
measurement_noise_0.850,measurement_noise,38002,baseline,normal,1.0,1.0,True,True,0.2,0.22,0.8,0.06,0.1606303398756859,0.004998132281794646,0.009728694563218676,0.7425711440438348,0.6769404127483869,True,0
measurement_noise_0.850,measurement_noise,38002,generic_uncertainty,generic_uncertainty,1.0,1.5,False,False,0.2,0.22,0.8,0.06,0.16147149445524678,0.004949709044161196,0.010324142013692361,0.7411119286761735,0.6626182453776698,True,0
measurement_noise_0.850,measurement_noise,38002,failure_aware,coverage_wait,1.0,1.1,False,False,0.2,0.22,0.8,0.06,0.16027133540589766,0.004983225355065211,0.009865433660653733,0.7421224127247636,0.673528068584876,True,0
measurement_noise_0.850,measurement_noise,38003,baseline,normal,1.0,1.0,True,True,0.2,0.22,0.8,0.06,0.3178402861553348,0.007269136729782132,0.006864471478665313,0.8330165496147304,0.7602619601781342,True,0
measurement_noise_0.850,measurement_noise,38003,generic_uncertainty,generic_uncertainty,1.0,1.5,False,False,0.2,0.22,0.8,0.06,0.32078059065602127,0.007193043559658268,0.006969584468309753,0.8256993472258582,0.7422206891830665,True,0
measurement_noise_0.850,measurement_noise,38003,failure_aware,coverage_wait,1.0,1.1,False,False,0.2,0.22,0.8,0.06,0.31822289905717555,0.007247242447256876,0.006880425192911321,0.8310911672016515,0.7560184241435538,True,0
measurement_noise_0.850,measurement_noise,38004,baseline,normal,1.0,1.0,True,True,0.2,0.22,0.8,0.06,0.2693329187630445,0.008215509016633137,0.0039845305514178975,0.9546527128303083,1.2954216216344998,True,0
measurement_noise_0.850,measurement_noise,38004,generic_uncertainty,generic_uncertainty,1.0,1.5,False,False,0.2,0.22,0.8,0.06,0.2934816190787145,0.008272648878514994,0.004162087211537657,0.9530903125592753,1.2553297898612215,True,0
measurement_noise_0.850,measurement_noise,38004,failure_aware,coverage_wait,1.0,1.1,False,False,0.2,0.22,0.8,0.06,0.27452946967163233,0.008222926074193185,0.004024865736918848,0.9540624601445998,1.2861768854274682,True,0
measurement_noise_0.850,measurement_noise,38005,baseline,normal,1.0,1.0,True,True,0.2,0.22,0.8,0.06,0.5291256584720475,0.008581371147829446,0.0028504957496959804,0.8263617788510695,1.0308818778132292,True,0
measurement_noise_0.850,measurement_noise,38005,generic_uncertainty,generic_uncertainty,1.0,1.5,False,False,0.2,0.22,0.8,0.06,0.5405729615192159,0.008467800187194516,0.0027288220182034584,0.823865818248564,0.9923211701499863,True,0
measurement_noise_0.850,measurement_noise,38005,failure_aware,coverage_wait,1.0,1.1,False,False,0.2,0.22,0.8,0.06,0.5314505912760202,0.008552203654279231,0.002820006843043843,0.8256985074510625,1.0219645659551855,True,0
measurement_noise_0.850,measurement_noise,38006,baseline,normal,1.0,1.0,True,True,0.2,0.22,0.8,0.06,0.3882774655537581,0.009193970329423862,0.002532869471719379,0.8551322615121989,1.1465144773163127,True,0
measurement_noise_0.850,measurement_noise,38006,generic_uncertainty,generic_uncertainty,1.0,1.5,False,False,0.2,0.22,0.8,0.06,0.3880294046004368,0.008632340371871987,0.003574426937191566,0.8465722866270834,1.0935203751498421,True,0
measurement_noise_0.850,measurement_noise,38006,failure_aware,coverage_wait,1.0,1.1,False,False,0.2,0.22,0.8,0.06,0.38773616693188906,0.009057366199639072,0.002775802772413183,0.8530918803559469,1.1339701385662324,True,0
measurement_noise_0.850,measurement_noise,38007,baseline,normal,1.0,1.0,True,True,0.2,0.22,0.8,0.06,0.3169569309669729,0.007433768089444305,0.002158313686795754,0.7604057286429274,0.8604459088293156,True,0
measurement_noise_0.850,measurement_noise,38007,generic_uncertainty,generic_uncertainty,1.0,1.5,False,False,0.2,0.22,0.8,0.06,0.3207961884230597,0.007260047109747451,0.0017935508479952622,0.7557291424183068,0.8286558564556941,True,0
measurement_noise_0.850,measurement_noise,38007,failure_aware,coverage_wait,1.0,1.1,False,False,0.2,0.22,0.8,0.06,0.3172538804069716,0.00738966619026271,0.00207495105932487,0.7592350000513838,0.8531044546970181,True,0
measurement_noise_0.850,measurement_noise,38008,baseline,normal,1.0,1.0,True,True,0.2,0.22,0.8,0.06,0.42349299564759135,0.010164370536782891,0.013658771540868142,0.9542912081856987,1.0114932677597837,True,0
measurement_noise_0.850,measurement_noise,38008,generic_uncertainty,generic_uncertainty,1.0,1.5,False,False,0.2,0.22,0.8,0.06,0.4240246263721473,0.00978939557832004,0.013459691865843504,0.9435671241610705,0.9690085015132819,True,0
measurement_noise_0.850,measurement_noise,38008,failure_aware,coverage_wait,1.0,1.1,False,False,0.2,0.22,0.8,0.06,0.42317063134704697,0.010071877418165932,0.013619727871375664,0.9515670778812817,1.0013069146005489,True,0
measurement_noise_0.850,measurement_noise,38009,baseline,normal,1.0,1.0,True,True,0.2,0.22,0.8,0.06,0.3616259143426475,0.008862773276758556,0.007509089370901112,0.9527797689528584,1.3484465294411245,True,0
measurement_noise_0.850,measurement_noise,38009,generic_uncertainty,generic_uncertainty,1.0,1.5,False,False,0.2,0.22,0.8,0.06,0.37085542171035224,0.008724674343525144,0.007779810482510974,0.9497952052119544,1.3049243297173594,True,0
measurement_noise_0.850,measurement_noise,38009,failure_aware,coverage_wait,1.0,1.1,False,False,0.2,0.22,0.8,0.06,0.36361598251993027,0.008827724583167822,0.007575390879831279,0.9517782122570574,1.3385551142991456,True,0
measurement_noise_0.850,measurement_noise,38010,baseline,normal,1.0,1.0,True,True,0.2,0.22,0.8,0.06,0.4465921468726958,0.009129023042663699,0.0009373070768892156,0.8723898856193103,0.6949536051662116,True,0
measurement_noise_0.850,measurement_noise,38010,generic_uncertainty,generic_uncertainty,1.0,1.5,False,False,0.2,0.22,0.8,0.06,0.44032443188602693,0.008808134770517171,0.0011674260454251906,0.8691849122510733,0.6658899491718747,True,0
measurement_noise_0.850,measurement_noise,38010,failure_aware,coverage_wait,1.0,1.1,False,False,0.2,0.22,0.8,0.06,0.44488259092860716,0.00905404557854909,0.000987775813365288,0.8714983124191529,0.6882426627358522,True,0
measurement_noise_0.850,measurement_noise,38011,baseline,normal,1.0,1.0,True,True,0.2,0.22,0.8,0.06,0.4082854527743869,0.008755190444969868,0.002586297740117982,0.8644888010314415,1.0749701752693732,True,0
measurement_noise_0.850,measurement_noise,38011,generic_uncertainty,generic_uncertainty,1.0,1.5,False,False,0.2,0.22,0.8,0.06,0.40796079786992606,0.008556126633006282,0.002454565205058601,0.8620229560731982,1.0347114377453943,True,0
measurement_noise_0.850,measurement_noise,38011,failure_aware,coverage_wait,1.0,1.1,False,False,0.2,0.22,0.8,0.06,0.40805581937159086,0.008707096937202322,0.0025588951873309895,0.8637865333627243,1.0657604193257773,True,0
measurement_noise_0.850,measurement_noise,38012,baseline,normal,1.0,1.0,True,True,0.2,0.22,0.8,0.06,0.4171859207776639,0.007309035154451492,0.0049355033972003914,0.7897551188826175,0.7891003697298863,True,0
measurement_noise_0.850,measurement_noise,38012,generic_uncertainty,generic_uncertainty,1.0,1.5,False,False,0.2,0.22,0.8,0.06,0.4039448720049833,0.007156006194526142,0.005089905399347838,0.7857029211475942,0.7780326563091992,True,0
measurement_noise_0.850,measurement_noise,38012,failure_aware,coverage_wait,1.0,1.1,False,False,0.2,0.22,0.8,0.06,0.41391692500493077,0.007267693567637848,0.004972239472552542,0.7883770660282634,0.7865838754319723,True,0
measurement_noise_0.850,measurement_noise,38013,baseline,normal,1.0,1.0,True,True,0.2,0.22,0.8,0.06,0.2501353638003563,0.006099624259273824,0.0023557405457522718,0.8610772003518541,0.8408227885436146,True,0
measurement_noise_0.850,measurement_noise,38013,generic_uncertainty,generic_uncertainty,1.0,1.5,False,False,0.2,0.22,0.8,0.06,0.2607237416220146,0.00594767049010948,0.0025816348399044786,0.8514824368858211,0.8192565733416943,True,0
measurement_noise_0.850,measurement_noise,38013,failure_aware,coverage_wait,1.0,1.1,False,False,0.2,0.22,0.8,0.06,0.2523147467075589,0.00605954032475132,0.0024023251439342364,0.8588151464192625,0.8358083403247204,True,0
measurement_noise_0.850,measurement_noise,38014,baseline,normal,1.0,1.0,True,True,0.2,0.22,0.8,0.06,0.5142719583582825,0.008329786037370134,0.02065724157115223,0.8531928840705282,0.8831816017373944,True,0
measurement_noise_0.850,measurement_noise,38014,generic_uncertainty,generic_uncertainty,1.0,1.5,False,False,0.2,0.22,0.8,0.06,0.5205899291043657,0.008084320243782743,0.020736678279079657,0.8528166806459695,0.8468619166062162,True,0
measurement_noise_0.850,measurement_noise,38014,failure_aware,coverage_wait,1.0,1.1,False,False,0.2,0.22,0.8,0.06,0.5155216209609461,0.008268704501429545,0.02068823263375208,0.8531570070787271,0.8747760270673076,True,0
measurement_noise_0.850,measurement_noise,38015,baseline,normal,1.0,1.0,True,True,0.2,0.22,0.8,0.06,0.47347300487524757,0.008488331067216021,0.004635499830954792,0.8656565534533615,0.9395039848478632,True,0
measurement_noise_0.850,measurement_noise,38015,generic_uncertainty,generic_uncertainty,1.0,1.5,False,False,0.2,0.22,0.8,0.06,0.4823319636372358,0.0082786653376099,0.005538457481335413,0.8560543386327297,0.9008634418194177,True,0
measurement_noise_0.850,measurement_noise,38015,failure_aware,coverage_wait,1.0,1.1,False,False,0.2,0.22,0.8,0.06,0.47526355031876616,0.008437759419228632,0.004861403863358538,0.8633648863018734,0.9304902565514831,True,0
measurement_noise_0.850,measurement_noise,38016,baseline,normal,1.0,1.0,True,True,0.2,0.22,0.8,0.06,0.22966100359785013,0.006670072446398552,0.0032082082237594456,0.9082614272127408,0.8741838588875406,True,0
measurement_noise_0.850,measurement_noise,38016,generic_uncertainty,generic_uncertainty,1.0,1.5,False,False,0.2,0.22,0.8,0.06,0.23394343608640314,0.006630320223670215,0.0028670220963817883,0.9013539877976647,0.8567319858754265,True,0
measurement_noise_0.850,measurement_noise,38016,failure_aware,coverage_wait,1.0,1.1,False,False,0.2,0.22,0.8,0.06,0.2297523428999688,0.006650173315718918,0.003124698740736287,0.906562705287393,0.8699214770879619,True,0
measurement_noise_0.850,measurement_noise,38017,baseline,normal,1.0,1.0,True,True,0.2,0.22,0.8,0.06,0.36886700836806385,0.006449482542534285,0.01449059795278329,0.8476844915366597,0.8372307795386889,True,0
measurement_noise_0.850,measurement_noise,38017,generic_uncertainty,generic_uncertainty,1.0,1.5,False,False,0.2,0.22,0.8,0.06,0.37685088459146165,0.006417601259836281,0.013976149956029693,0.8370581062274522,0.8278119402847216,True,0
measurement_noise_0.850,measurement_noise,38017,failure_aware,coverage_wait,1.0,1.1,False,False,0.2,0.22,0.8,0.06,0.3706126353484229,0.00644319437337179,0.014368069388858484,0.844892529459899,0.8354033137663276,True,0
measurement_noise_0.850,measurement_noise,38018,baseline,normal,1.0,1.0,True,True,0.2,0.22,0.8,0.06,0.30899552257793733,0.007274930712428727,0.008927930926416194,0.8603253767699506,1.1050893085990274,True,0
measurement_noise_0.850,measurement_noise,38018,generic_uncertainty,generic_uncertainty,1.0,1.5,False,False,0.2,0.22,0.8,0.06,0.3283020718160998,0.00717395278321708,0.008322660061287013,0.854411864801339,1.0664028089287427,True,0
measurement_noise_0.850,measurement_noise,38018,failure_aware,coverage_wait,1.0,1.1,False,False,0.2,0.22,0.8,0.06,0.3131680960917296,0.007243979819301327,0.008783580640551625,0.8584585671092256,1.0962330080251128,True,0
measurement_noise_0.850,measurement_noise,38019,baseline,normal,1.0,1.0,True,True,0.2,0.22,0.8,0.06,0.49623870801915804,0.010163904112266968,0.004210623917270007,0.910510099325059,1.2100866119496216,True,0
measurement_noise_0.850,measurement_noise,38019,generic_uncertainty,generic_uncertainty,1.0,1.5,False,False,0.2,0.22,0.8,0.06,0.5184024229337745,0.010122664128209549,0.002931438324477287,0.9045074939338221,1.1420696617048798,True,0
measurement_noise_0.850,measurement_noise,38019,failure_aware,coverage_wait,1.0,1.1,False,False,0.2,0.22,0.8,0.06,0.5013489186210276,0.010152468760213876,0.003897824772984948,0.9090228957293303,1.1936663825649099,True,0
measurement_noise_0.850,measurement_noise,38020,baseline,normal,1.0,1.0,True,True,0.2,0.22,0.8,0.06,0.26626625993356967,0.006753238816985974,0.009103008738146734,0.9368676108802471,0.9647392327810043,True,0
measurement_noise_0.850,measurement_noise,38020,generic_uncertainty,generic_uncertainty,1.0,1.5,False,False,0.2,0.22,0.8,0.06,0.2782621430741981,0.006753810592887527,0.009050765640332581,0.9321311045558341,0.9308689254533125,True,0
measurement_noise_0.850,measurement_noise,38020,failure_aware,coverage_wait,1.0,1.1,False,False,0.2,0.22,0.8,0.06,0.2684959354541638,0.00675151535660821,0.009095909629284527,0.9358003300457804,0.9569596554554829,True,0
measurement_noise_0.850,measurement_noise,38021,baseline,normal,1.0,1.0,True,True,0.2,0.22,0.8,0.06,0.42117226933255897,0.009943165840977555,0.006537081526099775,0.9006339556717793,1.3458087662576106,True,0
measurement_noise_0.850,measurement_noise,38021,generic_uncertainty,generic_uncertainty,1.0,1.5,False,False,0.2,0.22,0.8,0.06,0.4292378032017655,0.009463155929970818,0.005365321847055293,0.8942791951774699,1.2655048992956124,True,0
measurement_noise_0.850,measurement_noise,38021,failure_aware,coverage_wait,1.0,1.1,False,False,0.2,0.22,0.8,0.06,0.42233661668319816,0.009825683217152706,0.006244873554378527,0.8992605945019624,1.326814325958888,True,0
measurement_noise_0.850,measurement_noise,38022,baseline,normal,1.0,1.0,True,True,0.2,0.22,0.8,0.06,0.4273090182825222,0.009426125199980555,0.006623141957970202,0.9166015169724171,1.1114711791292873,True,0
measurement_noise_0.850,measurement_noise,38022,generic_uncertainty,generic_uncertainty,1.0,1.5,False,False,0.2,0.22,0.8,0.06,0.4297796701832766,0.009030063389493853,0.00573792934508377,0.9113180296161696,1.0677069868418103,True,0
measurement_noise_0.850,measurement_noise,38022,failure_aware,coverage_wait,1.0,1.1,False,False,0.2,0.22,0.8,0.06,0.4273220097106424,0.009328766241797867,0.0064020054302862395,0.9151785716686428,1.1012201369081829,True,0
measurement_noise_0.850,measurement_noise,38023,baseline,normal,1.0,1.0,True,True,0.2,0.22,0.8,0.06,0.48878879280522425,0.010414654522952779,0.0064248760738703226,0.8318165371275993,0.9154685038105471,True,0
measurement_noise_0.850,measurement_noise,38023,generic_uncertainty,generic_uncertainty,1.0,1.5,False,False,0.2,0.22,0.8,0.06,0.48234471539450435,0.009927370309961759,0.0060533658650485656,0.8266713798754899,0.8736802012507211,True,0
measurement_noise_0.850,measurement_noise,38023,failure_aware,coverage_wait,1.0,1.1,False,False,0.2,0.22,0.8,0.06,0.4867761206192373,0.010292708081627033,0.006335065111337079,0.8304385881949412,0.9052808893580104,True,0
