predictor,population_count,correlation_with_transition_weight,absolute_correlation
delta_action_entropy,8,-0.7666166666645313,0.7666166666645313
action_entropy_040,8,-0.6979605916710359,0.6979605916710359
action_entropy_035,8,-0.6752792065966475,0.6752792065966475
under_count_035,8,-0.6261537322631879,0.6261537322631879
under_count_040,8,-0.6261326607654399,0.6261326607654399
delta_mean_regret,8,0.6257696743131193,0.6257696743131193
mean_regret_035,8,-0.5759629300840847,0.5759629300840847
mean_regret_040,8,-0.5439968609533024,0.5439968609533024
over_count_035,8,0.45215511652094326,0.45215511652094326
over_count_040,8,0.4379645763141625,0.4379645763141625
delta_under_count,8,0.3286380069630602,0.3286380069630602
delta_over_count,8,-0.32821902305696976,0.32821902305696976
