population,lower_policy,upper_policy,lower_multiplier,upper_multiplier,regret_term,under_term,over_term,entropy_term,performance_term,responsiveness_term,analytic_transition_weight
seed_100_139,two_stage_0.30,two_stage_0.35,0.3,0.35,0.2399440087633779,0.24904336734693905,-0.18194706994328816,-0.11953163102489132,0.48898737611031695,-0.30147870096817947,0.616536777219715
seed_100_139,two_stage_0.35,two_stage_0.40,0.35,0.4,0.19155880188164864,0.194834183673469,-0.1968631852551998,-0.18161195861342924,0.38639298555511764,-0.378475143868629,0.9795083192954103
seed_200_239,two_stage_0.30,two_stage_0.35,0.3,0.35,0.22493186214735578,0.2708949207202353,-0.14355677992041674,-0.12695349834532016,0.4958267828675911,-0.2705102782657369,0.5455741553557341
seed_200_239,two_stage_0.35,two_stage_0.40,0.35,0.4,0.2980232955458657,0.27062617575920506,-0.2269411284562795,-0.16096297361220654,0.5686494713050707,-0.387904102068486,0.6821497629782938
seed_300_339,two_stage_0.30,two_stage_0.35,0.3,0.35,0.17297226402646404,0.1854563817699787,-0.13845731204786255,-0.14933740417378527,0.35842864579644274,-0.2877947162216478,0.8029344741187091
seed_300_339,two_stage_0.35,two_stage_0.40,0.35,0.4,0.20032631269946605,0.19429364979169272,-0.29983822227648627,-0.2575109702001265,0.39461996249115877,-0.5573491924766127,1.4123694831811755
seed_400_439,two_stage_0.30,two_stage_0.35,0.3,0.35,0.2285283034305982,0.21524234693877609,-0.19312065450032212,-0.17191973182283543,0.4437706503693743,-0.36504038632315755,0.8225879427116568
seed_400_439,two_stage_0.35,two_stage_0.40,0.35,0.4,0.20504423875814531,0.23214285714285685,-0.22024797051709155,-0.20502968492899018,0.43718709590100213,-0.42527765544608176,0.9727589387550972
seed_500_539,two_stage_0.30,two_stage_0.35,0.3,0.35,0.382750317565944,0.33818938605619164,-0.1424976407675374,-0.13952694633877324,0.7209397036221357,-0.2820245871063106,0.3911902558416001
seed_500_539,two_stage_0.35,two_stage_0.40,0.35,0.4,0.09457574554688114,0.11099549080818588,-0.1835911807601017,-0.1898220115808944,0.20557123635506702,-0.3734131923409961,1.8164661504298631
seed_600_639,two_stage_0.30,two_stage_0.35,0.3,0.35,0.3441274511150126,0.30286641427798816,-0.1857270382860547,-0.18002361062094396,0.6469938653930007,-0.36575064890699865,0.5653077540153063
seed_600_639,two_stage_0.35,two_stage_0.40,0.35,0.4,0.130072784833836,0.1297998918334234,-0.21662368577663121,-0.21634098485922917,0.2598726766672594,-0.4329646706358604,1.666064613596249
seed_700_739,two_stage_0.30,two_stage_0.35,0.3,0.35,0.24457838544640664,0.2415166204986151,-0.14878121284185525,-0.1649322132709109,0.48609500594502175,-0.31371342611276615,0.6453747153869088
seed_700_739,two_stage_0.35,two_stage_0.40,0.35,0.4,0.20886332157463122,0.17174515235457108,-0.23781212841854918,-0.25035448635891316,0.3806084739292023,-0.48816661477746237,1.2825952342518447
seed_800_839,two_stage_0.30,two_stage_0.35,0.3,0.35,0.2692206297980016,0.22981901752370054,-0.16726503522288427,-0.15683614068529622,0.49903964732170214,-0.3241011759081805,0.6494497534366265
seed_800_839,two_stage_0.35,two_stage_0.40,0.35,0.4,-0.023241662999235985,0.24820453892559602,-0.2018280967998605,-0.2773181250029626,0.22496287592636002,-0.47914622180282307,2.1298901866798152
