policy,accuracy,mean_loss,mean_regret,median_regret,max_regret,zero_regret_fraction,regret_gt_0_005_fraction,under_count,over_count,exact_count,action_entropy,dominant_action_fraction,deviation_from_direct,seed,dataset_fingerprint,context_count,train_count,test_count,pareto_efficient
direct_loss,0.30666666666666664,0.12079127221943481,0.01380249028098838,0.0,0.12064132304567521,0.7333333333333333,0.24,19,33,23,0.9851223962447977,0.41333333333333333,0.0,100,f762dc10d03de0c5087494809dd246fe6b75ef2ccc0456c90e87f2cc873fba14,247,172,75,1
fixed_risk_0.010,0.2,0.11883153565355656,0.011842753715110132,0.0,0.12064132304567521,0.76,0.21333333333333335,16,44,15,0.8868841089973771,0.56,0.29333333333333333,100,f762dc10d03de0c5087494809dd246fe6b75ef2ccc0456c90e87f2cc873fba14,247,172,75,1
two_stage_0.25,0.25333333333333335,0.1188759516578212,0.011887169719374755,0.0,0.12064132304567521,0.76,0.21333333333333335,17,39,19,0.9041221332850052,0.5066666666666667,0.2,100,f762dc10d03de0c5087494809dd246fe6b75ef2ccc0456c90e87f2cc873fba14,247,172,75,1
two_stage_0.30,0.25333333333333335,0.11913515620635291,0.012146374267906478,0.0,0.12064132304567521,0.76,0.21333333333333335,17,39,19,0.8710491700166213,0.5333333333333333,0.22666666666666666,100,f762dc10d03de0c5087494809dd246fe6b75ef2ccc0456c90e87f2cc873fba14,247,172,75,0
two_stage_0.35,0.25333333333333335,0.11784274868307235,0.010853966744625913,0.0,0.12064132304567521,0.76,0.21333333333333335,16,40,19,0.8654340595329939,0.5466666666666666,0.25333333333333335,100,f762dc10d03de0c5087494809dd246fe6b75ef2ccc0456c90e87f2cc873fba14,247,172,75,1
two_stage_0.40,0.25333333333333335,0.11599834852204462,0.009009566583598179,0.0,0.12064132304567521,0.7866666666666666,0.18666666666666668,14,42,19,0.8623147507020252,0.5733333333333334,0.30666666666666664,100,f762dc10d03de0c5087494809dd246fe6b75ef2ccc0456c90e87f2cc873fba14,247,172,75,1
two_stage_0.45,0.25333333333333335,0.11599834852204462,0.009009566583598179,0.0,0.12064132304567521,0.7866666666666666,0.18666666666666668,14,42,19,0.8623147507020252,0.5733333333333334,0.30666666666666664,100,f762dc10d03de0c5087494809dd246fe6b75ef2ccc0456c90e87f2cc873fba14,247,172,75,1
two_stage_0.50,0.24,0.11599834852204462,0.009009566583598179,0.0,0.12064132304567521,0.7866666666666666,0.18666666666666668,14,43,18,0.8710162215575128,0.5733333333333334,0.32,100,f762dc10d03de0c5087494809dd246fe6b75ef2ccc0456c90e87f2cc873fba14,247,172,75,1
fixed_k3,0.16,0.10950276621338635,0.0025139842749399136,0.0,0.043300331005323614,0.9066666666666666,0.09333333333333334,0,63,12,0.0,1.0,0.68,100,f762dc10d03de0c5087494809dd246fe6b75ef2ccc0456c90e87f2cc873fba14,247,172,75,0
oracle,1.0,0.10698878193844644,0.0,0.0,0.0,1.0,0.0,0,0,75,0.8576422670050818,0.6,0.6933333333333334,100,f762dc10d03de0c5087494809dd246fe6b75ef2ccc0456c90e87f2cc873fba14,247,172,75,0
direct_loss,0.2987012987012987,0.15266197797976933,0.020491811405401055,0.0,0.12175421184763124,0.6623376623376623,0.3246753246753247,25,29,23,0.8969989627552049,0.5584415584415584,0.0,101,3310eefb4ea2f6c4e71aac7da31dcf576fd0a00efede0badf800406176614137,256,179,77,1
fixed_risk_0.010,0.16883116883116883,0.15144880601038999,0.019278639436021695,0.0,0.12175421184763124,0.6883116883116883,0.2987012987012987,23,41,13,0.6780296695113165,0.5584415584415584,0.2987012987012987,101,3310eefb4ea2f6c4e71aac7da31dcf576fd0a00efede0badf800406176614137,256,179,77,0
two_stage_0.25,0.19480519480519481,0.15144880601038999,0.019278639436021695,0.0,0.12175421184763124,0.6883116883116883,0.2987012987012987,23,39,15,0.7222140980625457,0.5194805194805194,0.2597402597402597,101,3310eefb4ea2f6c4e71aac7da31dcf576fd0a00efede0badf800406176614137,256,179,77,1
