seed,context_count,fingerprint
700,260,fd77c702d1cd267cb7b90cb19cc3a21a4395276ee9466c424d9361d4c1dc5719
701,247,cc7294ebe4223e314299940f1219b09cbb5a761fa4d1816a35f31f03197c35ef
702,258,bf9f65925a7f0376ef9d2b35b2742c86b4093eeff6e47be9e8f7bee3651f6bef
703,256,9af2215bab0274d50bfb81f087fd803e87b27940a7461494cd48765145f770c4
704,254,918b8bda3d915cfda23407e6482b93916727de7e3002aaffca92da4ac27c1ef5
705,266,b4f79b407a53b14be606a3ba942ce6f54e8a9958be62545a935cc7f816aed653
706,259,6ca7666596497b9dfc4215307edcc5a41ba8e4213ceb11f2077bd9f45549a5b1
707,259,4f31606cb1d1596411a15e1dd3db676a7446904f541f627322ce65621236cae1
708,263,87e513528d28490fb5f85a704fbd293c28265967aa4e6b17c0d087490588d235
709,256,694b8a11e7903da8b00da4ca59511609f65d949e09688a55bca9c1fd11854d2e
710,250,fa6e5dfd3dad5fbb501c266ac3faf0ec2250f6acd216d165da5ec43bc5b3b770
711,247,148d8824c2d98c9684b38e1fe2707aaea2b0ef0a1b2758e2c233f088bdbd3b86
712,222,bd12e293cca1fa8c8c3b1a241b53812c7ac0dd44349cf58b60a532fa77914c5c
713,267,ed1a38bdf56c7b199f9c5b04d39b926272f56a68b549def9afbbab223853a3b7
714,280,f37611e2504fa35e4bf5f9b9ce73705615a3ec26a200b88125a3f164918a9a25
715,281,0196a8719c683f3e853b19d05db587664941b310a54445d0d7ef4cad8d68477b
716,305,2bea331233e000cd9b8d6b2829bf6b22e8117d89451dfc11bf760d735b7200d8
717,281,c18ec7140976e347f4449dbc5d21e5a8951993ad20953d98f354c34cc8d163df
718,278,976cb3ae1cc9f247f69a758dec2166275f9b0d576dadddbd14ab13c7bab8ce03
719,275,f9621f5d6e63a402dfbffe30f2e33d1f2f4b380fc708618164dc2b5b3fafb3c8
720,273,daebb9c5d480a6efd70d2b53c7a2c9956ef2d5a1f44bb05b445f378c89101677
721,246,29699e93381af74a1fe183140bd83d50e9aba420df03f7527a8e224a178ee3fa
722,245,f028a24071d5325870c995912dbc6a0f394ff622fafd30b6b42076e612fa440a
723,275,e29df29df48f9e6ef7294ec28006111823ccf2691a936f898c1745f2df91de35
724,275,a0633d1f4119dbdf2d2fce7d1716e88777ea3c4832819aca424945b3962168eb
725,276,a43924ef68ea59544074068ceaa99f164d9e85d82bb0a478ed33144fe45ef143
726,280,b7ac643a25ebbc004fcd6173e24156a9e58b09e44e2046542c1976c86c00492c
727,268,7e18906d12c34034ab0720f8c1b142b8fcfa7458fe4c34babd33da05a7ac4a77
728,271,96c508c8a8c499e699fe255feef8e919bb8a560b0aacaa18624ed750c4b66e18
729,228,c613af5d7598c204a6c3501f508c8632995d9bf538315125d5f7ae1eda7bccf0
730,255,703e7bf4b00bb1263d58a5960030b574501a94c1dc8564be8918c83358f970ed
731,249,3231cd4933205accd50d1f8e612d12d9afdb98f3745c194c38c1f0e01c858699
732,225,904a5cc73493e6943de528b1f26e6d5ab61bbb71a5edebe9fae7fe8ecbaed108
733,224,9ec925516c4aba421a732797b1dd76447d17071e256036be7b0d83db0dc756c3
734,217,00dfb62c921b843927c0714b2b3d7e34aadc9a627a50c85cda7b8d90aea4b59f
735,271,97dcb84482c47d0f7cdb696b1aa14a4222c328c8e6bfd8a7614d87d3178641f4
736,232,a55b90002248f42f187fc575a3b2e92453a9fa7561939fe007c130eb644540e2
737,221,92ad7064ed9553fbe2ff4b6badc740e19c9db5e5e4d1a1db590feee7d61e183a
738,228,ba9d2a7396b31d7de546be6bdc4dd3baf3ad0cb96c68f480856adf609839d902
739,227,275815f93e29975e4871dd57db4f13f65332e9cdb055a753dc36aed66c0a3d84
