population,performance_weight,responsiveness_weight,weight_ratio,policy,multiplier,weighted_distance,selected
seed_100_139,0.25,1.0,0.25,two_stage_0.25,0.25,0.4472135954999579,0
seed_100_139,0.25,1.0,0.25,two_stage_0.30,0.3,0.39117939762927645,1
seed_100_139,0.25,1.0,0.25,two_stage_0.35,0.35,0.4740401500989591,0
seed_100_139,0.25,1.0,0.25,two_stage_0.40,0.4,0.5809172255130532,0
seed_100_139,0.25,1.0,0.25,two_stage_0.45,0.45,0.7050804044065923,0
seed_100_139,0.25,1.0,0.25,two_stage_0.50,0.5,0.8944271909999159,0
seed_100_139,0.3,1.0,0.3,two_stage_0.25,0.25,0.48038446141526137,0
seed_100_139,0.3,1.0,0.3,two_stage_0.30,0.3,0.40872404239835297,1
seed_100_139,0.3,1.0,0.3,two_stage_0.35,0.35,0.47601162700111893,0
seed_100_139,0.3,1.0,0.3,two_stage_0.40,0.4,0.5723378600451464,0
seed_100_139,0.3,1.0,0.3,two_stage_0.45,0.45,0.6922315394256001,0
seed_100_139,0.3,1.0,0.3,two_stage_0.50,0.5,0.8770580193070292,0
seed_100_139,0.35,1.0,0.35,two_stage_0.25,0.25,0.5091750772173156,0
seed_100_139,0.35,1.0,0.35,two_stage_0.30,0.3,0.4243227632074147,1
seed_100_139,0.35,1.0,0.35,two_stage_0.35,0.35,0.47782981599476787,0
seed_100_139,0.35,1.0,0.35,two_stage_0.40,0.4,0.5642777088058684,0
seed_100_139,0.35,1.0,0.35,two_stage_0.45,0.45,0.6801180398685104,0
seed_100_139,0.35,1.0,0.35,two_stage_0.50,0.5,0.8606629658238704,0
seed_100_139,0.4,1.0,0.4,two_stage_0.25,0.25,0.5345224838248488,0
seed_100_139,0.4,1.0,0.4,two_stage_0.30,0.3,0.4383105016752627,1
seed_100_139,0.4,1.0,0.4,two_stage_0.35,0.35,0.4795119613377566,0
seed_100_139,0.4,1.0,0.4,two_stage_0.40,0.4,0.5566887975955084,0
seed_100_139,0.4,1.0,0.4,two_stage_0.45,0.45,0.6686733264933642,0
seed_100_139,0.4,1.0,0.4,two_stage_0.50,0.5,0.8451542547285166,0
seed_100_139,0.45,1.0,0.45,two_stage_0.25,0.25,0.5570860145311556,0
seed_100_139,0.45,1.0,0.45,two_stage_0.30,0.3,0.45094370663518835,1
seed_100_139,0.45,1.0,0.45,two_stage_0.35,0.35,0.4810728092878841,0
seed_100_139,0.45,1.0,0.45,two_stage_0.40,0.4,0.5495290582802267,0
seed_100_139,0.45,1.0,0.45,two_stage_0.45,0.45,0.657838943275199,0
seed_100_139,0.45,1.0,0.45,two_stage_0.50,0.5,0.8304547985373997,0
