context_index,best_persistence,second_persistence,worst_persistence,loss_k1,loss_k2,loss_k3,best_loss,second_loss,worst_loss,absolute_margin,relative_margin,total_spread,relative_spread,benefit_probability,release_probability,anchor_age,trigger_score,feature_distance,current_mismatch_indicator,current_parameter_estimate
0,1,2,3,0.016516763035050674,0.09683816355912282,0.09683816355912282,0.016516763035050674,0.09683816355912282,0.09683816355912282,0.08032140052407215,4.863023120738421,0.08032140052407215,4.863023120738421,0.6080075458538552,0.7136279405923049,20.0,5.924829897107933,0.4411702179018163,0.4918361127716396,0.9196111952395825
1,1,2,3,0.11738948799117907,0.18158480279196199,0.19265389731087415,0.11738948799117907,0.18158480279196199,0.19265389731087415,0.06419531480078292,0.5468574392713924,0.07526440931969508,0.6411511848889696,0.6850599632986981,0.6682830073273661,6.0,7.038707918566244,0.7012786753166002,0.127416675610243,0.9367684527965053
2,1,2,3,0.08538007761719177,0.09644917213610393,0.14516840187123622,0.08538007761719177,0.09644917213610393,0.14516840187123622,0.011069094518912165,0.12964493389677703,0.059788324254044456,0.7002608327601879,0.6721638227145195,0.6614665987775741,16.0,7.038707918566244,0.5426630341119821,0.10065067962255332,0.9236655603311344
3,1,2,3,0.017325190775669557,0.06604442051080185,0.06604442051080185,0.017325190775669557,0.06604442051080185,0.06604442051080185,0.04871922973513229,2.8120457871516527,0.04871922973513229,2.8120457871516527,0.5588262568004697,0.6510351069188273,36.0,7.038707918566244,0.4579875300882213,0.7894261607268467,0.9183922165264833
4,1,2,3,0.028927409751015237,0.07023876242276396,0.07023876242276396,0.028927409751015237,0.07023876242276396,0.07023876242276396,0.04131135267174872,1.4281041070008267,0.04131135267174872,1.4281041070008267,0.6318817564306126,0.6150954657462133,10.0,5.148874672149997,0.44344063406132816,0.005310128803162023,0.9158197677520257
5,1,2,3,0.16024470312437344,0.3484491813177441,0.3484491813177441,0.16024470312437344,0.3484491813177441,0.3484491813177441,0.18820447819337066,1.1744817427514083,0.18820447819337066,1.1744817427514083,0.7426147333302304,0.5560963803613002,3.0,5.308961021889704,0.9001258023374004,0.24163049292461083,0.9271399418723099
6,1,2,3,0.14154815522722608,0.23655102058858393,0.23655102058858393,0.14154815522722608,0.23655102058858393,0.23655102058858393,0.09500286536135785,0.6711699294715595,0.09500286536135785,0.6711699294715595,0.740537152986031,0.4946911485297617,13.0,5.308961021889704,0.8009656478202083,0.10468740494536914,0.9220499236874831
7,1,2,3,0.02005564297229946,0.11505850833365731,0.11505850833365731,0.02005564297229946,0.11505850833365731,0.11505850833365731,0.09500286536135785,4.736964329083707,0.09500286536135785,4.736964329083707,0.5548715587572982,0.6829151758556424,33.0,5.308961021889704,0.7014190649113908,1.0256643476458907,0.9483694944921697
8,1,3,2,0.17360515564657042,0.23897963354185414,0.21585970838879004,0.17360515564657042,0.21585970838879004,0.23897963354185414,0.04225455274221962,0.24339457307361922,0.06537447789528372,0.3765699103314541,0.6446655417870929,0.5169401972444342,17.0,43.20547395663327,0.3976259172483834,0.001782980323497447,0.9129565977213031
9,1,2,3,0.12405060011413291,0.13006416591015424,0.1844945535290654,0.12405060011413291,0.13006416591015424,0.1844945535290654,0.006013565796021331,0.04847671668206413,0.0604439534149325,0.48725240634735917,0.6692560738851109,0.6401921462269577,27.0,43.20547395663327,0.4985093842827851,0.4143523069229212,0.9318953213126621
