condition,true_class,run_index,evidence_time,scheme,detected_event_time,triggered,event_time_error,trigger_score,estimated_p_fail_A,estimated_p_fail_C,estimated_p_fail_S,target_p_fail_A,target_p_fail_C,target_p_fail_S,A_mae,C_mae,S_mae,marginal_mae
measurement_noise_0.850,measurement_noise,100,60,uniform,47,True,3,9.269394552975303,0.22196971586518466,0.7636606624924946,0.06202111035577384,0.22,0.8,0.06,0.001969715865184657,0.0363393375075054,0.0020211103557738405,0.013443387909487965
measurement_noise_0.850,measurement_noise,101,60,uniform,42,True,8,10.250992757637025,0.21452929160574893,0.7213923006840379,0.057419379228726745,0.22,0.8,0.06,0.005470708394251067,0.07860769931596212,0.0025806207712732523,0.028886342827162147
measurement_noise_0.850,measurement_noise,102,60,uniform,43,True,7,10.322594017004386,0.2293948178126715,0.7164817819212979,0.06509291373386196,0.22,0.8,0.06,0.009394817812671485,0.08351821807870219,0.005092913733861962,0.032668649875078545
measurement_noise_0.850,measurement_noise,103,60,uniform,25,True,25,4.7881678114426425,0.2246993072478722,0.7477457157634144,0.061153357657410694,0.22,0.8,0.06,0.004699307247872209,0.052254284236585624,0.001153357657410696,0.01936898304728951
measurement_noise_0.850,measurement_noise,104,60,uniform,38,True,12,7.802605629405268,0.23841141290966666,0.6630434996815888,0.07125670227781802,0.22,0.8,0.06,0.018411412909666663,0.13695650031841122,0.011256702277818026,0.055541538501965304
measurement_noise_0.850,measurement_noise,105,60,uniform,32,True,18,4.585563055344746,0.2248189318646328,0.7396530871737136,0.06135715690963247,0.22,0.8,0.06,0.004818931864632808,0.06034691282628646,0.0013571569096324718,0.02217433386685058
measurement_noise_0.850,measurement_noise,106,60,uniform,40,True,10,19.97849898752784,0.23019768452357126,0.7178153868290036,0.06651376735742942,0.22,0.8,0.06,0.010197684523571254,0.08218461317099646,0.006513767357429423,0.03296535501733238
measurement_noise_0.850,measurement_noise,107,60,uniform,52,True,2,4.5663500029080915,0.23189533779921495,0.7117953802694604,0.06544380578005692,0.22,0.8,0.06,0.01189533779921495,0.08820461973053961,0.005443805780056918,0.035181254436603825
measurement_noise_0.850,measurement_noise,108,60,uniform,,False,,0.0,0.22185368208939546,0.7745031523396788,0.06035193129358217,0.22,0.8,0.06,0.0018536820893954586,0.02549684766032123,0.00035193129358217223,0.009234153681099621
measurement_noise_0.850,measurement_noise,109,60,uniform,45,True,5,5.409411313336083,0.22541637464835418,0.7356663003833585,0.06448766511330646,0.22,0.8,0.06,0.0054163746483541775,0.0643336996166416,0.004487665113306463,0.024745913126100746
measurement_noise_0.850,measurement_noise,110,60,uniform,39,True,11,4.883972883892004,0.22507634625329992,0.7442685479035116,0.06136862492854628,0.22,0.8,0.06,0.005076346253299918,0.05573145209648844,0.0013686249285462804,0.020725474426111546
measurement_noise_0.850,measurement_noise,111,60,uniform,44,True,6,4.89373843123992,0.2233932981521523,0.7664862015559677,0.06093158272814262,0.22,0.8,0.06,0.0033932981521523076,0.03351379844403235,0.0009315827281426228,0.012612893108109093
measurement_noise_0.850,measurement_noise,112,60,uniform,39,True,11,7.11950734600614,0.22331392992232568,0.7611403365833256,0.06148264178035158,0.22,0.8,0.06,0.0033139299223256813,0.03885966341667446,0.0014826417803515818,0.014552078373117242
measurement_noise_0.850,measurement_noise,113,60,uniform,,False,,0.0,0.22210812621013737,0.7739160296396886,0.06092199076217089,0.22,0.8,0.06,0.0021081262101373677,0.026083970360311404,0.0009219907621708934,0.009704695777539888
measurement_noise_0.850,measurement_noise,114,60,uniform,48,True,2,5.3095971765409935,0.22529316549616424,0.7405534550082562,0.06333032683238862,0.22,0.8,0.06,0.005293165496164237,0.059446544991743844,0.003330326832388625,0.0226900124400989
measurement_noise_0.850,measurement_noise,115,60,uniform,31,True,19,6.095633097677139,0.23081100476608923,0.7102478809304932,0.06590656579664089,0.22,0.8,0.06,0.010811004766089233,0.08975211906950686,0.005906565796640895,0.035489896544079
measurement_noise_0.850,measurement_noise,116,60,uniform,52,True,2,5.555405807002365,0.2207836278715401,0.7661616676973342,0.05981197233090036,0.22,0.8,0.06,0.000783627871540099,0.03383833230266586,0.00018802766909963714,0.011603329281101867
measurement_noise_0.850,measurement_noise,117,60,uniform,41,True,9,11.415308518927546,0.2287058918258469,0.7220926299197229,0.06400869308875408,0.22,0.8,0.06,0.008705891825846912,0.07790737008027715,0.004008693088754081,0.030207318331626046
measurement_noise_0.850,measurement_noise,118,60,uniform,49,True,1,587.2550598001928,0.24219124964563268,0.6334228466904404,0.07708410968978777,0.22,0.8,0.06,0.022191249645632682,0.1665771533095597,0.01708410968978777,0.06861750421499338
measurement_noise_0.850,measurement_noise,119,60,uniform,28,True,22,5.325726687359783,0.22249651364736442,0.7663547914849062,0.06111023773218153,0.22,0.8,0.06,0.002496513647364418,0.033645208515093894,0.0011102377321815307,0.012417319964879948
measurement_noise_0.850,measurement_noise,120,60,uniform,51,True,1,13.02615612700317,0.23128165631705339,0.7040287278284006,0.06714007248600468,0.22,0.8,0.06,0.011281656317053385,0.0959712721715994,0.007140072486004678,0.03813100032488582
