record_type,held_out_population,model,observed_auc,bootstrap_mean,bootstrap_std,ci_lower_95,ci_upper_95,comparison,observed_auc_difference,difference_mean,difference_ci_lower_95,difference_ci_upper_95,probability_full_better
fold_model_interval,population_001_010,full_state_plus_action,0.7893333333333334,0.7899967999999999,0.057388111834657016,0.6666333333333333,0.892,,,,,,
fold_model_interval,population_001_010,full_state_only,0.6053333333333333,0.6067218666666667,0.08478634289903583,0.43596666666666667,0.7666666666666666,full_minus_full_state_only,0.18400000000000016,0.1832749333333333,0.02933333333333332,0.3453333333333334,0.988
fold_model_interval,population_001_010,action_only,0.6133333333333334,0.6140906666666667,0.07073958924351847,0.4733333333333333,0.7533333333333333,full_minus_action_only,0.17600000000000005,0.17590613333333335,0.04198333333333327,0.30933333333333335,0.994
fold_model_interval,population_001_010,leave_predicted_risk_regret_out,0.768,0.7690514666666666,0.05872319483545097,0.6453333333333333,0.8773333333333333,full_minus_leave_predicted_risk_regret_out,0.021333333333333426,0.020945333333333337,-0.07066666666666654,0.12003333333333295,0.6568
fold_model_interval,population_001_010,leave_temporal_support_context_out,0.7133333333333334,0.7138616,0.06594849587734294,0.5746666666666667,0.8346666666666667,full_minus_leave_temporal_support_context_out,0.07600000000000007,0.07613520000000001,0.02400000000000002,0.13336666666666627,0.9962
fold_model_interval,population_071_110,full_state_plus_action,0.9,0.89925,0.042710686381410845,0.80625,0.9703125,,,,,,
fold_model_interval,population_071_110,full_state_only,0.8671875,0.8662803125,0.05259393810268084,0.7515625,0.9546875,full_minus_full_state_only,0.03281250000000002,0.0329696875,0.009374999999999911,0.06718749999999996,0.9988
fold_model_interval,population_071_110,action_only,0.84375,0.8440462500000001,0.025934862094329138,0.79375,0.8937499999999999,full_minus_action_only,0.05625000000000002,0.05520374999999999,-0.05625000000000002,0.15000000000000002,0.8474
fold_model_interval,population_071_110,leave_predicted_risk_regret_out,0.8031250000000001,0.8026978124999999,0.06499630257409458,0.6609375,0.915625,full_minus_leave_predicted_risk_regret_out,0.09687499999999993,0.0965521875,-0.017187500000000022,0.25,0.9344
fold_model_interval,population_071_110,leave_temporal_support_context_out,0.9109375,0.9103334375000001,0.04158132740497946,0.8155859375,0.978125,full_minus_leave_temporal_support_context_out,-0.010937499999999933,-0.0110834375,-0.05624999999999991,0.029687499999999978,0.273
reciprocal_mean_interval,reciprocal_mean,full_state_plus_action,0.8446666666666667,0.8446234,0.03600342329332674,0.7681554687500001,0.9108979166666666,,,,,,
reciprocal_mean_interval,reciprocal_mean,full_state_only,0.7362604166666666,0.7365010895833333,0.050071761910600296,0.6352723958333334,0.8316557291666665,full_minus_full_state_only,0.10840625000000004,0.10812231041666666,0.028915364583333474,0.1905453124999999,0.9956
reciprocal_mean_interval,reciprocal_mean,action_only,0.7285416666666666,0.7290684583333333,0.03795896974669711,0.6558229166666666,0.8056354166666666,full_minus_action_only,0.11612500000000003,0.11555494166666667,0.026860677083333305,0.1978588541666666,0.9952
reciprocal_mean_interval,reciprocal_mean,leave_predicted_risk_regret_out,0.7855625,0.7858746395833334,0.04401790624587664,0.6930359375000001,0.8671479166666666,full_minus_leave_predicted_risk_regret_out,0.059104166666666624,0.058748760416666664,-0.016375781250000138,0.1488440104166668,0.9272
reciprocal_mean_interval,reciprocal_mean,leave_temporal_support_context_out,0.8121354166666667,0.81209751875,0.03922308810215222,0.7300927083333333,0.8843856770833334,full_minus_leave_temporal_support_context_out,0.03253125000000001,0.03252588125,-0.0024695312499999093,0.06768046874999994,0.969
