record_type,model,features,feature_count,events,severe_events,nonsevere_events,balanced_accuracy,severe_recall,severe_precision,nonsevere_specificity,roc_auc,mean_fold_balanced_accuracy,mean_fold_roc_auc,metric,nonsevere_count,severe_count,nonsevere_mean,severe_mean,difference_severe_minus_nonsevere,standardized_difference
model_summary,loss_ceiling_only,predicted_loss_ceiling,1,65,15,50,0.6766666666666666,0.7333333333333333,0.36666666666666664,0.62,0.6519999999999999,0.7477392977392977,0.8051587301587302,,,,,,,
model_summary,loss_surface_compact,predicted_loss_floor|predicted_loss_ceiling|predicted_loss_spread,3,65,15,50,0.6633333333333333,0.6666666666666666,0.37037037037037035,0.66,0.6506666666666666,0.7462241462241462,0.8134920634920635,,,,,,,
model_summary,transient_state,current_mismatch_indicator|anchor_age|trigger_score,3,65,15,50,0.6133333333333333,0.6666666666666666,0.3125,0.56,0.5853333333333334,0.704016354016354,0.6601972101972102,,,,,,,
model_summary,loss_spread_only,predicted_loss_spread,1,65,15,50,0.6066666666666667,0.5333333333333333,0.3333333333333333,0.68,0.6106666666666667,0.7065416065416066,0.7304473304473305,,,,,,,
model_summary,loss_floor_only,predicted_loss_floor,1,65,15,50,0.5766666666666667,0.5333333333333333,0.2962962962962963,0.62,0.6613333333333333,0.6866281866281867,0.7976791726791727,,,,,,,
model_summary,predicted_action_loss_only,predicted_action_loss,1,65,15,50,0.5766666666666667,0.5333333333333333,0.2962962962962963,0.62,0.6613333333333333,0.6866281866281867,0.7976791726791727,,,,,,,
model_summary,loss_plus_state,predicted_loss_ceiling|predicted_loss_spread|current_mismatch_indicator|anchor_age|trigger_score,5,65,15,50,0.5533333333333333,0.4666666666666667,0.28,0.64,0.6053333333333333,0.6707551707551708,0.7317099567099568,,,,,,,
model_summary,loss_plus_risk,predicted_loss_ceiling|predicted_loss_spread|predicted_risk|safety_score|downside_score,5,65,15,50,0.5433333333333333,0.4666666666666667,0.2692307692307692,0.62,0.516,0.6270743145743146,0.5474386724386724,,,,,,,
model_summary,compact_all_preaction,predicted_loss_ceiling|predicted_loss_spread|predicted_risk|safety_score|downside_score|current_mismatch_indicator|anchor_age|trigger_score,8,65,15,50,0.4866666666666667,0.3333333333333333,0.21739130434782608,0.64,0.49333333333333335,0.58246151996152,0.5272366522366523,,,,,,,
model_summary,risk_stack,predicted_risk|safety_score|downside_score,3,65,15,50,0.28,0.0,0.0,0.56,0.22666666666666668,0.3171837421837422,0.2326118326118326,,,,,,,
diagnostic,,,,,,,,,,,,,,predicted_loss_floor,50,15,0.11765543927054298,0.1388054762292139,0.02115003695867093,0.493492388027359
diagnostic,,,,,,,,,,,,,,predicted_loss_mean,50,15,0.12645622192096911,0.15123861072331624,0.02478238880234712,0.5472686463404516
diagnostic,,,,,,,,,,,,,,predicted_loss_ceiling,50,15,0.13550599003702285,0.16224376191420137,0.026737771877178518,0.5786993792649352
diagnostic,,,,,,,,,,,,,,predicted_loss_spread,50,15,0.01785055076647988,0.023438285684987462,0.005587734918507583,0.4078141892371523
diagnostic,,,,,,,,,,,,,,predicted_action_loss,50,15,0.1176653172079397,0.1388054762292139,0.02114015902127421,0.4933395940378955
diagnostic,,,,,,,,,,,,,,predicted_risk,50,15,0.03297345997435101,0.033473699832992955,0.0005002398586419418,0.04026064640400265
diagnostic,,,,,,,,,,,,,,safety_score,50,15,0.843679413589368,0.816333842419682,-0.027345571169686056,-0.20727799150594034
diagnostic,,,,,,,,,,,,,,downside_score,50,15,0.0033029565992481434,0.004093464238662013,0.0007905076394138693,0.10214282505608785
diagnostic,,,,,,,,,,,,,,current_mismatch_indicator,50,15,0.22073302969153694,0.26005510242412644,0.0393220727325895,0.2098887199707335
diagnostic,,,,,,,,,,,,,,anchor_age,50,15,27.72,20.933333333333334,-6.786666666666665,-0.47051657070101816
diagnostic,,,,,,,,,,,,,,trigger_score,50,15,6.619867389386842,6.463267572075471,-0.1565998173113714,-0.12451501811624896
