record_type,feature,block_a_mean,block_b_mean,difference_b_minus_a,regime_auc_b_high,regime_auc_best_orientation,pooled_loso_regime_auc,mean_coefficient,mean_absolute_coefficient,sign_stability,model,mean_auc,min_auc,max_auc,held_out_block,roc_auc,test_harmful,test_beneficial
univariate_regime_geometry,local_error_std,0.05355866056414421,0.0566569343778642,0.003098273813719986,0.5170068027210883,0.5170068027210883,,,,,,,,,,,,
univariate_regime_geometry,severe_underestimation_probability,0.4605010481149727,0.4996514208584009,0.0391503727434282,0.5724751439037153,0.5724751439037153,,,,,,,,,,,,
regime_identification_summary,,,,,,,0.2794348508634223,,,,,,,,,,,
regime_coefficient_summary,local_error_std,,,,,,,0.036823620955686004,0.05847662392118783,0.7916666666666666,,,,,,,,
regime_coefficient_summary,severe_underestimation_probability,,,,,,,0.2115932563935169,0.22824669483103346,0.9583333333333334,,,,,,,,
harm_modulation_summary,,,,,,,,,,,severe_proxy_only,0.8209721349256232,0.7635658914728681,0.8783783783783783,,,,
harm_modulation_summary,,,,,,,,,,,regime_only,0.739053006494867,0.6486486486486487,0.8294573643410853,,,,
harm_modulation_summary,,,,,,,,,,,proxy_plus_regime,0.6684475172847266,0.581081081081081,0.7558139534883721,,,,
harm_modulation_summary,,,,,,,,,,,proxy_regime_interaction,0.6684475172847266,0.581081081081081,0.7558139534883721,,,,
harm_modulation_fold,,,,,,,,,,,severe_proxy_only,,,,block_071_090,0.8783783783783783,2,37
harm_modulation_fold,,,,,,,,,,,severe_proxy_only,,,,block_091_110,0.7635658914728681,6,43
harm_modulation_fold,,,,,,,,,,,regime_only,,,,block_071_090,0.6486486486486487,2,37
harm_modulation_fold,,,,,,,,,,,regime_only,,,,block_091_110,0.8294573643410853,6,43
harm_modulation_fold,,,,,,,,,,,proxy_plus_regime,,,,block_071_090,0.581081081081081,2,37
harm_modulation_fold,,,,,,,,,,,proxy_plus_regime,,,,block_091_110,0.7558139534883721,6,43
harm_modulation_fold,,,,,,,,,,,proxy_regime_interaction,,,,block_071_090,0.581081081081081,2,37
harm_modulation_fold,,,,,,,,,,,proxy_regime_interaction,,,,block_091_110,0.7558139534883721,6,43
