generation_seed,test_index,support_baseline_action,held_out_block,regime_target,regime_probability,harmful_target,local_error_std,severe_underestimation_probability
44077,46,1,block_071_090,0,0.6223176543722246,0,0.04678508836786137,0.6876152032015671
44077,57,1,block_071_090,0,0.6362900474323295,0,0.04887203564017078,0.7174834483795925
44078,0,1,block_071_090,0,0.5225442776884209,0,0.03945440261435279,0.31736073856046654
44078,7,1,block_071_090,0,0.4678834444690337,0,0.05543524898090178,0.604516414318168
44078,11,2,block_071_090,0,0.5912938800586304,0,0.05162864606896163,0.19484614252054253
44078,20,1,block_071_090,0,0.5550155565204592,0,0.0365460001615142,0.1955304635272953
44078,31,1,block_071_090,0,0.5225162132747925,0,0.03243298342916551,0.26489651737271336
44078,32,2,block_071_090,0,0.532540274027709,0,0.06828518800437472,0.5024373596212344
44078,46,1,block_071_090,0,0.5526308255679833,0,0.05814559213552686,0.3645755569335822
44078,47,1,block_071_090,0,0.601424314785712,0,0.06528903869236934,0.26486791193476583
44078,49,2,block_071_090,0,0.5842005221411593,0,0.05063504581189158,0.20981977603091523
44078,53,1,block_071_090,0,0.518686777973957,0,0.037574882439739124,0.3151254586389138
44078,61,1,block_071_090,0,0.5555470721794248,0,0.04626687918878823,0.2666367196797023
44078,62,1,block_071_090,0,0.5343885886961705,1,0.08264897679823614,0.6042552063282551
44080,14,2,block_071_090,0,0.4953759864184961,0,0.011611793591302636,0.2897423462835416
44080,43,2,block_071_090,0,0.4941963001436055,0,0.06158036466575292,0.48782480077511337
44080,62,2,block_071_090,0,0.4888325284650806,0,0.011359877022961882,0.2670487378561876
44080,65,2,block_071_090,0,0.48882676791407587,0,0.02061569674096261,0.30444475159916323
44081,2,1,block_071_090,0,0.489548148228546,0,0.02363246586085142,0.38792788362882274
44081,12,1,block_071_090,0,0.5422166659781811,0,0.0650080172264677,0.5937535560079491
44081,29,1,block_071_090,0,0.48903448476814226,0,0.029942492843118194,0.3996691637114845
44081,40,2,block_071_090,0,0.5351730401883594,0,0.06478495258337678,0.57703471460855
44081,44,1,block_071_090,0,0.4984094148782729,0,0.043646375637628715,0.44924825111301603
44081,59,1,block_071_090,0,0.5220389909533917,0,0.044795799918410005,0.5058621646195217
44082,26,1,block_071_090,0,0.5874180093592458,1,0.054195542075899834,0.6881861957353187
44084,14,2,block_071_090,0,0.5370350191029492,0,0.06272388884946746,0.5608831589176486
44084,15,1,block_071_090,0,0.46764823396492944,0,0.04930309569472391,0.39797498746446197
44084,18,1,block_071_090,0,0.5331572673292495,0,0.06186332505124608,0.5520007532024601
44084,24,2,block_071_090,0,0.4651167945041303,0,0.0847696094554994,0.3081085152709472
44084,26,2,block_071_090,0,0.5515785214560152,0,0.04374524408970177,0.6461372510821879
44084,29,1,block_071_090,0,0.5306408841686749,0,0.05958912465007886,0.5502464697266166
44085,3,1,block_071_090,0,0.44416366975247124,0,0.02917649497815575,0.3972817764955477
44085,20,2,block_071_090,0,0.5746531562123749,0,0.07752332426103907,0.6304632239196827
44085,26,2,block_071_090,0,0.5139618071388811,0,0.08701645533026718,0.3938856962071146
44085,32,2,block_071_090,0,0.5346066538639107,0,0.06208316493922913,0.5604528651421053
44087,0,1,block_071_090,0,0.6054323665066788,0,0.08823795791099345,0.552730189455743
44087,2,1,block_071_090,0,0.6415896521067747,0,0.07555748691251958,0.7089969162764341
44087,18,1,block_071_090,0,0.6190795190354783,0,0.07714781727672529,0.6430539353708926
44087,44,2,block_071_090,0,0.604133317683738,0,0.07887738610139045,0.5966156549657106
44094,32,2,block_091_110,1,0.5284345901316163,0,0.04651266257713771,0.594143444718976
44095,13,2,block_091_110,1,0.535342152532792,0,0.06815821302907853,0.6617440735117629
44095,19,2,block_091_110,1,0.5615921731026,0,0.09222520343657604,0.7411040484703456
44095,25,2,block_091_110,1,0.4838825974464375,0,0.03722886999055491,0.4343439958337169
44095,29,2,block_091_110,1,0.5447454855927051,0,0.08578870755527016,0.6483982306888629
44095,33,2,block_091_110,1,0.5345670009215115,0,0.0643632489186513,0.6736538368703721
44095,48,2,block_091_110,1,0.5202403141846319,0,0.03676724840477237,0.6977258985752528
44096,20,1,block_091_110,1,0.5734912261596657,0,0.10402073411576326,0.7883744594276162
44096,22,1,block_091_110,1,0.5583574730620194,1,0.09619748383158591,0.7262322629465434
44097,18,2,block_091_110,1,0.5358822167833702,0,0.06594282834007281,0.5988216461668854
44097,22,1,block_091_110,1,0.5861613420970285,1,0.10301203433861286,0.7750290934157336
44098,6,2,block_091_110,1,0.49568075659921657,0,0.02977509329987723,0.7632323217132252
44098,31,2,block_091_110,1,0.5008799405002451,0,0.035008239767670646,0.7351233707835221
44099,0,2,block_091_110,1,0.564061435414195,0,0.08306417136597159,0.6909457638080648
44099,4,2,block_091_110,1,0.56654013576614,0,0.07316449868695787,0.7058113689376203
44100,49,2,block_091_110,1,0.5418258704860509,0,0.06959688867753228,0.5952596287689192
44101,5,1,block_091_110,1,0.5513179349815915,1,0.08361774493814307,0.6236175561698784
44103,3,2,block_091_110,1,0.46511660458151366,0,0.042804813750191247,0.37500897907088376
44103,4,1,block_091_110,1,0.543421886538939,1,0.08372114297260096,0.6027985905951019
44103,33,1,block_091_110,1,0.559585596983753,0,0.07222223135276055,0.6572693194331644
44104,1,1,block_091_110,1,0.5076681811330875,1,0.06049219092008293,0.4996333537399255
44104,12,2,block_091_110,1,0.4787634874349884,0,0.05884203144663692,0.41836071999081254
44104,43,2,block_091_110,1,0.5201256530919393,0,0.045746291196928066,0.5441369116776286
44104,52,1,block_091_110,1,0.4893355030904328,0,0.06505863367865762,0.4446678286612458
44105,8,2,block_091_110,1,0.41709196464309706,0,0.051061574193885975,0.3089667365128593
44105,23,2,block_091_110,1,0.411400056819707,0,0.052864930203876136,0.29335312993758783
44105,24,2,block_091_110,1,0.35303836925439375,0,0.029918825881315444,0.19046922345019734
44105,30,2,block_091_110,1,0.5094259416282751,0,0.045828345891274276,0.5223682586791448
44105,48,2,block_091_110,1,0.5375404477978162,0,0.04545596816068852,0.5851798251228222
44106,14,2,block_091_110,1,0.4733774075034524,0,0.04842183549151196,0.413042044902187
44107,5,2,block_091_110,1,0.4180968070874329,0,0.0402593711119887,0.3246659126039296
44107,20,2,block_091_110,1,0.40960423718827693,0,0.03944550494355275,0.3061838623996136
44107,29,2,block_091_110,1,0.3954420883494828,0,0.0373097646426466,0.2763075860296312
44107,45,2,block_091_110,1,0.4994581619022706,0,0.0546316555825784,0.48738605484785624
44108,5,2,block_091_110,1,0.43765576307302795,0,0.04199266720110108,0.37233805698308786
44108,15,2,block_091_110,1,0.45436306211027666,0,0.06876289693168543,0.3895178970880561
44108,20,2,block_091_110,1,0.43572589114017246,0,0.04225472036673278,0.3682362645272409
44108,21,2,block_091_110,1,0.4081234744540692,0,0.03828828451688655,0.31390165499845696
44108,29,2,block_091_110,1,0.41449051969262246,0,0.03828828061757205,0.32710017335909786
44108,38,1,block_091_110,1,0.5252778734865104,1,0.07471871297217172,0.5284621869339239
44108,55,2,block_091_110,1,0.4574281632833766,0,0.04695985597327947,0.4093719184667914
44109,2,2,block_091_110,1,0.416709473951501,0,0.03894545342684174,0.33979287529852725
44109,12,2,block_091_110,1,0.41126533568470963,0,0.0658756137196054,0.32853939814071026
44109,17,2,block_091_110,1,0.4084673367970665,0,0.038074397971899994,0.3244928551246919
44109,18,2,block_091_110,1,0.37836904194535004,0,0.03589444747302845,0.2676860294322664
44109,26,2,block_091_110,1,0.426045205251338,0,0.040925394421162456,0.3569772868958526
44109,52,2,block_091_110,1,0.4932261631454044,0,0.0813987815230119,0.4774429828222849
44110,6,2,block_091_110,1,0.5097756616628351,0,0.0571165929475962,0.5081940401843656
44110,8,2,block_091_110,1,0.4563777351076739,0,0.018164701757364822,0.4675066633444006
