trial,audit_rows,poison_rows_recovered,unsafe_selected,total_regret
1,164,5,217,10.620494866629736
2,164,6,217,10.620494866629736
3,164,7,217,10.620494866629736
4,164,13,217,10.620494866629736
5,164,5,217,10.620494866629736
6,164,6,217,10.620494866629736
7,164,7,217,10.620494866629736
8,164,11,217,10.620494866629736
9,164,8,217,10.620494866629736
10,164,9,217,10.620494866629736
11,164,8,217,10.620494866629736
12,164,5,217,10.620494866629736
13,164,9,217,10.620494866629736
14,164,7,217,10.620494866629736
15,164,4,217,10.620494866629736
16,164,7,217,10.620494866629736
17,164,7,217,10.620494866629736
18,164,7,217,10.620494866629736
19,164,6,217,10.620494866629736
20,164,7,217,10.620494866629736
21,164,8,217,10.620494866629736
22,164,3,217,10.620494866629736
23,164,8,217,10.620494866629736
24,164,5,217,10.620494866629736
25,164,8,217,10.620494866629736
26,164,11,217,10.620494866629736
27,164,6,217,10.620494866629736
28,164,3,217,10.620494866629736
29,164,5,217,10.620494866629736
30,164,6,217,10.620494866629736
31,164,3,217,10.620494866629736
32,164,8,217,10.620494866629736
33,164,6,217,10.620494866629736
34,164,2,217,10.620494866629736
35,164,2,217,10.620494866629736
36,164,8,217,10.620494866629736
37,164,9,217,10.620494866629736
38,164,3,217,10.620494866629736
39,164,7,217,10.620494866629736
40,164,4,217,10.620494866629736
41,164,10,217,10.620494866629736
42,164,2,217,10.620494866629736
43,164,5,217,10.620494866629736
44,164,3,217,10.620494866629736
45,164,6,217,10.620494866629736
46,164,7,217,10.620494866629736
47,164,12,217,10.620494866629736
48,164,5,217,10.620494866629736
49,164,4,217,10.620494866629736
50,164,8,217,10.620494866629736
51,164,8,217,10.620494866629736
52,164,4,217,10.620494866629736
53,164,8,217,10.620494866629736
54,164,10,217,10.620494866629736
55,164,5,217,10.620494866629736
56,164,6,217,10.620494866629736
57,164,3,217,10.620494866629736
58,164,9,217,10.620494866629736
59,164,8,217,10.620494866629736
60,164,6,217,10.620494866629736
61,164,4,217,10.620494866629736
62,164,10,217,10.620494866629736
63,164,7,217,10.620494866629736
64,164,3,217,10.620494866629736
65,164,6,217,10.620494866629736
66,164,7,217,10.620494866629736
67,164,3,217,10.620494866629736
68,164,7,217,10.620494866629736
69,164,8,217,10.620494866629736
70,164,4,217,10.620494866629736
71,164,6,217,10.620494866629736
72,164,3,217,10.620494866629736
73,164,7,217,10.620494866629736
74,164,9,217,10.620494866629736
75,164,7,217,10.620494866629736
76,164,2,217,10.620494866629736
77,164,8,217,10.620494866629736
78,164,5,217,10.620494866629736
79,164,6,217,10.620494866629736
80,164,8,217,10.620494866629736
81,164,3,217,10.620494866629736
82,164,5,217,10.620494866629736
83,164,4,217,10.620494866629736
84,164,8,217,10.620494866629736
85,164,11,217,10.620494866629736
86,164,5,217,10.620494866629736
87,164,5,217,10.620494866629736
88,164,7,217,10.620494866629736
89,164,6,217,10.620494866629736
90,164,5,217,10.620494866629736
91,164,5,217,10.620494866629736
92,164,7,217,10.620494866629736
93,164,10,217,10.620494866629736
94,164,11,217,10.620494866629736
95,164,7,217,10.620494866629736
96,164,9,217,10.620494866629736
97,164,6,217,10.620494866629736
