trial,audit_rows,poison_rows_recovered,unsafe_selected,total_regret
1,1576,71,393,16.21321524468546
2,1576,70,393,16.21321524468546
3,1576,67,393,16.21321524468546
4,1576,74,393,16.21321524468546
5,1576,63,392,16.20742687464437
6,1576,61,392,16.20742687464437
7,1576,58,392,16.20742687464437
8,1576,70,393,16.21321524468546
9,1576,64,392,16.20742687464437
10,1576,69,393,16.21321524468546
11,1576,67,392,16.20742687464437
12,1576,62,392,16.20742687464437
13,1576,65,392,16.20742687464437
14,1576,63,392,16.20742687464437
15,1576,63,392,16.20742687464437
16,1576,70,392,16.207577242407055
17,1576,70,392,16.20742687464437
18,1576,67,393,16.21321524468546
19,1576,56,392,16.20742687464437
20,1576,67,393,16.21321524468546
21,1576,69,392,16.20742687464437
22,1576,55,392,16.20742687464437
23,1576,65,392,16.20742687464437
24,1576,51,392,16.20742687464437
25,1576,56,392,16.20742687464437
26,1576,73,393,16.21321524468546
27,1576,69,392,16.196789766255822
28,1576,68,390,16.14141297430834
29,1576,55,392,16.20742687464437
30,1576,81,391,16.17544921458432
31,1576,69,393,16.21321524468546
32,1576,62,393,16.21321524468546
33,1576,71,390,16.14141297430834
34,1576,59,392,16.20742687464437
35,1576,73,391,16.182071902179747
36,1576,63,393,16.21321524468546
37,1576,69,393,16.21321524468546
38,1576,61,393,16.21321524468546
39,1576,69,390,16.18260050342373
40,1576,59,392,16.20742687464437
41,1576,68,392,16.20742687464437
42,1576,70,393,16.21321524468546
43,1576,65,392,16.20742687464437
44,1576,55,392,16.20742687464437
45,1576,57,392,16.20742687464437
46,1576,70,392,16.196789766255822
47,1576,70,392,16.20742687464437
48,1576,74,393,16.21321524468546
49,1576,61,392,16.20742687464437
50,1576,74,393,16.21321524468546
51,1576,54,392,16.20742687464437
52,1576,57,392,16.20742687464437
53,1576,69,393,16.21321524468546
54,1576,71,391,16.182071902179747
55,1576,79,389,16.105470619675028
56,1576,62,392,16.20742687464437
57,1576,69,392,16.20742687464437
58,1576,69,392,16.196789766255822
59,1576,62,392,16.20742687464437
60,1576,61,392,16.20742687464437
61,1576,68,393,16.21321524468546
62,1576,62,393,16.21321524468546
63,1576,66,393,16.21321524468546
64,1576,46,392,16.20742687464437
65,1576,66,392,16.20742687464437
66,1576,55,392,16.20742687464437
67,1576,70,393,16.21321524468546
68,1576,62,392,16.20742687464437
69,1576,68,392,16.196789766255822
70,1576,67,392,16.20742687464437
71,1576,64,392,16.20742687464437
72,1576,72,391,16.188885873708163
73,1576,74,393,16.21321524468546
74,1576,67,391,16.188885873708163
75,1576,81,390,16.156156092332473
76,1576,65,393,16.21321524468546
77,1576,57,392,16.20742687464437
78,1576,62,392,16.20742687464437
79,1576,63,392,16.20742687464437
80,1576,69,392,16.20742687464437
81,1576,62,392,16.20742687464437
82,1576,74,393,16.21321524468546
83,1576,73,393,16.21321524468546
84,1576,65,393,16.21321524468546
85,1576,69,390,16.156156092332473
86,1576,62,393,16.21321524468546
87,1576,70,392,16.20742687464437
88,1576,62,392,16.20742687464437
89,1576,63,392,16.20742687464437
90,1576,67,392,16.20742687464437
91,1576,77,392,16.19915509217374
92,1576,70,393,16.21321524468546
93,1576,69,393,16.21321524468546
94,1576,62,392,16.20742687464437
95,1576,54,392,16.20742687464437
96,1576,65,393,16.21321524468546
97,1576,73,393,16.21321524468546
98,1576,61,393,16.21321524468546
99,1576,53,392,16.20742687464437
100,1576,76,393,16.21321524468546
101,1576,63,392,16.20742687464437
102,1576,74,391,16.182071902179747
103,1576,69,392,16.20742687464437
104,1576,59,392,16.20742687464437
105,1576,64,392,16.20742687464437
106,1576,61,393,16.21321524468546
107,1576,71,391,16.159398391655873
108,1576,71,391,16.186015936602143
109,1576,64,392,16.20742687464437
110,1576,63,392,16.20742687464437
111,1576,63,393,16.21321524468546
112,1576,59,392,16.20742687464437
113,1576,66,392,16.20742687464437
114,1576,73,391,16.182071902179747
115,1576,70,393,16.21321524468546
116,1576,75,391,16.182071902179747
117,1576,73,392,16.20742687464437
118,1576,63,392,16.20742687464437
