generation_seed,test_index,clean_action,poison_action,clean_unsafe,poison_unsafe,transition,clean_regret,poison_regret,delta_regret
44791,64,2,3,0,0,safe-to-safe,0.0,0.0,0.0
44791,70,1,3,0,1,safe-to-unsafe,0.0,0.0472366957100442,0.0472366957100442
44791,71,1,3,0,1,safe-to-unsafe,0.0,0.0420511065846798,0.0420511065846798
44791,73,1,3,0,1,safe-to-unsafe,0.0,0.0384224427609786,0.0384224427609786
44792,8,2,3,1,1,unsafe-to-unsafe,0.0239249141900617,0.0239249141900617,0.0
44792,71,1,3,0,1,safe-to-unsafe,0.0,0.0399437146750361,0.0399437146750361
44792,72,2,3,0,0,safe-to-safe,0.0,0.0,0.0
44793,5,2,3,1,1,unsafe-to-unsafe,0.0233491982605789,0.0233491982605789,0.0
44793,71,1,3,0,1,safe-to-unsafe,0.0,0.0395513577697152,0.0395513577697152
44793,72,2,3,0,0,safe-to-safe,0.0,0.0,0.0
44794,64,2,3,0,0,safe-to-safe,0.0,0.0,0.0
44794,70,1,3,0,1,safe-to-unsafe,0.0,0.0392820872488039,0.0392820872488039
44794,71,2,3,0,0,safe-to-safe,0.0,0.0,0.0
44795,74,1,3,0,1,safe-to-unsafe,0.0,0.0389622723947902,0.0389622723947902
44796,57,2,3,0,0,safe-to-safe,0.0,0.0,0.0
44796,75,1,3,0,1,safe-to-unsafe,0.0,0.0387390178158328,0.0387390178158328
44797,59,2,3,0,0,safe-to-safe,0.0,0.0,0.0
44797,74,1,3,0,1,safe-to-unsafe,0.0,0.039238447454906,0.039238447454906
44798,51,2,3,0,0,safe-to-safe,0.0,0.0,0.0
44798,82,1,3,0,1,safe-to-unsafe,0.0,0.0373937586755683,0.0373937586755683
44798,83,1,3,0,1,safe-to-unsafe,0.0,0.0507410319950309,0.0507410319950309
44798,84,1,3,0,1,safe-to-unsafe,0.0,0.0362908582038689,0.0362908582038689
44799,62,2,3,0,0,safe-to-safe,0.0,0.0,0.0
44799,75,2,3,0,0,safe-to-safe,0.0,0.0,0.0
44799,82,1,3,0,1,safe-to-unsafe,0.0,0.0373136749226143,0.0373136749226143
44799,83,1,3,0,1,safe-to-unsafe,0.0,0.033570820539845,0.033570820539845
44799,84,1,3,0,1,safe-to-unsafe,0.0,0.0185801966108285,0.0185801966108285
44800,16,2,3,0,0,safe-to-safe,0.0,0.0,0.0
44800,84,1,3,0,1,safe-to-unsafe,0.0,0.0384776765622007,0.0384776765622007
44800,85,1,3,0,1,safe-to-unsafe,0.0,0.0509192484246982,0.0509192484246982
44800,86,1,3,0,1,safe-to-unsafe,0.0,0.0355271104676613,0.0355271104676613
44801,56,2,3,0,0,safe-to-safe,0.0,0.0,0.0
44801,82,1,3,0,1,safe-to-unsafe,0.0,0.0384187440047752,0.0384187440047752
44801,83,1,3,0,1,safe-to-unsafe,0.0,0.0340244413671852,0.0340244413671852
44801,84,1,3,0,1,safe-to-unsafe,0.0,0.0184812498737698,0.0184812498737698
44802,67,2,3,0,0,safe-to-safe,0.0,0.0,0.0
44802,82,1,3,0,1,safe-to-unsafe,0.0,0.0521850101194042,0.0521850101194042
44802,83,1,3,0,1,safe-to-unsafe,0.0,0.0390619527759646,0.0390619527759646
44802,84,1,3,0,1,safe-to-unsafe,0.0,0.0508756820209273,0.0508756820209273
44802,85,1,3,0,1,safe-to-unsafe,0.0,0.0354003292506278,0.0354003292506278
44803,82,1,3,0,1,safe-to-unsafe,0.0,0.0380083710860097,0.0380083710860097
44804,81,1,3,0,1,safe-to-unsafe,0.0,0.037359797325114,0.037359797325114
44805,9,2,3,1,0,unsafe-to-safe,0.0587026664331959,0.0,-0.0587026664331959
44805,80,1,3,0,1,safe-to-unsafe,0.0,0.0899475559092009,0.0899475559092009
44805,81,1,3,0,1,safe-to-unsafe,0.0,0.0367209042860232,0.0367209042860232
44806,76,1,3,0,1,safe-to-unsafe,0.0,0.0370925334400129,0.0370925334400129
44807,51,2,3,0,0,safe-to-safe,0.0,0.0,0.0
44807,77,1,3,0,1,safe-to-unsafe,0.0,0.0369759241175222,0.0369759241175222
44807,80,1,3,0,1,safe-to-unsafe,0.0,0.0215035939740494,0.0215035939740494
44807,81,1,3,0,0,safe-to-safe,0.0,0.0028741122327916,0.0028741122327916
